metric,criterion,criterion_short,k11,k12,k21,k22,n_metric,n_criterion,n_total,lr,g2,p_value,q_value,reject_q05
moverscore,relevance to input,Relevance,12,7,135,478,19,147,632,2.8678362573099414,14.233048935095066,0.0001615089885122,0.0089515133329956,True
meteor,relevance to input,Relevance,23,37,124,448,60,147,632,1.7682795698924734,7.613459856469095,0.0057934218447074,0.1314121534059223,False
unieval,relevance to input,Relevance,14,7,133,478,21,147,632,3.06265664160401,18.583238672067456,1.6264432831287452e-05,0.0014873823824212,True
g eval,relevance to input,Relevance,14,9,133,476,23,147,632,2.7871853546910756,15.511518432502742,8.200403805893656e-05,0.0055550142818442,True
bertscore,relevance to input,Relevance,44,89,103,396,133,147,632,1.6027447258924008,8.591026298299905,0.0033782356205821,0.0922207902991757,False
bartscore,relevance to input,Relevance,20,14,127,471,34,147,632,2.7698008337193145,21.080272775800687,4.404391312802922e-06,0.0005672577606464,True
questeval,relevance to input,Relevance,1,9,146,476,10,147,632,0.4260273972602739,1.1963854110985226,0.2740453168211696,0.740781719303381,False
ndcg,relevance to input,Relevance,2,8,145,477,10,147,632,0.8579310344827586,0.0625832504617578,0.8024586329648837,0.8583022454343697,False
recall,relevance to input,Relevance,14,43,133,442,57,147,632,1.061865189289012,0.0588170717742413,0.8083754703970255,0.8616076546364566,False
f1,relevance to input,Relevance,16,77,131,408,93,147,632,0.7078716243946483,2.372285382554063,0.1235061245967566,0.6399226682364528,False
win rate,relevance to input,Relevance,6,16,141,469,22,147,632,1.1798839458413926,0.198432419042323,0.6559891385106349,0.7646842153883474,False
precision,relevance to input,Relevance,9,27,138,458,36,147,632,1.079710144927536,0.0637736768514838,0.800627946038189,0.8568452389138957,False
spearman correlation,relevance to input,Relevance,10,11,137,474,21,147,632,2.1237400069516856,6.170875492531303,0.0129870323632186,0.2047696740717843,False
pearson correlation,relevance to input,Relevance,9,6,138,479,15,147,632,2.6826086956521737,9.517053392839594,0.0020357118898741,0.0615767378072324,False
bleurt,relevance to input,Relevance,8,24,139,461,32,147,632,1.079136690647482,0.056303017583529,0.8124375838778902,0.8644260272906698,False
qafacteval,relevance to input,Relevance,1,9,146,476,10,147,632,0.4260273972602739,1.1963854110985226,0.2740453168211696,0.740781719303381,False
cider,relevance to input,Relevance,3,13,144,472,16,147,632,0.8020833333333334,0.1962409910123299,0.6577722731489659,0.7646842153883474,False
mrr,relevance to input,Relevance,3,10,144,475,13,147,632,0.9919871794871796,0.000248304477616,0.9874277107432922,0.9917009807552142,False
distinct,relevance to input,Relevance,2,14,145,471,16,147,632,0.5310344827586206,1.2167951112503514,0.2699905309216122,0.740781719303381,False
attack success rate asr,relevance to input,Relevance,1,13,146,472,14,147,632,0.3023483365949119,2.641230057986091,0.1041228982835368,0.6131803250382504,False
perplexity,relevance to input,Relevance,4,25,143,460,29,147,632,0.5816252712804437,1.70537279831155,0.1915868285689052,0.740781719303381,False
alignscore,relevance to input,Relevance,3,8,144,477,11,147,632,1.1761363636363635,0.0973907006276005,0.7549836533558547,0.8268653305316517,False
chair,relevance to input,Relevance,1,9,146,476,10,147,632,0.4260273972602739,1.1963854110985226,0.2740453168211696,0.740781719303381,False
chrf,relevance to input,Relevance,4,9,143,476,13,147,632,1.3318988703604089,0.3933373654471273,0.5305503368347996,0.740781719303381,False
comet,relevance to input,Relevance,3,24,144,461,27,147,632,0.4668209876543209,2.720448007276836,0.0990702052504274,0.6060180782710091,False
cosine similarity,relevance to input,Relevance,2,11,145,474,13,147,632,0.6567639257294431,0.5051895944936637,0.4772286915679418,0.740781719303381,False
auroc,relevance to input,Relevance,0,10,147,475,10,147,632,0.0,5.3433584576391215,0.0208013605287305,0.2737099885399151,False
rouge,relative factual accuracy,Faithfulness,3,162,9,458,165,12,632,0.9434343434343434,0.0078501761904741,0.9293988384582332,0.9477366991772788,False
bleu,relative factual accuracy,Faithfulness,3,146,9,474,149,12,632,1.0805369127516775,0.0135858678809303,0.9072099802207172,0.9332323137366094,False
accuracy,relative factual accuracy,Faithfulness,4,123,8,497,127,12,632,1.9881889763779528,1.1760052270902732,0.2781707549339707,0.740781719303381,False
exact match,relative factual accuracy,Faithfulness,3,34,9,586,37,12,632,5.36036036036036,4.77530888543195,0.0288706667574214,0.3252657127236532,False
moverscore,relative factual accuracy,Faithfulness,0,19,12,601,19,12,632,0.0,0.7397412866218716,0.3897437658336706,0.740781719303381,False
meteor,relative factual accuracy,Faithfulness,0,60,12,560,60,12,632,0.0,2.4182330713071805,0.1199301365134625,0.6285163887768569,False
unieval,relative factual accuracy,Faithfulness,0,21,12,599,21,12,632,0.0,0.8189518677165762,0.3654867933750026,0.740781719303381,False
g eval,relative factual accuracy,Faithfulness,1,22,11,598,23,12,632,2.407114624505929,0.5730035090757863,0.4490678642805524,0.740781719303381,False
bertscore,relative factual accuracy,Faithfulness,2,131,10,489,133,12,632,0.750375939849624,0.1490341384306415,0.6994600840982378,0.7867850515471567,False
bartscore,relative factual accuracy,Faithfulness,0,34,12,586,34,12,632,0.0,1.3402930924008831,0.2469822873983688,0.740781719303381,False
questeval,relative factual accuracy,Faithfulness,1,9,11,611,10,12,632,5.654545454545455,1.8293271120711123,0.1762070443250344,0.7391804680515781,False
ndcg,relative factual accuracy,Faithfulness,0,10,12,610,10,12,632,0.0,0.3864938097338428,0.5341481860637087,0.740781719303381,False
recall,relative factual accuracy,Faithfulness,1,56,11,564,57,12,632,0.9170653907496013,0.0071714418052118,0.9325123256252256,0.9485901243429018,False
f1,relative factual accuracy,Faithfulness,2,91,10,529,93,12,632,1.1591397849462366,0.0358723460491705,0.8497793533311029,0.8922643499816203,False
win rate,relative factual accuracy,Faithfulness,0,22,12,598,22,12,632,0.0,0.8586554138775983,0.35411523815521,0.740781719303381,False
precision,relative factual accuracy,Faithfulness,1,35,11,585,36,12,632,1.505050505050505,0.1399646945439704,0.7083161132086984,0.7917580190842086,False
spearman correlation,relative factual accuracy,Faithfulness,0,21,12,599,21,12,632,0.0,0.8189518677165762,0.3654867933750026,0.740781719303381,False
pearson correlation,relative factual accuracy,Faithfulness,0,15,12,605,15,12,632,0.0,0.5821001511671188,0.4454903041462347,0.740781719303381,False
bleurt,relative factual accuracy,Faithfulness,0,32,12,588,32,12,632,0.0,1.2593459025070914,0.2617749386320229,0.740781719303381,False
qafacteval,relative factual accuracy,Faithfulness,1,9,11,611,10,12,632,5.654545454545455,1.8293271120711123,0.1762070443250344,0.7391804680515781,False
cider,relative factual accuracy,Faithfulness,0,16,12,604,16,12,632,0.0,0.6214134650576334,0.4305225180518499,0.740781719303381,False
mrr,relative factual accuracy,Faithfulness,0,13,12,607,13,12,632,0.0,0.5036661957985271,0.4778936418087872,0.740781719303381,False
distinct,relative factual accuracy,Faithfulness,0,16,12,604,16,12,632,0.0,0.6214134650576334,0.4305225180518499,0.740781719303381,False
attack success rate asr,relative factual accuracy,Faithfulness,0,14,12,606,14,12,632,0.0,0.5428511314010157,0.4612535212094134,0.740781719303381,False
perplexity,relative factual accuracy,Faithfulness,0,29,12,591,29,12,632,0.0,1.1384347541199504,0.2859833149324621,0.740781719303381,False
alignscore,relative factual accuracy,Faithfulness,2,9,10,611,11,12,632,11.290909090909093,6.062199157102958,0.0138105600698939,0.2105983118228488,False
chair,relative factual accuracy,Faithfulness,0,10,12,610,10,12,632,0.0,0.3864938097338428,0.5341481860637087,0.740781719303381,False
chrf,relative factual accuracy,Faithfulness,0,13,12,607,13,12,632,0.0,0.5036661957985271,0.4778936418087872,0.740781719303381,False
comet,relative factual accuracy,Faithfulness,0,27,12,593,27,12,632,0.0,1.0581644270819124,0.3036342101842935,0.740781719303381,False
cosine similarity,relative factual accuracy,Faithfulness,0,13,12,607,13,12,632,0.0,0.5036661957985271,0.4778936418087872,0.740781719303381,False
auroc,relative factual accuracy,Faithfulness,0,10,12,610,10,12,632,0.0,0.3864938097338428,0.5341481860637087,0.740781719303381,False
rouge,specificity/non-specificity (relative to input),Specificity,11,154,15,452,165,26,632,2.0755555555555554,3.34839220492517,0.0672706886750472,0.5092920873510547,False
bleu,specificity/non-specificity (relative to input),Specificity,8,141,18,465,149,26,632,1.4407158836689038,0.7340687423937955,0.3915675215020745,0.740781719303381,False
accuracy,specificity/non-specificity (relative to input),Specificity,6,121,20,485,127,26,632,1.1929133858267715,0.1452383965724335,0.7031278922960932,0.7904246558141085,False
exact match,specificity/non-specificity (relative to input),Specificity,2,35,24,571,37,26,632,1.34009009009009,0.1526472838933322,0.6960182477893815,0.7843606748039302,False
moverscore,specificity/non-specificity (relative to input),Specificity,1,18,25,588,19,26,632,1.2905263157894735,0.0606036988388419,0.8055443017378369,0.8595919065802239,False
meteor,specificity/non-specificity (relative to input),Specificity,4,56,22,550,60,26,632,1.7333333333333332,0.9459957515907562,0.3307406429543166,0.740781719303381,False
unieval,specificity/non-specificity (relative to input),Specificity,2,19,24,587,21,26,632,2.4246031746031744,1.205196881879425,0.2722854576517616,0.740781719303381,False
g eval,specificity/non-specificity (relative to input),Specificity,2,21,24,585,23,26,632,2.2065217391304346,0.9842233297032889,0.3211583536203471,0.740781719303381,False
bertscore,specificity/non-specificity (relative to input),Specificity,8,125,18,481,133,26,632,1.66750208855472,1.4100755599563186,0.2350438502637771,0.740781719303381,False
bartscore,specificity/non-specificity (relative to input),Specificity,4,30,22,576,34,26,632,3.1978609625668444,3.713664567768211,0.0539687800987662,0.4659950979576102,False
questeval,specificity/non-specificity (relative to input),Specificity,0,10,26,596,10,26,632,0.0,0.8470508599762027,0.3573879761266516,0.740781719303381,False
ndcg,specificity/non-specificity (relative to input),Specificity,0,10,26,596,10,26,632,0.0,0.8470508599762027,0.3573879761266516,0.740781719303381,False
recall,specificity/non-specificity (relative to input),Specificity,2,55,24,551,57,26,632,0.8406432748538011,0.0608222994345442,0.8052009517103647,0.8595919065802239,False
f1,specificity/non-specificity (relative to input),Specificity,7,86,19,520,93,26,632,2.135257498585173,2.720862231291627,0.0990444997630686,0.6060180782710091,False
win rate,specificity/non-specificity (relative to input),Specificity,3,19,23,587,22,26,632,3.6166007905138335,3.403062767819986,0.0650754835728631,0.4980044328651322,False
precision,specificity/non-specificity (relative to input),Specificity,1,35,25,571,36,26,632,0.6622222222222222,0.1930253725973373,0.6604104645796,0.7646842153883474,False
spearman correlation,specificity/non-specificity (relative to input),Specificity,1,20,25,586,21,26,632,1.1638095238095236,0.0220801862568369,0.881873982738682,0.9165647642159316,False
pearson correlation,specificity/non-specificity (relative to input),Specificity,1,14,25,592,15,26,632,1.645333333333333,0.2160017514866543,0.6421034173761835,0.7586609498585527,False
bleurt,specificity/non-specificity (relative to input),Specificity,0,32,26,574,32,26,632,0.0,2.760611801105291,0.0966112843796799,0.5991157816520808,False
qafacteval,specificity/non-specificity (relative to input),Specificity,0,10,26,596,10,26,632,0.0,0.8470508599762027,0.3573879761266516,0.740781719303381,False
cider,specificity/non-specificity (relative to input),Specificity,1,15,25,591,16,26,632,1.54,0.1653627740164688,0.6842663767642477,0.7784091454845232,False
mrr,specificity/non-specificity (relative to input),Specificity,1,12,25,594,13,26,632,1.9046153846153848,0.3478024721159023,0.5553597410586064,0.740781719303381,False
distinct,specificity/non-specificity (relative to input),Specificity,0,16,26,590,16,26,632,0.0,1.3619855540450696,0.2431936639815452,0.740781719303381,False
attack success rate asr,specificity/non-specificity (relative to input),Specificity,0,14,26,592,14,26,632,0.0,1.189773370575685,0.2753752748900308,0.740781719303381,False
perplexity,specificity/non-specificity (relative to input),Specificity,1,28,25,578,29,26,632,0.8317241379310345,0.035969714790246,0.8495780480460046,0.8922643499816203,False
alignscore,specificity/non-specificity (relative to input),Specificity,2,9,24,597,11,26,632,4.704545454545455,3.1879797073168,0.0741816374379621,0.5341662002914677,False
chair,specificity/non-specificity (relative to input),Specificity,0,10,26,596,10,26,632,0.0,0.8470508599762027,0.3573879761266516,0.740781719303381,False
chrf,specificity/non-specificity (relative to input),Specificity,0,13,26,593,13,26,632,0.0,1.1038807133909796,0.2934160246100975,0.740781719303381,False
comet,specificity/non-specificity (relative to input),Specificity,0,27,26,579,27,26,632,0.0,2.31948589782897,0.1277622456988735,0.6437386980254536,False
cosine similarity,specificity/non-specificity (relative to input),Specificity,1,12,25,594,13,26,632,1.9046153846153848,0.3478024721159023,0.5553597410586064,0.740781719303381,False
auroc,specificity/non-specificity (relative to input),Specificity,0,10,26,596,10,26,632,0.0,0.8470508599762027,0.3573879761266516,0.740781719303381,False
rouge,overall quality / preference,Overall Quality,20,145,52,415,165,72,632,1.088578088578089,0.1161370047499747,0.7332625842199939,0.8098654991173724,False
bleu,overall quality / preference,Overall Quality,21,128,51,432,149,72,632,1.3347808922226607,1.3506014150838697,0.2451730041367051,0.740781719303381,False
accuracy,overall quality / preference,Overall Quality,14,113,58,447,127,72,632,0.9598153679065978,0.0215668241533049,0.8832453075229372,0.9167294562050942,False
exact match,overall quality / preference,Overall Quality,2,35,70,525,37,72,632,0.4594594594594595,1.675539786259563,0.1955181657463496,0.740781719303381,False
moverscore,overall quality / preference,Overall Quality,3,16,69,544,19,72,632,1.402745995423341,0.3409736778665875,0.5592677351030604,0.740781719303381,False
meteor,overall quality / preference,Overall Quality,5,55,67,505,60,72,632,0.7114427860696517,0.6645757478922616,0.414949164879616,0.740781719303381,False
unieval,overall quality / preference,Overall Quality,1,20,71,540,21,72,632,0.4097920858484238,1.1731529995564167,0.2787543299124213,0.740781719303381,False
g eval,overall quality / preference,Overall Quality,3,20,69,540,23,72,632,1.1512287334593572,0.0620243147978637,0.8033245708178745,0.8587262653570382,False
bertscore,overall quality / preference,Overall Quality,16,117,56,443,133,72,632,1.0719656283566057,0.0670690962901523,0.795652972044256,0.8535186427383837,False
bartscore,overall quality / preference,Overall Quality,5,29,67,531,34,72,632,1.3125548726953469,0.3636327086480615,0.5464956114563976,0.740781719303381,False
questeval,overall quality / preference,Overall Quality,0,10,72,550,10,72,632,0.0,2.4396271065586115,0.1183043458443603,0.6275541896847227,False
ndcg,overall quality / preference,Overall Quality,1,9,71,551,10,72,632,0.8760563380281691,0.0202426776278731,0.8868613992931039,0.9190195463496243,False
recall,overall quality / preference,Overall Quality,5,52,67,508,57,72,632,0.752814873003404,0.4553714314622112,0.499795123049089,0.740781719303381,False
f1,overall quality / preference,Overall Quality,9,84,63,476,93,72,632,0.8279569892473119,0.3302214715865927,0.565528706676879,0.740781719303381,False
win rate,overall quality / preference,Overall Quality,9,13,63,547,22,72,632,3.961038961038961,13.181970655708596,0.000282655362366,0.0136046488886179,True
precision,overall quality / preference,Overall Quality,3,33,69,527,36,72,632,0.7198067632850241,0.3840851616946694,0.5354249951804899,0.740781719303381,False
spearman correlation,overall quality / preference,Overall Quality,8,13,64,547,21,72,632,3.6369047619047614,10.51242127510715,0.0011857478501648,0.0409194871311609,True
pearson correlation,overall quality / preference,Overall Quality,6,9,66,551,15,72,632,3.7393939393939393,8.354535411091229,0.0038472582253349,0.0954828375005509,False
bleurt,overall quality / preference,Overall Quality,3,29,69,531,32,72,632,0.8152173913043478,0.1431873126444829,0.705132729511581,0.7917580190842086,False
qafacteval,overall quality / preference,Overall Quality,0,10,72,550,10,72,632,0.0,2.4396271065586115,0.1183043458443603,0.6275541896847227,False
cider,overall quality / preference,Overall Quality,1,15,71,545,16,72,632,0.5422535211267606,0.5025418575173162,0.4783853762322642,0.740781719303381,False
mrr,overall quality / preference,Overall Quality,1,12,71,548,13,72,632,0.6706392199349946,0.2000810388913835,0.6546554417149628,0.7646842153883474,False
distinct,overall quality / preference,Overall Quality,4,12,68,548,16,72,632,2.264705882352941,2.362853984494808,0.1242546809295279,0.640817202277556,False
attack success rate asr,overall quality / preference,Overall Quality,0,14,72,546,14,72,632,0.0,3.427184520659851,0.0641313446826293,0.4980044328651322,False
perplexity,overall quality / preference,Overall Quality,3,26,69,534,29,72,632,0.904047976011994,0.0339252474519996,0.8538659131873672,0.894968914166014,False
alignscore,overall quality / preference,Overall Quality,0,11,72,549,11,72,632,0.0,2.685881441013412,0.1012411906994151,0.6102152194048444,False
chair,overall quality / preference,Overall Quality,0,10,72,550,10,72,632,0.0,2.4396271065586115,0.1183043458443603,0.6275541896847227,False
chrf,overall quality / preference,Overall Quality,2,11,70,549,13,72,632,1.3604395604395605,0.1917717972662274,0.6614460392075245,0.7647185876805072,False
comet,overall quality / preference,Overall Quality,3,24,69,536,27,72,632,0.9742351046698872,0.0022261960971837,0.962367709162875,0.9713965452863677,False
cosine similarity,overall quality / preference,Overall Quality,4,9,68,551,13,72,632,2.800904977375566,3.6092692805609534,0.0574583606522476,0.4668166391393362,False
auroc,overall quality / preference,Overall Quality,1,9,71,551,10,72,632,0.8760563380281691,0.0202426776278731,0.8868613992931039,0.9190195463496243,False
rouge,coherence,Coherence,44,121,69,398,165,113,632,1.804830917874396,11.009277056557304,0.0009065699817081,0.0318868557027717,True
bleu,coherence,Coherence,41,108,72,411,149,113,632,1.845917225950783,11.435027829115842,0.0007207239530209,0.0263640822015048,True
accuracy,coherence,Coherence,10,117,103,402,127,113,632,0.3860561119180491,12.60483634540456,0.0003847499276973,0.0171636004331333,True
exact match,coherence,Coherence,5,32,108,487,37,113,632,0.7444944944944946,0.5453961562717353,0.4602049479369108,0.740781719303381,False
moverscore,coherence,Coherence,13,6,100,513,19,113,632,4.194210526315789,24.47307504789088,7.535557024097036e-07,0.0001722816724634,True
meteor,coherence,Coherence,19,41,94,478,60,113,632,1.9269503546099291,7.482832847976228,0.0062289993507222,0.1340334095584827,False
unieval,coherence,Coherence,13,8,100,511,21,113,632,3.782380952380952,20.975396301054676,4.652195959374804e-06,0.0005672577606464,True
g eval,coherence,Coherence,13,10,100,509,23,113,632,3.442173913043478,18.10943564298215,2.085653432265528e-05,0.0018165048226731,True
bertscore,coherence,Coherence,42,91,71,428,133,113,632,2.219421793921423,19.36724085919885,1.0784119283600994e-05,0.0010957863427614,True
bartscore,coherence,Coherence,19,15,94,504,34,113,632,3.555068836045056,26.629743571683164,2.464207970673193e-07,9.096199107445276e-05,True
questeval,coherence,Coherence,1,9,112,510,10,113,632,0.5553571428571429,0.4938690139183297,0.4822064835314072,0.740781719303381,False
ndcg,coherence,Coherence,0,10,113,509,10,113,632,0.0,3.974568956328362,0.0461922745181111,0.4245511059981173,False
recall,coherence,Coherence,4,53,109,466,57,113,632,0.3701915338805729,6.133072052894029,0.0132676139024288,0.2060243414521818,False
f1,coherence,Coherence,13,80,100,439,93,113,632,0.7534408602150537,1.1908919994815568,0.2751497032523246,0.740781719303381,False
win rate,coherence,Coherence,5,17,108,502,22,113,632,1.2836700336700335,0.3430188060849914,0.5580918713190285,0.740781719303381,False
precision,coherence,Coherence,3,33,110,486,36,113,632,0.4515151515151515,2.8117134301174547,0.0935783786262781,0.5901891534740096,False
spearman correlation,coherence,Coherence,11,10,102,509,21,113,632,3.137721755368814,13.34382257424178,0.0002592752975734,0.0128166086287003,True
pearson correlation,coherence,Coherence,9,6,104,513,15,113,632,3.5596153846153844,13.607915103535138,0.0002252338862551,0.0114431327211297,True
bleurt,coherence,Coherence,5,27,108,492,32,113,632,0.8680555555555556,0.1206043837256274,0.7283799089236901,0.8069090571904478,False
qafacteval,coherence,Coherence,1,9,112,510,10,113,632,0.5553571428571429,0.4938690139183297,0.4822064835314072,0.740781719303381,False
cider,coherence,Coherence,1,15,112,504,16,113,632,0.34375,1.909349680584044,0.1670355150820474,0.7254482348742991,False
mrr,coherence,Coherence,0,13,113,506,13,113,632,0.0,5.180745210820611,0.0228385266047841,0.2897170094111515,False
distinct,coherence,Coherence,5,11,108,508,16,113,632,1.7824074074074074,1.724789185951122,0.1890777369997935,0.740781719303381,False
attack success rate asr,coherence,Coherence,0,14,113,505,14,113,632,0.0,5.5842436258430235,0.0181227578437846,0.2473621201215078,False
perplexity,coherence,Coherence,8,21,105,498,29,113,632,1.5842364532019704,1.745376355140568,0.1864590463193799,0.740781719303381,False
alignscore,coherence,Coherence,1,10,112,509,11,113,632,0.5040584415584416,0.690946561915893,0.405842606433116,0.740781719303381,False
chair,coherence,Coherence,0,10,113,509,10,113,632,0.0,3.974568956328362,0.0461922745181111,0.4245511059981173,False
chrf,coherence,Coherence,2,11,111,508,13,113,632,0.8579348579348579,0.0584457237962834,0.8089696187880264,0.861738749425335,False
comet,coherence,Coherence,3,24,110,495,27,113,632,0.611111111111111,0.984814470939558,0.3210130743201597,0.740781719303381,False
cosine similarity,coherence,Coherence,1,12,112,507,13,113,632,0.4251373626373627,1.138969975389451,0.285870082132058,0.740781719303381,False
auroc,coherence,Coherence,0,10,113,509,10,113,632,0.0,3.974568956328362,0.0461922745181111,0.4245511059981173,False
rouge,appropriateness (outputs as a whole),Appropriateness,9,156,37,430,165,46,632,0.6884520884520884,1.1651809513537223,0.2803936423705228,0.740781719303381,False
bleu,appropriateness (outputs as a whole),Appropriateness,12,137,34,449,149,46,632,1.1440979076194235,0.1699078785018182,0.6801936919369125,0.7784091454845232,False
accuracy,appropriateness (outputs as a whole),Appropriateness,5,122,41,464,127,46,632,0.4849241405799884,3.004146786750349,0.0830516932933205,0.5604546200958308,False
exact match,appropriateness (outputs as a whole),Appropriateness,0,37,46,549,37,46,632,0.0,5.7694169955342085,0.0163074436703354,0.2312117401011123,False
moverscore,appropriateness (outputs as a whole),Appropriateness,1,18,45,568,19,46,632,0.7169590643274854,0.1292387050709802,0.7192226849599711,0.8016199212625151,False
meteor,appropriateness (outputs as a whole),Appropriateness,2,58,44,528,60,46,632,0.4333333333333333,1.8523800594748536,0.173506832910535,0.7380092962636479,False
unieval,appropriateness (outputs as a whole),Appropriateness,1,20,45,566,21,46,632,0.6465608465608466,0.2293773957906282,0.6319858648522165,0.7539882696414163,False
g eval,appropriateness (outputs as a whole),Appropriateness,2,21,44,565,23,46,632,1.2035573122529646,0.0673034238855506,0.7953042301436538,0.8535186427383837,False
bertscore,appropriateness (outputs as a whole),Appropriateness,10,123,36,463,133,46,632,1.0421888053467,0.0143096075583323,0.904781979882566,0.9328585882102418,False
bartscore,appropriateness (outputs as a whole),Appropriateness,3,31,43,555,34,46,632,1.2270861833105338,0.120031559794046,0.7290002629233103,0.8071074339508079,False
questeval,appropriateness (outputs as a whole),Appropriateness,0,10,46,576,10,46,632,0.0,1.5239505714963886,0.2170226315456218,0.740781719303381,False
ndcg,appropriateness (outputs as a whole),Appropriateness,1,9,45,577,10,46,632,1.3822222222222222,0.100857134679673,0.7508034535145143,0.8237669564955289,False
recall,appropriateness (outputs as a whole),Appropriateness,2,55,44,531,57,46,632,0.4585326953748006,1.5821943318382328,0.2084449006556503,0.740781719303381,False
f1,appropriateness (outputs as a whole),Appropriateness,5,88,41,498,93,46,632,0.7067925517964858,0.629745832780519,0.4274485594175116,0.740781719303381,False
win rate,appropriateness (outputs as a whole),Appropriateness,1,21,45,565,22,46,632,0.6161616161616162,0.2872393076215844,0.5919951025207141,0.7482785366346828,False
precision,appropriateness (outputs as a whole),Appropriateness,2,34,44,552,36,46,632,0.7525252525252525,0.1809889004943483,0.6705247689172873,0.7714242996350326,False
