criterion,count
Interpretability,3
Irrelevant,3
Language,3
Language fluency,3
Level of detail,3
Logical coherence,3
Match,3
Natural,3
Non-Redundancy,3
Organization,3
Other Error,3
Overall Satisfaction,3
Overall Score,3
Overall score,3
Planning,3
Politeness,3
REDUNDANCY,3
Realism,3
Reasonableness,3
SENTIMENT,3
Semantic Similarity,3
Semantic consistency,3
Semantic equivalence,3
Semantics,3
Significance,3
Singability,3
Spelling,3
Support,3
Supportiveness,3
Task Success,3
Task completion,3
Translation Quality,3
Uniqueness,3
Unrelated,3
Unverifiable,3
VALIDITY,3
agreement,3
annotation correctness,3
closeness to reference,3
coherent,3
common sense,3
commonsense,3
commonsense alignment,3
compatibility,3
context coherence,3
contextual appropriateness,3
contradiction detection,3
controllability,3
correct,3
critical errors,3
cultural appropriateness,3
disfluencies,3
dissimilarity,3
emotion,3
engaging,3
equivalence,3
error categorization,3
error correction,3
error types,3
expressiveness,3
factual support,3
factualness,3
flexibility,3
functionality,3
general quality,3
hallucination presence,3
hallucination type,3
image relevance,3
immersion,3
information completeness,3
instruction following,3
interest,3
interpretability,3
justification,3
knowledge relevance,3
label adherence,3
label correctness,3
language,3
likability,3
linguistic quality,3
logical correctness,3
logical validity,3
misinformation,3
missing information,3
organization,3
overall response quality,3
overall summary quality,3
paraphrase quality,3
personalization,3
poeticness,3
politeness,3
prosody,3
reasoning,3
semantic accuracy,3
semantic completeness,3
severity,3
severity levels,3
similarity to reference,3
stance,3
stereotypical,3
style control,3
supportiveness,3
text quality,3
time taken,3
tone,3
unambiguity,3
warmth,3
word choice,3
word order,3
Abstention,2
Acceptance,2
Answer Accuracy,2
Answer Relevance,2
Answer Relevancy,2
Anthropomorphism,2
Applicability,2
Appropriate Length,2
Argument Clarity,2
Argumentative Effectiveness,2
Attributability,2
Attribute Relevance,2
Background noise,2
Believability,2
CONTEXT,2
Category Accuracy,2
Character Consistency,2
Character Fidelity,2
Clarity of Expression,2
Comfort,2
Compactness,2
Conflict,2
Constraint Satisfaction,2
Content Coverage,2
Content Relevance,2
Content relevance,2
Context,2
Contextual Consistency,2
Contextualization,2
Contradictory,2
Contribution,2
Coreference,2
Creativeness,2
Cultural Appropriateness,2
Cultural Relevance,2
Descriptiveness,2
Difficulty,2
Duplication,2
Ease of use,2
Edge correctness,2
Effort,2
Emotion,2
Emotional Expression,2
Emotional Support,2
Engaging,2
Entity Error,2
Error severity,2
Evidence,2
Exact Match,2
Execution Accuracy,2
Expressiveness,2
Extra words,2
F1-score,2
Factual consistency,2
Fairness,2
Familiarity,2
Flexibility,2
Flow,2
Friendliness,2
Functional correctness,2
Gender accuracy,2
Gender correctness,2
Givenness,2
Goal Completion,2
Goal achievement,2
Good,2
Granularity,2
Hallucination Degree,2
Hallucination Error,2
Harmony,2
Helpful,2
Helpfulness for understanding AI's reasoning,2
Human-Likeness,2
Human-like,2
Humanoid,2
Image Aesthetics,2
Imaginability,2
Inaccuracy Extrinsic,2
Inaccuracy Intrinsic,2
Incorrect,2
Incorrect named entity,2
Independent Counterspeech,2
Information,2
Information Coverage,2
Informativity,2
Inquisitiveness,2
Insightfulness,2
Instruction quality,2
Interest,2
Interest Level,2
Irrelevance,2
Knowledge Accuracy,2
Knowledge Correctness,2
Knowledgeable,2
Label Consistency,2
Language correctness,2
Level of Detail,2
Likability,2
Likeable,2
Linguistic Acceptability,2
Major errors,2
Meaning,2
Medical Proficiency,2
Minimality,2
Minor errors,2
Misleading,2
Missing words,2
Mistranslation,2
Motivational,2
NAME,2
NLI label correctness,2
NUMBER,2
Neutral,2
Neutrality,2
No Error,2
Non-Repetitiveness,2
Non-contradiction,2
Non-translation,2
Nonredundancy,2
Normativity,2
Not Checkable,2
Offensiveness,2
On-topic,2
Openness,2
Orderliness,2
Overall rating,2
Partnership,2
Persona,2
Persona Consistency,2
Persona consistency,2
Pertinence,2
Plausible,2
Poeticness,2
Presentation,2
Preservation,2
Privacy,2
Question Complexity,2
Question Meaningfulness,2
Reasoning Correctness,2
Reasoning Quality,2
Refusal,2
Refuted,2
Related,2
Relatedness,2
Relationship,2
Repetition,2
Repetitiveness,2
Reproducibility,2
Responsiveness,2
Robustness,2
Saliency,2
Self-Contradiction,2
Sensitivity,2
Sentence Fluency,2
Sentiment relevance,2
Severity,2
Simulatability,2
Solution Completeness,2
Solvability,2
Storyline Quality,2
Style Strength,2
Stylistic consistency,2
Subjective preference,2
Success,2
Sufficiency of detail,2
Surprise,2
Target Identification Accuracy,2
Task Relevance,2
Text Fluency,2
Text Quality,2
Theory of Mind,2
Thoroughness,2
Topic,2
Topic Depth,2
Topic Relevance,2
Transfer Accuracy,2
Translation quality,2
Unambiguity,2
Unsafe,2
Untranslated text,2
Veridicality,2
Visual Completeness,2
Visual Consistency,2
Visual Quality,2
Visual Relevance,2
WORD,2
Word Form,2
Word Order,2
Word choice,2
ZP translation accuracy,2
actionable,2
aesthetic appeal,2
applicability,2
aspect coverage,2
attribute relevance,2
attribution accuracy,2
avoiding repetition,2
capitalization,2
causality,2
citation quality,2
classification accuracy,2
clear,2
clinical risk,2
clinical significance,2
closeness,2
cohesiveness,2
commonsense correctness,2
compactness,2
comparative quality,2
compliance,2
comprehension,2
comprehensive,2
confusing,2
constraint satisfaction,2
constructiveness,2
content coverage,2
content overlap,2
context consistency,2
context sensitivity,2
contradictory,2
control,2
cooperation,2
correctness of reasoning,2
decision accuracy,2
deletion,2
descriptiveness,2
detailed reasoning,2
detectability,2
difference,2
difficulty level,2
discourse errors,2
distinctness,2
domain,2
domain relevance,2
ease of understanding,2
emotion provocation,2
emotional consistency,2
emotional impact,2
enjoyability,2
entertaining,2
entity,2
error count,2
error type classification,2
errors,2
ethical risk,2
event coverage,2
evidence relevance,2
explanation correctness,2
explanation quality,2
factual errors,2
familiarity,2
fear,2
focus,2
format,2
fully supported,2
gender correctness,2
generalizability,2
goal success rate,2
grammar errors,2
grammatical accuracy,2
grammatical consistency,2
grammatically correct,2
hate speech,2
hatefulness,2
humanlikeness,2
humor,2
imageability,2
impact,2
inclusive language,2
information coverage,2
information loss,2
informative,2
inquisitiveness,2
insightfulness,2
instruction adherence,2
insufficient justification,2
intent,2
intent preservation,2
inter-annotator agreement,2
knowledge,2
knowledge accuracy,2
knowledgeability,2
knowledgeable,2
language naturalness,2
layout,2
leakage,2
lexical divergence,2
linguistic style,2
listening,2
literalness,2
logical,2
logical flow,2
logical rationality,2
logical reasoning,2
logical relevance,2
logical soundness,2
major hallucinations,2
meaning accuracy,2
meaning equivalence,2
memorability,2
minimal edits,2
minimality,2
minor hallucinations,2
misleading,2
missing,2
missing facts,2
natural flow,2
necessity,2
neutrality,2
no new facts,2
objectivity,2
on-topic,2
on-topic relevance,2
other,2
over-translation,2
overall explanation quality,2
overall impression,2
overall ranking,2
overall satisfaction,2
paraphrase,2
partial correctness,2
partial hallucination,2
partially supported,2
phonetic similarity,2
question clarity,2
question relevance,2
reasonability,2
reasoning quality,2
reasoning requirement,2
redundancies,2
relation,2
relative quality,2
relevance to context,2
relevance to prompt,2
relevance to query,2
repetitions,2
rephrasing,2
respect,2
response quality,2
response time,2
responsiveness,2
reusability,2
saliency,2
self-containedness,2
self-containment,2
semantic,2
semantic appropriateness,2
semantic faithfulness,2
semantic relevance,2
sentiment transfer,2
significance,2
sound quality,2
speech quality,2
style accuracy,2
style appropriateness,2
style consistency,2
style transfer accuracy,2
suitableness,2
summary quality,2
surprise,2
syntax correctness,2
target success rate,2
task adherence,2
terminology correctness,2
text structure,2
text-image alignment,2
thoroughness,2
timbre,2
timbre similarity,2
too verbose,2
topic coherence,2
topic consistency,2
topic depth,2
topicality,2
translation correctness,2
under-translation,2
undertranslation,2
unfair bias,2
user experience,2
user preference,2
user satisfaction,2
utility,2
valence,2
verbosity,2
verification accuracy,2
vocabulary,2
writing quality,2
#Turns,1
#Yes responses,1
A1: asking correct clarifying questions,1
A2: correct API calls,1
A3 RECOGNITION,1
A3: correct final answer,1
AAE Features,1
ACTION,1
AD ACCEPTABILITY,1
AD CONSISTENCY,1
AD SIMILARITY,1
ADDITION,1
AFFECTIVE APPEALS,1
AI authorship,1
AI mistakes,1
APPROPRIATENESS,1
ASR,1
ASR error correction,1
Abrupt Transition from Previous Topic (TopicE),1
Absence of harmful content,1
Absence of offensive/unethical content,1
Absence of target style feature in negative examples,1
Absent,1
Abstract Structure,1
Abstraction,1
Abusive nature,1
Academic Formality,1
Academic style improvement,1
Acceptability thresholds for evaluative expressions,1
Acceptance of the Suggestions,1
Accuracy Level,1
Accuracy and Depth,1
Accuracy and Resources,1
Accuracy of abnormalities description,1
Accuracy of conditions,1
Accuracy of extracted results,1
Accuracy of narrative time estimation,1
Accuracy of reliance,1
Accuracy of spatial estimates (δ≤2 metric),1
Accuracy of stance detector,1
Accuracy-Answer,1
Accuracy-Evidence,1
Accurate Expression,1
Accurate text-to-speech synthesis,1
Acknowledgement,1
Acknowledgment (show empathy),1
Acoustic quality,1
Action inclusion,1
Action parameters,1
Action reason identification accuracy,1
Action types,1
Actions clarity,1
Active Listening,1
Active listening,1
Activity Competence,1
Adaptiveness,1
Added Information correctness,1
Addition (factual),1
Addition (uninformative),1
Addition of communication/followup,1
Addition of comparison,1
Addition of contradicting finding,1
Addition of finding/interpretation,1
Addition of reference to prior report,1
Addresses Question,1
Addressing issues,1
Adequate,1
Adherence to constraints,1
Adherence to guidelines,1
Adherence to perturbation specifications,1
Adherence to prompt and instructions,1
Adoptability,1
Adversarial Modification,1
Adversarialness,1
Advocating Violence,1
Aesthetic,1
Aesthetic Characteristics,1
Aesthetic Quality Score,1
Aesthetic score,1
Aesthetics,1
Affective,1
Affective Bond,1
Affective Improvement,1
Age,1
Agency vs communion,1
Agent Dialogue Act Accuracy,1
Agent Importance,1
Agent ranking,1
Aggregation Satisfaction,1
Aggressiveness,1
Agreeableness,1
Agreement,1
Agreement marker correctness,1
Agreement rate between human and LLM evaluation,1
Agreement with Human Judgment,1
Agreement with human annotations,1
Agreement with narrative,1
Align,1
Alignment accuracy,1
Alignment with Concept Definition,1
Alignment with NL meaning,1
Alignment with actual future,1
Alignment with discourse relation,1
Alignment with instruction,1
Alignment with known sound changes,1
Alignment with population-level human perceptions of uncertainty expressions,1
Alignment with real social media blogger style,1
Alignment with user preferences,1
Ambiguity Detection,1
Ambiguity Handling,1
Ambiguous concept,1
Amount of Summary Space Given to Topic,1
Analogy,1
Analysis,1
Anchor Relevance,1
Anchoring,1
Anglocentrism,1
Annotation quality agreement,1
Annotation speed,1
Annotator confidence,1
Answer Compatibility,1
Answer Consistency,1
Answer Faithfulness,1
Answer Fluency,1
Answer Match,1
Answer Matching,1
Answer accuracy,1
Answer completeness,1
Answer derived from rationale,1
Answer directionality,1
Answer reasoning effectiveness,1
Answer span selection accuracy,1
Answer-Match,1
Answer-span,1
Answerability using context,1
Answerable,1
Anthology Potential,1
Antisocial,1
Apolitical nature,1
Appeal,1
Appeal strategy alignment,1
Applicability to generative language models,1
Application Appropriateness,1
Approach,1
Approachability,1
Appropriate Perspective,1
Appropriate Vocabulary,1
Appropriateness for online posting,1
Appropriateness of demographic groups,1
Appropriateness of metaphoric vs. non-metaphoric classification,1
Appropriateness of translation,1
Argument Arrangement,1
Argument Hallucination,1
Argument Quality,1
Argument correctness,1
Argument for both sides,1
Argument for one side,1
Argument support,1
Argumentativeness,1
Arguments against,1
Arguments in favor,1
Arithmetic error,1
Article style,1
Artifacts Level,1
Artistic qualities,1
Aspect Relevance,1
Aspect Term Translation,1
Aspect coverage,1
Aspect-based Faithfulness,1
Aspect-relevance,1
Assess Readiness for Insight,1
Association of demographic groups with attributes,1
Atmosphere,1
Atomic fact presence,1
Attack validity,1
Attention to detail in reasoning,1
Attitude toward AI,1
Attribute Accuracy,1
Attribute Polarity Ranking,1
Attribute adherence,1
Attribute relevance,1
Attribute validity,1
Attribution Correctness,1
Attribution Failure,1
Audio Dependence,1
Audio Quality,1
Audio understanding,1
Authorship identification,1
Average Turns,1
Avoiding Repetition,1
Avoiding external knowledge,1
Axes Labeling Correctness,1
BEL,1
BFI trait scores,1
BLC vs non-BLC classification,1
Background Consistency of Image,1
Background Integration,1
Bad,1
Bad Math,1
Balance,1
Basic property ratings,1
Beauty of Form,1
Beauty of Meaning,1
Beauty of Sound,1
Behavior errors,1
Behavioral Accuracy,1
Behavioral Coherence,1
Benefit Capture,1
Benign errors,1
Best,1
Best Sentence,1
Best response selection,1
Better Answer,1
Better English,1
Bias and Discrimination,1
Bias avoidance,1
Biasness,1
Binary accuracy,1
Binary task completion,1
Black Sounding,1
Bounding box precision,1
Bragging Intensity,1
Bragging Success,1
Brainstorm and Evaluate Options,1
Branch density,1
Brand Identity Score,1
Brevity Errors,1
Broadening discussion,1
Brush and Ink Skills,1
Buyer's Benefit,1
CEFR level matching,1
COHERENCE,1
COHESION,1
CONCISENESS,1
CTA Effectiveness,1
CTRL semantic alignment,1
Calculation Accuracy,1
Calculation Error,1
Calculation Errors,1
Camera,1
Can't tell,1
Candidate favorability,1
Categorization Threat,1
Category Correctness,1
Category assignment accuracy,1
Category consistency,1
Category relevance,1
Category-Question Alignment,1
Causality Accuracy,1
Causality Type Accuracy,1
Certainty Shift (CS),1
Challenged the Counselor,1
Change Talk Exploration,1
Change of Meaning,1
Change of Plans,1
Character Accuracy,1
Character Arc,1
Character Attractiveness,1
Character Development,1
Character Encoding,1
Character Preservation,1
Character valence,1
Characterization,1
Characters,1
Chart Correctness,1
Chart Data Completeness,1
Chart Data Correctness,1
Chart Type Validation,1
Chat,1
Checklist quality,1
Children appropriateness,1
Children's Educational Appropriateness,1
Choice Agreement,1
CircE,1
Circumstance Error,1
Circumstance Error (CircE),1
Citation Accuracy,1
Citation Precision,1
Citation Recall,1
Citation Support,1
Citation accuracy,1
Citeworthiness,1
City,1
Civil Language,1
Civility,1
Claim verifiability,1
Clarification,1
Clarification (resolve ambiguity),1
Clarification (verify understanding),1
Clarification usefulness,1
Clarify the Desired Change,1
Clarity Errors,1
Clarity and Coherence,1
Clarity and fluency,1
Clarity improvement,1
Clarity of Core Ideas,1
Clarity of the Research Topic and Purpose,1
Clarity of the Theme,1
"Clarity, Cohesion, and Language",1
Clarity/understandability,1
Class correctness,1
Classification consistency,1
Classism,1
Clause translation faithfulness,1
Cleanliness,1
Clear Distinctions,1
Clear Structure,1
Clear alignment with user's initial intent or goal throughout conversation,1
Clear and Concise Language,1
Client empowerment,1
Climax,1
Clinical misinterpretation,1
Clinical relevance,1
Clinical specifics,1
Clinical usefulness,1
Closeness,1
Closeness to Target,1
Closeness to source,1
Closure,1
Clustering accuracy,1
Clustering equivalence,1
Code Quality,1
Code-Switching,1
Cogency,1
Cognitive Restructuring,1
Cognitive abilities,1
Cohen Kappa agreement,1
Cohen's Kappa,1
Cohen's kappa inter-annotator agreement,1
Coherence & Fluency,1
Coherence & Reasoning,1
Coherence and Organization,1
Coherence label alignment,1
Coherence of issue frames,1
Coherence or Consistency Error,1
Coherence to Song Prompt,1
Cohesiveness,1
Collaboration,1
Collaborativeness,1
Colloquial Tone,1
Color,1
Column header-value match,1
Command fulfillment,1
Common Strengths,1
Common Weaknesses,1
Commonsense,1
Commonsense Correctness,1
Commonsense Violation,1
Commonsense compliance,1
Communication,1
Communication Ease,1
Communication Skills,1
Communication accuracy,1
Community label alignment,1
Comparator factuality,1
Compassion,1
Compatibility,1
Competence,1
Competence Threat,1
Complete Goal,1
Complete Response,1
Complete inference,1
Completely Correct,1
Completeness errors,1
Completeness of Essential Features,1
Completeness of conversation reconstruction,1
Completeness of predicted answers,1
Completeness of reason identification,1
Completeness of variables and states,1
Completion,1
Completion Time,1
Completion of all subtasks,1
Completion time,1
Complexity of Claims,1
Complexity reduction,1
Compliance correctness,1
Compliance with facts,1
Comprehension accuracy,1
Comprehension ease (understandability),1
Concealment,1
Conceptual,1
Conceptual Ambiguity,1
Conceptual Clarity,1
Conceptual Confusion,1
Conceptual Error,1
Conceptual errors,1
Conciseness & Non-Redundancy,1
Concision,1
Conclusion follows from premises,1
Conditionality,1
Conditioned CS,1
Conflict label (Conflicting),1
Conflict label (Non-conflicting),1
Conformity,1
Confused Placeholders,1
Connection to story context,1
Conscientiousness,1
Conservatism Injection,1
Considered the protagonist's mental state,1
Consistency & coherence,1
Consistency and coherency,1
Consistency in Terminology,1
Consistency with conversation history,1
Consistency with instructions,1
Consistent,1
Consistent queries,1
Constraint satisfaction,1
Constraint validity,1
Constructiveness,1
Content Addition,1
Content Consistency,1
Content Divergence,1
Content Error,1
Content Quality,1
Content Relevance Errors,1
Content Replication,1
Content coverage,1
Content description,1
Content diversity,1
Content match,1
Content non-hallucination,1
Content recovery,1
Content support,1
Context (implicature errors),1
Context Clueing,1
Context Completeness,1
Context Concision,1
Context Consistency,1
Context Dependency,1
Context Diversity,1
Context Fluency,1
Context Integration,1
Context Maintenance,1
Context Misdirection,1
Context Specificity,1
Context coherence,1
Context gathering,1
Context-based meaning error,1
Context-relevance,1
Contextual Alignment,1
Contextual Appropriateness,1
Contextual Hallucination,1
Contextual Misinterpretation,1
Contextual Mismatch,1
Contextual appropriateness,1
Contextual compatibility,1
Contextual logic,1
Contextual relevance,1
Contextual relevance of each response meaning every turn should meaningfully relate to previous content,1
Contextuality,1
Contingency,1
Contingency relation,1
Contradict,1
Contradicted,1
Contradicting,1
Contradictory Information,1
Control Accuracy,1
Control Relevance,1
Control Success,1
Conversation Coherency,1
Conversation quality,1
Conversational Alignment,1
Conversational Insightfulness,1
Convincingness likelihood,1
Copy,1
Copy from prefix,1
Copy without reasoning,1
Copywriting Quality,1
Core Contributions,1
Core Knowledge Coverage,1
Core medical concepts usage,1
CorefE,1
Coreference Error,1
Coreference Error (CorefE),1
Coreference Information,1
Coreference Resolution Accuracy,1
Correct (Idiomatic),1
Correct (Paraphrase),1
Correct Answer Depth of Understanding,1
Correct Answer Justification,1
Correct Answer Occurrence,1
Correct Answer Prevention of Guesswork,1
Correct Answer Relevance,1
Correct Formula/Algorithm,1
Correct S,1
Correct answer selection,1
Correct article selection,1
Correct labeling,1
Correct mention of Sa,1
Correct mention of Sp,1
Correct mention of wa,1
Correct mention of wp,1
"Correct number, incorrect reasoning",1
Correct paper assignment to leaderboards,1
Correct reasoning with traceability,1
Correct reasoning without traceability,1
"Correct reasoning, incorrect number",1
Correct referent identification,1
Correct use of definitions/instances,1
Correct&Unseen,1
Correct/Incorrect,1
Correction,1
Correction Agreement,1
Correctness (acceptability),1
Correctness (noun phrase accurately describes video content),1
Correctness of NLI label,1
Correctness of Reasons,1
Correctness of answers,1
Correctness of counterfactual representation,1
Correctness of jailbreak classification,1
Correctness of legal elements,1
Correctness of masked name,1
Correctness of modification,1
Correctness of probability translation,1
Correctness of rule-violation label,1
Correctness of variable inclusion,1
Correlation,1
Correlation with GPT-4o scores,1
Cosine Similarity,1
Count accuracy,1
Counter-speech,1
Counting,1
Country,1
Creation,1
Creative,1
Creativity and Reasonableness,1
Credibility,1
Credibility of Evidence,1
Criteria Relevance,1
Critical analysis,1
Cross passage consistency,1
Cultivating Change Talk,1
Cultural Adaptation,1
Cultural Awareness,1
Cultural Behavior,1
Cultural Knowledge,1
Cultural Meaning,1
Cultural Representation,1
Cultural Value,1
Cultural adaptability,1
Cultural and Historical Appropriateness,1
Cultural appropriateness,1
Cultural authenticity,1
Cultural compatibility,1
Cultural norms,1
Cultural understanding & adaptation,1
Cultural-inheritance,1
Culture and History,1
Curiosity,1
DATE_DIMENSION,1
Data Accuracy and Alignment,1
Data Presentation Simplicity,1
Data Quality,1
Data quality,1
Data transparency,1
Data trust,1
Data type conformity,1
Dataset Diversity,1
Dataset correctness,1
"Dataset quality (prompt diversity, error category assignment, question-answer separation)",1
Deal Achievement,1
Deception,1
Decision Consistency,1
Decision Efficiency,1
Decision correctness,1
Deep Implications,1
Deepens Metacognition,1
Defeasibility,1
Deficiency,1
Definition accuracy,1
Degeneration,1
Degree of Target Attribute Transfer,1
Deletion Operation,1
Deletion errors,1
Deletion quality,1
Demeaning,1
Demonstrations,1
Dependency Accuracy,1
Dependency Errors,1
Derivability,1
Describe more than Direct,1
Description Correctness,1
Description Relevance,1
Description and Image Alignment,1
Design,1
Desired Feedback,1
Detached Hallucinations,1
Detail and Depth,1
Detail-Consistency,1
Detailed,1
Detailedness,1
Detectability,1
Detoxification,1
Diagnostic Ability,1
Diagnostic and Treatment Abilities,1
Dialect Expression,1
Dialectness,1
Dialog Engagement,1
Dialogue Consistency,1
Dialogue Experience,1
Dialogue flow,1
Diction,1
Dietary constraint compliance,1
Difference,1
Difference Caption Accuracy,1
Difference in modification,1
Differential,1
Direct copying,1
Direction,1
Directionality,1
Directive Support,1
Directive correctness (structural similarity),1
Disagreement,1
Disagreement with narrative,1
Disambiguation Accuracy,1
Discontinuity,1
Discourse,1
Discourse Coherence,1
Discourse Link Error (LinkE),1
Discourse Marker,1
Discourse Relation,1
Discourse Relations,1
Discourse consistency,1
Discrimination Index,1
Discriminativeness,1
Discussion Summary Faithfulness,1
Disfluent,1
Disparagement,1
Distinctiveness,1
Distortion,1
Distractor Common Mistakes,1
Distractor Differentiation,1
Distractor Format,1
Distractor Length,1
Distractor Plausibility,1
Distractor Relation,1
Distractor Variation,1
Distractor inclusion,1
Diverse,1
Diversity Score,1
Diversity of Shape Types,1
Document Quality,1
Document selection accuracy,1
Domain Compliance,1
Domain relevance,1
EM,1
ES Proficiency,1
EVIDENCE,1
Early Exit Progress,1
Ease of Error Identification,1
Ease of Understanding,1
Easy to understand,1
Echo Chamber,1
Edit Correctness,1
Edit consistency,1
Education Strategy,1
Education task suitability,1
Effect-direction,1
Effectiveness Error,1
Egocentric Thinking,1
Elaboration,1
Element Coverage Ratio,1
Element Layout,1
Embodiment,1
Emotion Accuracy,1
Emotion Appropriateness,1
Emotion Discrimination Test,1
Emotion Enhancement Accuracy,1
Emotion Enhancement Comparison,1
Emotion Evoking,1
Emotion Identification Test,1
Emotion Improvement,1
Emotion Selection Accuracy,1
Emotion Selection Comparison,1
Emotion Strength Test,1
Emotion and Behavior Evaluation,1
Emotion and Sensitivity,1
Emotion-empathy consistency,1
Emotion-politeness consistency,1
Emotional Appeal,1
Emotional Appropriateness,1
Emotional Impact,1
Emotional Intelligence,1
Emotional Resonance,1
Emotional Tension,1
Emotional Understanding,1
Emotional Validation,1
Emotional arousal,1
Emotional authenticity,1
Empathetic,1
Empathetic Tone,1
Empathic Understanding,1
Empathy Sticker,1
Empathy Text,1
Empathy and Respect,1
Empathy correctness,1
Emphasis identification,1
