criterion,count
refusal,5
semantic coherence,5
semantic consistency,5
soundness,5
structure,5
Alignment,4
Answer correctness,4
Answerability,4
Believability,4
Context Relevance,4
Factual Correctness,4
Goal Completion,4
Grammar,4
Grammatical correctness,4
Instruction adherence,4
Interestingness,4
Knowledge,4
Language Fluency,4
Level of Detail,4
Omission,4
Planning,4
Recall,4
Relationship,4
Richness,4
Semantic consistency,4
Similarity,4
Structure,4
Style,4
Understanding,4
User Satisfaction,4
Verbosity,4
Verifiability,4
actionability,4
authenticity,4
code correctness,4
confidence,4
credibility,4
detailedness,4
fairness,4
grammatical correctness,4
originality,4
persuasiveness,4
policy violation,4
preference alignment,4
semantic relevance,4
similarity,4
verbosity,4
Adherence to instructions,3
Agreeableness,3
Authenticity,3
Breadth,3
Comforting,3
Compliance,3
Comprehension,3
Confidence,3
Constraint satisfaction,3
Detail,3
Detailedness,3
Error type,3
Expression,3
F1,3
Financial and Material Benefits,3
Format compliance,3
Guidance,3
Hallucinations,3
Human-likeness,3
Identification,3
Informative,3
Instruction Adherence,3
Instruction-following,3
Logical reasoning,3
Meaningfulness,3
Neutrality,3
Openness,3
Originality,3
Reasoning Quality,3
Relevant,3
Response Quality,3
Response quality,3
Satisfaction,3
Secret,3
Significance,3
Social Rules,3
Soundness,3
Step correctness,3
Supported,3
Sycophancy,3
Translation quality,3
Usefulness,3
Validity,3
answer correctness,3
attribution,3
citation correctness,3
citation precision,3
citation recall,3
coherency,3
context relevance,3
continuity,3
emotional intensity,3
error severity,3
error type,3
factualness,3
formality,3
format,3
goal relevance,3
hallucination rate,3
intent alignment,3
language correctness,3
logical correctness,3
logical flow,3
match,3
meaning preservation,3
omission,3
overall,3
overall score,3
professionalism,3
realism,3
reasoning quality,3
robustness,3
semantic accuracy,3
semantic alignment,3
sentence structure,3
sentiment consistency,3
simplicity,3
step correctness,3
surprise,3
validity,3
AI Coordination,2
Acceptability,2
Adaptability,2
Adequacy,2
Analytical Depth,2
Answer Correctness,2
Answer Relevance,2
Anthropomorphism,2
Attributability,2
Bias,2
Character Consistency,2
Character Fidelity,2
Coherence and Organization,2
Coherent,2
Cohesion,2
Cohesiveness,2
Concise,2
Conflict detection,2
Conscientiousness,2
Content,2
Content accuracy,2
Content correctness,2
Content relevance,2
Contextual Understanding,2
Corrigibility,2
Cultural Relevance,2
Detail Orientation,2
Distinguishability,2
Effectiveness,2
Efficiency,2
Emotional Expression,2
Emotional Impact,2
Emotional Support,2
Empowerment,2
Error identification,2
Error location,2
Extraversion,2
Givenness,2
Grounding,2
Harmful content,2
Helpful,2
Humanness,2
Humanoid,2
Humor,2
Inclusion,2
Information,2
Information Accuracy,2
Information Richness,2
Innovativeness,2
Intent,2
Interest,2
Interesting,2
Irrelevance,2
Irrelevant,2
Language Use,2
Likeable,2
Linguistic Acceptability,2
Logical consistency,2
Logicality,2
Maintains Context,2
Math,2
Metacognition,2
Myopic Reward,2
Neuroticism,2
Neutral,2
Object presence,2
Organization,2
Overall Score,2
Overall score,2
Perplexity,2
Personality,2
Politeness,2
Proactivity,2
Procedure,2
Progressiveness,2
Question answering,2
Reasonableness,2
Relatedness,2
Relevance and Focus,2
Reliability,2
Repetitiveness,2
Robustness,2
STEM,2
Security,2
Semantic Equivalence,2
Semantic Similarity,2
Semantic accuracy,2
Semantic coherence,2
Semantic similarity,2
Sensitivity,2
Sentiment,2
Stability,2
Step Correctness,2
Storyline Quality,2
Structural Alignment,2
Subjectivity,2
Sufficiency,2
Surprise,2
Survival Instinct,2
Task Success,2
Technical Accuracy,2
Theory of Mind,2
Topic Relevance,2
Topicality,2
Utility,2
Visualization Quality,2
Writing,2
actionable,2
adherence,2
alignment with user profile,2
ambiguity,2
answer accuracy,2
aspect coverage,2
attractiveness,2
citation quality,2
citation support,2
coding,2
cohesiveness,2
color,2
compliance,2
comprehensibility,2
constraint compliance,2
constraint satisfaction,2
content alignment,2
content completeness,2
content preservation,2
content relevance,2
contextual consistency,2
contextual relevance,2
contextual understanding,2
convincingness,2
correct,2
correctness of generated answers,2
correctness of reasoning steps,2
decisiveness,2
entity correctness,2
error detection,2
error identification,2
ethics,2
extraction,2
factual alignment,2
factual support,2
fair,2
fear,2
feasibility,2
fidelity,2
final answer correctness,2
format adherence,2
hallucination presence,2
hallucinations,2
harm,2
humor,2
image quality,2
impact,2
incorrectness,2
information completeness,2
information extraction,2
information quality,2
inquisitiveness,2
insightfulness,2
instruction adherence,2
instruction compliance,2
instruction_following,2
jailbreak success,2
layout,2
likability,2
linguistic fluency,2
logical structure,2
logicality,2
match to ground truth,2
math,2
mathematical correctness,2
meaningfulness,2
misunderstanding,2
neutral,2
non-hallucination,2
novelty,2
organization,2
overall satisfaction,2
personalization,2
personalization quality,2
perspective,2
policy compliance,2
practicality,2
privacy awareness,2
privacy protection,2
rationality,2
reasoning process,2
refusal behavior,2
relation correctness,2
relevance to query,2
representativeness,2
richness,2
roleplay,2
salience,2
sci-fi elements,2
score,2
semantic adequacy,2
semantic appropriateness,2
semantic correctness,2
semantic match,2
sentiment,2
sentiment polarity,2
sufficiency,2
supportiveness,2
text quality,2
thematic relevance,2
thoroughness,2
topic depth,2
type relevance,2
verifiability,2
verification accuracy,2
win rate,2
writing,2
3-tier error classification,1
A3 RECOGNITION,1
ACTION,1
AD ACCEPTABILITY,1
AD CONSISTENCY,1
AD PERFORMANCE ESTIMATION,1
AD SIMILARITY,1
AFFECTIVE APPEALS,1
AI-generated vs human-written classification,1
API call correctness,1
APPROPRIATENESS,1
ASR,1
Absence of Hallucinations,1
Absence of refusal in response,1
Absent,1
Abstention behavior acceptability,1
Abstention correctness,1
Abusing of Clauses,1
Academic Formality,1
Acceptable (3 ≤ score < 6),1
Acceptable Output Structure Variations,1
Accounting for Multiple Rows,1
Accuracy and Depth,1
Accuracy and Resources,1
Accuracy assessment,1
Accuracy in evaluating response,1
Accuracy of factual content,1
Accuracy of modifications,1
Accuracy of soccer events,1
Accuracy-Answer,1
Accuracy-Evidence,1
Accurate reflection of fact,1
Acknowledgment,1
Acknowledgment of Knowledge Gaps,1
Action Execution,1
Action presence,1
Actionable Insights,1
Actions clarity,1
Active Listening,1
Active listening,1
Actor roles,1
Adaptive-Imitativeness,1
Adaptiveness,1
Addressing issues,1
Adhered,1
Adherence to CLAS usage guidelines,1
Adherence to Guidelines,1
Adherence to Prompt,1
Adherence to evaluation criteria,1
Adherence to format requirements,1
Adherence to prompt and instructions,1
Adherence to rubric,1
Adherence to rubric points,1
Aesthetic Characteristics,1
Aesthetic Quality Score,1
Aesthetics,1
Affective Bond,1
Affective Improvement,1
Affirmative,1
Aggressiveness,1
Agree,1
Agreement,1
Agreement with human judgments,1
Agreement with narrative,1
Algebraic Manipulation,1
Algorithmic logic correctness,1
Align,1
Alignment and Layout,1
Alignment with MI Principles,1
Alignment with Per-sample Criteria,1
Alignment with character/user traits,1
Alignment with clinical needs,1
Alignment with desired outcomes,1
Alignment with formula,1
Alignment with ground truth figure,1
Alignment with human preferences,1
Alignment with human rationales,1
Alignment with initial conversational intent,1
Alignment with personal preference,1
Alignment with premise,1
Alignment with reference answer,1
Alignment with requirements,1
Alignment with source document,1
Alignment with task instruction,1
Alignment with user goals,1
Alignment with user intent,1
Alignment with user profile,1
Ambiguity Reduction,1
Ambiguity Resolution,1
Analysis of multiple meanings,1
Analytical correctness,1
Anchor Relevance,1
Anglocentrism,1
Annotation,1
Answer Compatibility,1
Answer Faithfulness,1
Answer Groundedness,1
Answer Leakage,1
Answer Match,1
Answer Plausibility,1
Answer Relevancy,1
Answer accuracy,1
Answer alignment,1
Answer item extraction,1
Answer item mapping,1
Answer match,1
Answer terseness,1
Answer uses context,1
Applicability,1
Applicability of value principles to scenarios,1
Application of specified playwriting techniques,1
Approach,1
Argument Arrangement,1
Argument Clarity,1
Argument Quality,1
Argument alignment,1
Arguments against,1
Arguments in favor,1
Article style,1
Assess Readiness for Insight,1
Assessment Effectiveness,1
Assistant Interaction Quality,1
Assistant Outcome Quality,1
Association of attributes with demographic groups,1
Assumption validity,1
Atomic fact presence,1
Attention to detail,1
Attribute,1
Attribute Accuracy,1
Attribution,1
Attribution Failure,1
Avoid Generic Responses,1
Avoidance of interference from irrelevant documents,1
Avoidance of unnecessary or incorrect interpretations,1
Avoidance of unwarranted generalizations,1
Axes and Stats,1
BEL,1
BFI dimension scores,1
Background and Colors,1
Backtracking,1
Backward Chaining,1
Balanced judgment,1
Beauty of Form,1
Beauty of Meaning,1
Beauty of Sound,1
Behavior classification accuracy,1
Behavioral Accuracy,1
Behavioral Coherence,1
Benefit presence,1
Bias and Discrimination,1
Bias presence,1
Bias type,1
Biased attribution,1
Biasness,1
Binary correctness,1
Bingo detection,1
Body Behavior Awareness (BBA),1
Brainstorm and Evaluate Options,1
Brand Identity Score,1
Broadening discussion,1
Brush and Ink Skills,1
Bug fixing score,1
Bullet point numbering,1
Bullet point usage,1
C1: Contains irrelevant content,1
C2: Introduces indirect factual or inferential knowledge,1
C3: Eliminates incorrect options,1
"C4: Indicates, supports, or analyzes the correct answer",1
COHERENCE,1
COHESION,1
CONCISENESS,1
CTA Effectiveness,1
Calculation correctness,1
Calculation error,1
Calculation errors,1
Calculation/Comprehension,1
Calculator Error,1
Carry-over correctness,1
Categorization Threat,1
Category Alignment,1
Category Clarity,1
Causality Significance,1
Certainty Shift (CS),1
Chain-of-Thought reasoning presence,1
Character,1
"Character (names, actions, emotions)",1
Character Behavior,1
Character Development,1
Character Utterance,1
Characters,1
Chart Correctness,1
Chart Type,1
Chat,1
Chat capabilities,1
Checklist Correctness,1
Choice agreement,1
Chronology,1
Citation Accuracy,1
Citation F1,1
Citation Precision,1
Citation Recall,1
Citation identification,1
Civil Language,1
Claim support,1
Clarification,1
Clarify the Desired Change,1
Clarity and Coherence,1
Clarity of Expression,1
Clarity of Viewpoint,1
"Clarity, Cohesion, and Language",1
Classism,1
Cleanliness,1
Clear and Concise Language,1
Client empowerment,1
Clinical accuracy,1
Clinical meaningfulness,1
Clinical relevance,1
Closeness,1
Closure,1
Code Clarity,1
Code Comments,1
Code Correctness,1
Code Execution,1
Code Exist,1
Code Generation,1
Code Quality,1
Code correctness score based on error severity,1
Code snippet position,1
Code snippet presence,1
Cognition Reframing,1
Cognitive Restructuring,1
Cognitive driver analysis,1
Cognitive suitability,1
Coherence in long-form writing,1
Coherence of reasoning logic,1
Coherency,1
Collaboration,1
Color,1
Comment inclusion,1
Common Strengths,1
Common Weaknesses,1
Commonsense,1
Communication,1
Communication Clarity,1
Communication Skills,1
Communication effectiveness,1
Comparator factuality,1
Competence Threat,1
Complete,1
Complete Goal,1
Complete Response,1
Completeness of Essential Features,1
Completeness of Instruction Following,1
Completeness of requirements,1
Completeness of variable assignment,1
Completion,1
Complexity of Claims,1
Complexity of Code,1
Compliance with Constitutional Principles,1
Compliance with facts,1
Compliance with policy-violating instruction,1
Comprehensibility,1
Comprehensiveness & Diversity,1
Concept coverage,1
Concept incorporation,1
Conceptual Accuracy,1
Conceptual Alignment,1
Conceptual Clarity,1
Conceptual Depth,1
Conciseness and Precision,1
Conclusion Accuracy,1
Condition satisfaction,1
Confabulation presence,1
Confidence Appropriateness,1
Confidence in Matching,1
Conflicting Error,1
Connection,1
Conservatism Injection,1
Consistency & coherence,1
Consistency in Terminology,1
Consistency in applying criteria,1
Consistency with UNSAT-core,1
Consistency with gold next word,1
Consistency with ground truth,1
Consistency with original text,1
Consistency with specified genders,1
Consistency with visual evidence,1
Constraint Satisfaction,1
Constructive Support,1
Constructive Value,1
Constructiveness,1
Content Consistency,1
Content Coverage,1
Content Relevance,1
Content Richness,1
Content alignment,1
Content completeness,1
Content quality,1
Content richness,1
Context Concision,1
Context Fidelity,1
Context Integration,1
Context Maintenance,1
Context Misdirection,1
Context Precision,1
Context Recall,1
Context Relevancy,1
Context clarification,1
Context misunderstanding,1
Context-based meaning error,1
Contextual Awareness (CA),1
Contextual Coherence,1
Contextual and Legal Understanding,1
Contextual appropriateness of data sharing,1
Contextual consistency,1
Contextual dependency,1
Contextual logic,1
Contextual relevance of each response across turns,1
Contextual understanding,1
Contradict,1
Contradiction detection,1
Contradictions in present and previous messages,1
Contradictory,1
Contradictory Hallucination,1
Contribution,1
Contribution to user tasks,1
Conversation revision quality,1
Conversation-level SE attempt detection,1
Conversational Flow (CF),1
Coordinates accuracy,1
Copywriting Quality,1
Core Contributions,1
Core Knowledge Coverage,1
Core metric capabilities,1
Coreference,1
Correct,1
Correct Answer Depth of Understanding,1
Correct Answer Occurrence,1
Correct Filtering Conditions,1
Correct answer,1
"Correct behavior type (direct answer, tool call, follow-up question, unable to answer)",1
Correct identification and correction of known knowledge errors (KKE),1
Correct pun word identification,1
Correct reasoning driving safety prediction,1
Correct use of persuasive strategy,1
Correction guidance,1
Correctness (acceptability),1
Correctness and Fidelity,1
Correctness of Action,1
Correctness of Claims,1
Correctness of Code,1
Correctness of Information,1
Correctness of SQL results,1
Correctness of Yes/No/Maybe responses,1
Correctness of convergence/divergence prediction,1
Correctness of description-concept mapping,1
Correctness of disease diagnosis,1
Correctness of drug recommendation,1
Correctness of function calls,1
Correctness of legal article references,1
Correctness of the response,1
Counterfactual,1
Coverage of Diverse Values,1
Creation,1
Creative,1
Creativity and Reasonableness,1
Credibility of Evidence,1
Critical Thinking,1
Cross passage consistency,1
Cross-Sentence Coreference Resolution,1
Cultivating Change Talk,1
Cultural Appropriateness,1
Cultural Awareness,1
Cultural Behavior,1
Cultural Conflict Management,1
Cultural Discrepancy,1
Cultural Knowledge,1
Cultural adherentness,1
Cultural alignment,1
Cultural appropriateness,1
Cultural inappropriateness,1
Cultural relevance,1
Cultural understanding & adaptation,1
Culture and History,1
Curiosity,1
Dangerousness,1
Data Accuracy,1
Data type conformity,1
Date Errors,1
Deception level,1
Decisiveness,1
Deep Implications,1
Deepens Metacognition,1
Deficient label (yes/no),1
Degree of support for the specified action,1
Demographic subcategory identification,1
Demonstrations,1
Denial,1
Depth & Essentiality,1
Description Correctness,1
Description Relevance,1
Descriptiveness,1
Design,1
Detail Level,1
Detail and Depth,1
Detail level of unsafe content,1
Details,1
Development and Support,1
Diagnostic Ability,1
Diagnostic and Treatment Abilities,1
Dialogue Naturalness,1
Dimension-wise completeness,1
Direct addressal of prompt,1
Directionality,1
Directive Support,1
Directness,1
Directness of answer,1
Disagree,1
Disagreement,1
Disagreement with narrative,1
Discourse consistency,1
Discrimination,1
Disparagement,1
Disregard for changes in user emotions,1
Distinctness,1
Distractor Common Mistakes,1
Distractor presence,1
Diverse,1
Domain Compliance,1
Domain Knowledge,1
Domain-specific expertise,1
EVIDENCE,1
Easy to Learn,1
Edge Cases and Optimization,1
Edit action type accuracy,1
Edit consistency,1
Educational Value,1
Effectiveness of SQL Injection,1
Egocentric Thinking,1
Elaboration,1
Element Layout,1
Emotion,1
Emotional Alignment,1
Emotional Appeal,1
Emotional Appropriateness,1
Emotional Resonance,1
Emotional Validation,1
Emotional arousal,1
Emotional nuances,1
Empathetic Tone,1
Empathic Understanding,1
Empathy and Respect,1
Empowering,1
Encouragement,1
Encouragement of Emotional Expression,1
Encourages Active Learning,1
Encouraging,1
Encouraging Critical Thinking,1
Encouraging Self-Exploration,1
Ending,1
Engaging,1
Engaging Narrative,1
Enjoyment and Engagement,1
Ensure Readiness and Collaboration,1
Entailment of ground-truth answers,1
Entity Error,1
Entity extraction,1
"Environment (scenes, objects, events)",1
Equivalence,1
Error Analysis,1
Error Correction,1
Error Detection,1
Error Identification,1
Error Type,1
Error Type Classification,1
Error correction attempt and accuracy,1
Error detection,1
Error detection accuracy,1
Error guidance quality,1
Error identification attempt and accuracy,1
Error level acceptability,1
Error severity,1
Error severity (minor/major),1
Error spans,1
Errors,1
Errors in output,1
Errors that significantly alter the meaning of the image,1
Essay Quality based on Rubric,1
Establish a Trusting Foundation,1
Ethical Concerns,1
Ethical Considerations,1
Ethical principles prioritization,1
Ethical violation,1
Ethicality,1
Ethics,1
Ethos,1
Evaluation criteria (detailed in Appendix A.1.1),1
Event order consistency,1
Evidence,1
Evidence Inference factuality,1
Evidence Support,1
Evidence attribution,1
Exact match,1
Example Generation,1
Example Usage,1
Exclusion,1
Exclusion of unsupported claims,1
Executable,1
Expectation Fulfillment,1
Experience,1
Expertise,1
Explainability and Reasoning,1
Explanation of deficiency,1
Explanation quality,1
Explicit,1
Explicit reasoning steps,1
Explicitness of Changes,1
Exploration of Thoughts and Narratives,1
Expression Diversity,1
Expression Style,1
Expression accuracy,1
Expression of doubt or refusal for unknown knowledge errors (UKE),1
External tools,1
Extraction,1
Extraneous load,1
FIAS interaction categories,1
FIN,1
Fact,1
Fact Authenticity,1
Fact Correctness,1
Fact and Trivia,1
Fact entailment across languages,1
Factors contributing to mental health deterioration,1
Factual Alignment,1
Factual Validity,1
Factual alignment,1
Factual contradiction,1
Factuality and creativity,1
Failed instruction following,1
Fairness and Responsibility,1
Faithful reflection of input,1
Faithfulness and correctness (for summarization),1
Faithfulness/Consistency,1
Fallacious premise match,1
Fallacy class match,1
False Acceptance Rate (FAR),1
False Concatenation,1
False Reject Rate (FRR),1
Falsification,1
Fear,1
Feedback Effectiveness,1
Feedback common points,1
"Feedback roles (similar, complementary, conflicting, unrelated)",1
Feedback seeking,1
Fidelity,1
Field Misinterpretation,1
Final answer correctness,1
Final answer formatting,1
Fine-grained emotion labels (27 categories),1
Fit to prompt (best vs worst),1
Fitting,1
Fix effectiveness,1
Flexibility,1
Flexible,1
Fluency/Grammaticality,1
Focus,1
Focus Score,1
Follow-up,1
Follows User Query,1
Fonts and Dimensions,1
Forecasting,1
Format Compliance,1
Format Preservation,1
Format adherence,1
Format correctness,1
Formula correctness,1
Formula selection,1
Forward-Compatibility,1
Frame-related Questions,1
Framing dimensions,1
Free-text Similarity,1
Friendliness,1
Fulfillment,1
Full Compliance,1
Full Refusal,1
Full compliance,1
Full refusal,1
Full support,1
Functional correctness,1
Functional similarity,1
Functionality,1
GA,1
GM,1
GOAL,1
GRAMMATICALITY,1
Game termination condition,1
Gender bias,1
Gender inflection accuracy,1
Gender representation consistency,1
General equivalence,1
General generation quality,1
Generalizability,1
Genre similarity,1
Germane load,1
Gesture Appropriateness,1
Gibberish,1
Global Structure,1
Goal,1
Goal completion,1
Goal purpose understanding,1
Good (≥ 6),1
Grammar & linguistics,1
Grammatical Correctness,1
Grammatical fluency,1
Graph Coherence,1
Grid consistency,1
Groundedness of generated answer,1
Grounding & Specificity,1
Guessing detection,1
Guided Discovery,1
Guided Questioning,1
Hallucination Rate,1
Hallucination awareness,1
Hallucinatory Knowledge,1
Handling Ambiguity,1
Handling of Nullable Columns,1
Happiness,1
Harm category prediction,1
Harm reduction strategy alignment,1
Harmful behavior,1
Harmful content detection,1
Harmless,1
Head activity (active/inactive),1
Help-Seeker Standard,1
High Risk,1
History Taking Ability,1
Honest,1
Honorific correctness,1
Human likeness identification,1
Human preference,1
Human vs AI detection accuracy,1
Human-Centered Communication,1
Human-Likeness,1
Humanistic Care,1
Humanities,1
Hurtfulness,1
Hyperbole,1
Ideas and Analysis,1
Ideas/themes,1
Identification of contamination errors,1
Identification of hidden benefactor,1
Ideological alignment (liberal vs conservative),1
Ignorance of user requests to advance storyline/deepen relationships,1
Illegal Activities,1
Illegal activities,1
Image Groundedness,1
Image-text consistency,1
Imitativeness,1
Immersion,1
Immersion and Setting,1
Impact,1
Implausible Error,1
Implementation correctness,1
Implicit,1
Implicit Information Inference,1
Inaccuracy,1
Inappropriate sexual content,1
Inclusion in pre-training data,1
Inclusiveness,1
Incoherence,1
Incoherent Steps Error,1
Incomplete fact detection,1
Incompleteness type,1
Incorrect,1
Incorrect Ground Truth Detection,1
Incorrect event logical reasoning,1
Independent,1
Inference correctness,1
Inference from context,1
Information Completeness,1
Information Density,1
Information Sharing,1
Information content,1
Information coverage,1
Information provision,1
Information reasoning accuracy,1
Informational,1
Informational consistency,1
Inherit characteristics,1
Innovation & Uniqueness,1
Innovative Moments,1
Insight,1
Inspiring,1
Instruction Fulfillment,1
Instruction Quality,1
Instruction relevance,1
Instruction satisfaction,1
Instruction-following Quality,1
Instruction-following ability,1
Instruction-following capability,1
Instructional Adaptation Effectiveness,1
Integration,1
Integration of Personalized Elements,1
Intent Accuracy,1
Intent Alignment,1
Intent label alignment,1
Inter-Document Relationships,1
Interaction,1
Interaction Appropriateness,1
Interaction Style Similarity,1
Interaction/Action Accuracy,1
Interactive Engagement,1
Interactivity,1
Interest Level,1
Interest Score,1
Interest generation,1
Intermediate Error Detection,1
Intermediate calculations,1
Intermediate step correctness,1
Internal Consistency,1
Internal consistency,1
Interpersonal Effectiveness,1
Interpretability,1
Intervention factuality,1
Intrinsic confidence,1
Intrinsic load,1
Issue Clarification,1
Issue spotting,1
Item Errors,1
Jailbreak Resistance,1
Jailbreak success,1
Jargon,1
Journalistic Ethics,1
Justification with Evidence,1
KNO,1
Key point coverage,1
Keyword coverage,1
Keyword realism,1
Knowledge Accuracy,1
Knowledge Acquisition,1
Knowledge Correctness,1
Knowledge Recall,1
Knowledge Usage,1
Knowledge accuracy,1
Knowledge coverage,1
Knowledge groundedness,1
Knowledge grounding,1
Knowledge-Accuracy,1
Knowledge-Exposure,1
Knowledge-Hallucination,1
Knowledgeability,1
LCS Ratio,1
LGBTQ+ Inclusiveness,1
LGBTQ+ Support Networks,1
Lack,1
Lack of ambiguity,1
Language,1
Language Alignment,1
Language Correctness,1
Language Expression,1
Language Quality,1
Language Relevance,1
Language Usage,1
Language accuracy,1
Language and Delivery,1
Language and Rhetoric,1
Language correctness,1
Language fluency,1
Language quality,1
Layout description accuracy,1
Layout positional correctness,1
Layout structure,1
Learning Objective Achievement Effectiveness,1
Legal Consistency,1
Legal violation,1
Length bias,1
Lesion Features,1
Level of Details,1
Level of details,1
Limitations,1
Line-breaking,1
Linguistic Clarity,1
Linguistic Coherence,1
Linguistic Correctness,1
Linguistic Quality,1
Linguistic requirements,1
Linking Verb Structure Significance,1
Literal words,1
Literary devices,1
Literature Review,1
Local Structure,1
Locale convention,1
Localization quality,1
Location disclosure at specified granularity,1
Logic and Structure,1
Logical Consistency,1
Logical Correctness,1
Logical Flow,1
Logical Negation,1
Logical Relevance,1
Logical Soundness,1
Logical Validity,1
Logical correctness,1
Logical progression,1
Logical soundness,1
Logical validity,1
Logical validity of reasoning trace,1
Logicality of Argumentation,1
Logically Consistent,1
Logo Placement Score,1
Logos,1
Long dependency,1
Long-Range Relational Dependency,1
Long-form Generation,1
Main Issues,1
Maintain differences,1
Maliciousness detection,1
Management,1
Manner,1
Match of main difference,1
Mathematical Correctness,1
Mathematical Integrity,1
Mathematical calculation,1
Mean,1
Meaning Accuracy,1
Meaning Preservation,1
Meaning alteration,1
Meaning preservation,1
Medical Interviewing Skills,1
Medical factuality,1
Meeting User Needs,1
Memorability,1
Memorization,1
Memory Retrieval Accuracy,1
Mental Status,1
Meta-review matching,1
Meta-review usefulness,1
Mind Feelings Awareness (MFA),1
Minimal invasiveness,1
Minimality,1
Misleading,1
Missed function or parameters,1
Missing fact detection,1
Missing information,1
Missing relation type,1
Missing step,1
Mistake identification,1
Mistake location,1
Modality Grounding,1
Moral Reasoning,1
Moral rationale presence and relevance,1
Moral reasoning,1
Morality Threat,1
Morphological features,1
Motion Understanding,1
Motivates and Stimulates Student Curiosity,1
Motivational Interviewing (CEMI),1
Motivational consistency,1
Multi-turn Context,1
Multilingualism,1
Multimodal pragmatic safety classification,1
Multiple Answers Available,1
NPOV,1
Narrative Quality,1
Narrativity,1
National interest prioritization,1
Natural,1
Necessity alignment,1
Negative,1
Negative Helper Evaluations,1
Neglecting the context,1
Neither,1
Nested function calls,1
Neutral Tone,1
Neutral inference,1
New Information Introduced (NII),1
New Label Validity,1
No Discrepancy,1
No Duplicate Steps,1
No Fact,1
No Hallucination,1
No Missing Steps,1
No Redundant Steps,1
No Repetition,1
No stance,1
No support,1
No-Additions,1
No-Omissions,1
Node Relevance,1
Noisiness,1
Non-judgmental and Accepting Attitude,1
Non-overlap,1
Non-repetition,1
Non-rephrased content,1
Non-toxicity,1
Non-translation,1
Norm Alignment,1
Not Acceptable (< 3),1
Not Enough Info,1
Not Relevant,1
Not checkable,1
Not-supported,1
Nuance,1
Number Error,1
Numerical Accuracy,1
Numerical Errors,1
Numerical correctness,1
Object,1
Object Identification,1
Object similarity,1
Objectives,1
Offensiveness,1
On track,1
On-topic relevance,1
One Step Missing Error,1
Open-ended Questioning,1
Open-ended response scoring (0-10 scale),1
Opportunity Harm,1
Order Correct,1
Order consistency,1
Ordering,1
Organization Score,1
Original,1
Other,1
Other Error,1
Other Errors,1
Outcome factuality,1
Output Content Quality,1
Output Format,1
Output format compliance,1
Over-correction,1
Over-refusal,1
Overall Assessment,1
Overall Impression,1
Overall Judgment,1
Overall Persuasiveness,1
Overall Preference,1
Overall Social Intelligence,1
Overall Usefulness,1
Overall Winner,1
Overall assessment,1
Overall correctness,1
Overall explanation quality,1
Overall factual correctness,1
Overall quality (good opening speech),1
Overall response quality,1
Overall score (ultrafeedback-overall_score),1
Overall story quality,1
Overall trajectory quality,1
Overgeneralization,1
Oversimplification,1
PII leakage detection,1
PLAUSIBILITY,1
POI Relevance,1
Parameter Alignment,1
Parameter Extraction,1
Parameter mapping correctness,1
Partial Lie,1
Partial Progress,1
Partial Refusal,1
Partial credit allocation,1
Partial fact entailment,1
Partial refusal,1
Partial support,1
Partially Supported,1
Partially Supportive,1
Partnership,1
Past Tense Verb Significance,1
Path Granularity,1
Path reliability,1
Pathos,1
Patient Education,1
Patient-Centricity,1
Pedagogical Quality,1
Perceptual Quality,1
Persona-Behavior,1
Persona-Utterance,1
Personal Privacy,1
