original,normalized,count,qcet_id
alignment,Appropriateness (outputs as a whole),9,QEG-w-2
understandability,Understandability,8,QOG-w-5
logical coherence,Coherence,8,QOG-c-3
Honesty,Factual Truth,8,QEC-c-1
Diversity,Diversity/Non-diversity (outputs as a whole),8,QOF-w-1
Redundancy,Nonredundancy (output as a whole),8,QOG-w-1
toxicity,Absence of Toxic / Harmful Content,8,QOC-c-2
Groundedness,Factual Truth,8,QEC-c-1
Appropriateness,Appropriateness (outputs as a whole),8,QEG-w-2
efficiency,Task Completion Speed,8,QEG-w-5.2
honesty,Factual Truth,8,QEC-c-1
response quality,Overall Quality / Preference,8,AUX-OverallQuality
groundedness,Factual Truth,7,QEC-c-1
adequacy,Relevance to Input,7,QIG-c-3
empathy,Empathy / Emotional Appropriateness,7,QEF-w-11
Plausibility,Factual Truth,7,QEC-c-1
Engagingness,Engagingness/Interestingness,7,QEF-w-10
hallucination,Factual Truth,7,QEC-c-1
Logical Coherence,Coherence,7,QOG-c-3
Novelty,Creativity/Non-creativity (outputs as a whole),7,QOF-w-6
entailment,Consistency with Input,7,QIC-c-3
Entailment,Consistency with Input,7,QIC-c-3
instruction following,Consistency with Input,7,QIC-c-3
Instruction following,Consistency with Input,7,QIC-c-3
Readability,Readability,6,QOG-w-2
Factual correctness,Factual Truth,6,QEC-c-1
Understandability,Understandability,6,QOG-w-5
Factual accuracy,Factual Truth,6,QEC-c-1
contradiction,Internal Consistency of Outputs,6,QOG-c-4
topic relevance,Relevance to Input,6,QIG-c-3
Logical coherence,Coherence,6,QOG-c-3
Hallucination detection,Absence of Additions (relative to input),6,QIC-c-2
plausibility,Factual Truth,6,QEC-c-1
redundancy,Nonredundancy (output as a whole),6,QOG-w-1
Toxicity,Absence of Toxic / Harmful Content,6,QOC-c-2
support,Usefulness for Task/Information Need,6,QEG-w-3.1
Personalization,Appropriateness (outputs as a whole),6,QEG-w-2
content,__DROP__,6,AUX-Other
Refusal,Refusal Appropriateness,6,QEC-w-2
tone,Control over Formality/Informality,6,QIF-f-2.1
Instruction Following,Consistency with Input,6,QIC-c-3
Grammaticality,Grammaticality,5,QOC-f-1
answerability,Answerability from Input,5,QIG-c-1
semantic consistency,Internal Consistency of Outputs,5,QOG-c-4
Factual Accuracy,Factual Truth,5,QEC-c-1
semantic coherence,Coherence,5,QOG-c-3
Relevancy,Relevance to Input,5,QIG-c-3
Actionability,Usefulness for Task/Information Need,5,QEG-w-3.1
soundness,Correctness of Outputs (outputs as a whole),5,QOC-w-1
Logic,Coherence,5,QOG-c-3
difficulty,Complexity/Non-complexity (outputs as a whole),5,QOF-w-3
information coverage,Absence of Omissions (relative to input),5,QIC-c-1
reasonableness,Appropriateness (outputs as a whole),5,QEG-w-2
Persuasiveness,Effect on User Stance,5,QEF-w-7
Feasibility,__DROP__,5,AUX-Other
effectiveness,Usefulness for Task/Information Need,5,QEG-w-3.1
interestingness,Engagingness/Interestingness,5,QEF-w-10
Precision,__DROP__,5,AUX-Other
recall,__DROP__,5,AUX-Other
Factual Consistency,Factual Truth,5,QEC-c-1
Contradiction,Internal Consistency of Outputs,5,QOG-c-4
Reasoning,Coherence,5,QOG-c-3
reasoning,Coherence,5,QOG-c-3
hallucination detection,Absence of Additions (relative to input),5,QIC-c-2
refusal,Refusal Appropriateness,5,QEC-w-2
structure,Grammaticality,5,QOC-f-1
Insightfulness,Informativeness,5,QOG-c-2
logic,Coherence,5,QOG-c-3
grammatical correctness,Grammaticality,4,QOC-f-1
Grammar,Grammaticality,4,QOC-f-1
Answerability,Answerability from Input,4,QIG-c-1
similarity,Similarity to Target Outputs (outputs as a whole),4,QTG-w-1
Similarity,Similarity to Target Outputs (outputs as a whole),4,QTG-w-1
Understanding,Understandability,4,QOG-w-5
authenticity,Non-AI Likeness,4,QOG-w-4.2
Answer correctness,Degree to which Output Answers Question in Input,4,QIG-w-2
Factual Correctness,Factual Truth,4,QEC-c-1
Grammatical correctness,Grammaticality,4,QOC-f-1
Language Fluency,Fluency,4,QOG-w-3
Omission,Absence of Omissions (relative to input),4,QIC-c-1
Context Relevance,Relevance to Input,4,QIG-c-3
Semantic consistency,Internal Consistency of Outputs,4,QOG-c-4
Goal Completion,Usefulness for Task/Information Need,4,QEG-w-3.1
semantic relevance,Relevance to Input,4,QIG-c-3
User Satisfaction,User Satisfaction as Affected by Outputs,4,QEG-w-6
Level of Detail,Specificity/Non-specificity (relative to input),4,QIF-c-3
Style,Control over Style,4,QIF-f-2
persuasiveness,Effect on User Stance,4,QEF-w-7
confidence,__DROP__,4,AUX-Other
Interestingness,Engagingness/Interestingness,4,QEF-w-10
Recall,__DROP__,4,AUX-Other
Verifiability,__DROP__,4,AUX-Other
Knowledge,Factual Truth,4,QEC-c-1
originality,Creativity/Non-creativity (outputs as a whole),4,QOF-w-6
Richness,Informativeness,4,QOG-c-2
fairness,Absence of Bias / Stereotypes,4,QEC-c-3
Structure,Grammaticality,4,QOC-f-1
Planning,__DROP__,4,AUX-Other
Alignment,Appropriateness (outputs as a whole),4,QEG-w-2
Relationship,Relevance to Input,4,QIG-c-3
Believability,Factual Truth,4,QEC-c-1
verbosity,Output Length,4,QOF-f-5
Verbosity,Output Length,4,QOF-f-5
code correctness,Functional Correctness,4,QEC-w-1
actionability,Usefulness for Task/Information Need,4,QEG-w-3.1
credibility,Factual Truth,4,QEC-c-1
detailedness,Informativeness,4,QOG-c-2
policy violation,Adherence to Style Guide,4,QEC-f-1
preference alignment,Overall Quality / Preference,4,AUX-OverallQuality
Instruction adherence,Appropriateness of System Response Type,4,QIG-f-1
meaning preservation,Consistency with Input,3,QIC-c-3
simplicity,Complexity/Non-complexity (outputs as a whole),3,QOF-w-3
answer correctness,Degree to which Output Answers Question in Input,3,QIG-w-2
Usefulness,Usefulness (nonspecific),3,QEG-w-3
Human-likeness,Humanlikeness,3,QOG-w-4
omission,Absence of Omissions (relative to input),3,QIC-c-1
Satisfaction,User Satisfaction as Affected by Outputs,3,QEG-w-6
Hallucinations,Factual Truth,3,QEC-c-1
coherency,Coherence,3,QOG-c-3
Informative,Informativeness,3,QOG-c-2
formality,Formality/Informality,3,QOF-f-4
Relevant,Relevance to Input,3,QIG-c-3
match,Similarity to Target Outputs (outputs as a whole),3,QTG-w-1
sentence structure,Grammaticality,3,QOC-f-1
factualness,Factual Truth,3,QEC-c-1
semantic accuracy,Semantic Correctness,3,QOC-c-1
logical correctness,Semantic Correctness,3,QOC-c-1
logical flow,Coherence,3,QOG-c-3
Format compliance,Adherence to Style Guide,3,QEC-f-1
Step correctness,Functional Correctness,3,QEC-w-1
hallucination rate,Factual Truth,3,QEC-c-1
overall,Overall Quality / Preference,3,AUX-OverallQuality
Translation quality,Translation Accuracy,3,QIC-w-1
Confidence,__DROP__,3,AUX-Other
Identification,__DROP__,3,AUX-Other
realism,Humanlikeness,3,QOG-w-4
Meaningfulness,Understandability,3,QOG-w-5
attribution,Relative Factual Accuracy,3,QEC-c-2
Comforting,Effect on User Emotion,3,QEF-w-3
Originality,Creativity/Non-creativity (outputs as a whole),3,QOF-w-6
Comprehension,Understandability,3,QOG-w-5
Authenticity,Non-AI Likeness,3,QOG-w-4.2
Supported,__DROP__,3,AUX-Other
citation precision,__DROP__,3,AUX-Other
citation recall,__DROP__,3,AUX-Other
error severity,Correctness of Outputs (outputs as a whole),3,QOC-w-1
Breadth,Diversity/Non-diversity (content/meaning),3,QOF-c-1
Expression,Fluency,3,QOG-w-3
Guidance,Usefulness for Task/Information Need,3,QEG-w-3.1
Significance,__DROP__,3,AUX-Other
overall score,Overall Quality / Preference,3,AUX-OverallQuality
Openness,__DROP__,3,AUX-Other
Detail,Informativeness,3,QOG-c-2
Detailedness,Informativeness,3,QOG-c-2
format,Adherence to Style Guide,3,QEC-f-1
surprise,__DROP__,3,AUX-Other
Neutrality,Absence of Bias / Stereotypes,3,QEC-c-3
Agreeableness,Detectability of Speaker/Author Trait,3,QEF-w-5
Instruction Adherence,Appropriateness of System Response Type,3,QIG-f-1
Error type,__DROP__,3,AUX-Other
F1,__DROP__,3,AUX-Other
Financial and Material Benefits,Usefulness for Task/Information Need,3,QEG-w-3.1
robustness,__DROP__,3,AUX-Other
Secret,__DROP__,3,AUX-Other
Social Rules,Appropriateness (outputs as a whole),3,QEG-w-2
Logical reasoning,Semantic Correctness,3,QOC-c-1
continuity,Coherence,3,QOG-c-3
sentiment consistency,Control over Sentiment,3,QIF-w-2
language correctness,Appropriateness (form),3,QEG-f-2
Adherence to instructions,Consistency with Input,3,QIC-c-3
Sycophancy,Absence of Bias / Stereotypes,3,QEC-c-3
Response quality,Overall Quality / Preference,3,AUX-OverallQuality
Response Quality,Overall Quality / Preference,3,AUX-OverallQuality
citation correctness,Factual Truth,3,QEC-c-1
emotional intensity,Effect on User Emotion,3,QEF-w-3
professionalism,Appropriateness (outputs as a whole),3,QEG-w-2
goal relevance,Usefulness for Task/Information Need,3,QEG-w-3.1
intent alignment,Usefulness for Task/Information Need,3,QEG-w-3.1
step correctness,Functional Correctness,3,QEC-w-1
Reasoning Quality,Quality as Explanation of Input,3,QIG-w-3
reasoning quality,Quality as Explanation of Input,3,QIG-w-3
Constraint satisfaction,Consistency with Input,3,QIC-c-3
Soundness,Correctness of Outputs (outputs as a whole),3,QOC-w-1
validity,Factual Truth,3,QEC-c-1
Validity,Factual Truth,3,QEC-c-1
Compliance,Consistency with Input,3,QIC-c-3
Instruction-following,Consistency with Input,3,QIC-c-3
context relevance,Relevance to Input,3,QIG-c-3
semantic alignment,Semantic Correctness,3,QOC-c-1
content preservation,Similarity/Dissimilarity to Input (content/meaning),2,QIF-c-2
Adequacy,Relevance to Input,2,QIG-c-3
fidelity,Consistency with Input,2,QIC-c-3
Humanness,Humanlikeness,2,QOG-w-4
sufficiency,Absence of Omissions (relative to input),2,QIC-c-1
hallucinations,Factual Truth,2,QEC-c-1
Answer Correctness,Degree to which Output Answers Question in Input,2,QIG-w-2
Coherent,Coherence,2,QOG-c-3
Maintains Context,Relevance to Input,2,QIG-c-3
comprehensibility,Understandability,2,QOG-w-5
logicality,Coherence,2,QOG-c-3
semantic adequacy,Meaning Accuracy,2,QTC-c-1
Concise,Nonredundancy (form),2,QOG-f-1
Logicality,Coherence,2,QOG-c-3
contextual relevance,Relevance to Input,2,QIG-c-3
answer accuracy,Degree to which Output Answers Question in Input,2,QIG-w-2
semantic correctness,Semantic Correctness,2,QOC-c-1
Cohesion,Cohesiveness,2,QOG-c-3.2
Organization,Wellorderedness,2,QOG-c-3.1
Politeness,Appropriateness (form),2,QEG-f-2
Reasonableness,Appropriateness (outputs as a whole),2,QEG-w-2
Semantic Similarity,Similarity/Dissimilarity to Non-target Reference (content/meaning),2,QEF-c-1
correct,Correctness of Outputs (outputs as a whole),2,QOC-w-1
hallucination presence,Factual Truth,2,QEC-c-1
information completeness,Absence of Omissions (relative to input),2,QIC-c-1
organization,Wellorderedness,2,QOG-c-3.1
Answer Relevance,Relevance to Input,2,QIG-c-3
Information,Informativeness,2,QOG-c-2
Helpful,Usefulness (nonspecific),2,QEG-w-3
Cultural Relevance,Appropriateness (content/meaning),2,QEG-c-2
Relatedness,Relevance to Input,2,QIG-c-3
Content relevance,Relevance to Input,2,QIG-c-3
Linguistic Acceptability,Grammaticality,2,QOC-f-1
cohesiveness,Cohesiveness,2,QOG-c-3.2
actionable,Usefulness for Task/Information Need,2,QEG-w-3.1
constraint satisfaction,Consistency with Input,2,QIC-c-3
humor,Humorousness/Non-humorousness,2,QOF-w-5
relevance to query,Relevance to Input,2,QIG-c-3
semantic appropriateness,Appropriateness (content/meaning),2,QEG-c-2
overall satisfaction,User Satisfaction as Affected by Outputs,2,QEG-w-6
Cohesiveness,Cohesiveness,2,QOG-c-3.2
Coherence and Organization,Coherence,2,QOG-c-3
Emotional Impact,Effect on User Emotion,2,QEF-w-3
Humor,Humorousness/Non-humorousness,2,QOF-w-5
Logical consistency,Internal Consistency of Outputs,2,QOG-c-4
Neuroticism,Detectability of Speaker/Author Trait,2,QEF-w-5
Personality,Detectability of Speaker/Author Trait,2,QEF-w-5
Semantic Equivalence,Similarity to Target Outputs (content/meaning),2,QTG-c-1
Semantic accuracy,Semantic Correctness,2,QOC-c-1
Utility,Usefulness (nonspecific),2,QEG-w-3
Relevance and Focus,Relevance to Input,2,QIG-c-3
content relevance,Relevance to Input,2,QIG-c-3
linguistic fluency,Fluency,2,QOG-w-3
logical structure,Wellorderedness,2,QOG-c-3.1
match to ground truth,Complete Target Output Matching,2,QTC-w-3
non-hallucination,Factual Truth,2,QEC-c-1
relation correctness,Semantic Correctness,2,QOC-c-1
semantic match,Similarity to Target Outputs (content/meaning),2,QTG-c-1
thematic relevance,Relevance to Input,2,QIG-c-3
type relevance,Appropriateness of System Response Type,2,QIG-f-1
win rate,Win Rate,2,QEG-w-10
Content accuracy,Factual Truth,2,QEC-c-1
Content correctness,Factual Truth,2,QEC-c-1
Contextual Understanding,Relevance to Input,2,QIG-c-3
Information Richness,Informativeness,2,QOG-c-2
Information Accuracy,Factual Truth,2,QEC-c-1
Semantic coherence,Coherence,2,QOG-c-3
Semantic similarity,Similarity/Dissimilarity to Non-target Reference (content/meaning),2,QEF-c-1
Technical Accuracy,Factual Truth,2,QEC-c-1
content completeness,Absence of Omissions (relative to input),2,QIC-c-1
correctness of generated answers,Degree to which Output Answers Question in Input,2,QIG-w-2
factual alignment,Factual Truth,2,QEC-c-1
format adherence,Adherence to Style Guide,2,QEC-f-1
feasibility,__DROP__,2,AUX-Other
novelty,Creativity/Non-creativity (outputs as a whole),2,QOF-w-6
Effectiveness,Usefulness for Task/Information Need,2,QEG-w-3.1
meaningfulness,Understandability,2,QOG-w-5
Efficiency,Task Completion Speed,2,QEG-w-5.2
ambiguity,Clarity,2,QOG-w-5.1
Reliability,__DROP__,2,AUX-Other
Interesting,Engagingness/Interestingness,2,QEF-w-10
personalization,Appropriateness (outputs as a whole),2,QEG-w-2
Content,__DROP__,2,AUX-Other
salience,__DROP__,2,AUX-Other
verifiability,__DROP__,2,AUX-Other
richness,Informativeness,2,QOG-c-2
Bias,Absence of Bias / Stereotypes,2,QEC-c-3
Proactivity,__DROP__,2,AUX-Other
attractiveness,Engagingness/Interestingness,2,QEF-w-10
insightfulness,Informativeness,2,QOG-c-2
image quality,__DROP__,2,AUX-Other
neutral,Control over Sentiment,2,QIF-w-2
Neutral,Control over Sentiment,2,QIF-w-2
rationality,Coherence,2,QOG-c-3
sentiment,Control over Sentiment,2,QIF-w-2
Sentiment,Control over Sentiment,2,QIF-w-2
Acceptability,Appropriateness (outputs as a whole),2,QEG-w-2
Sufficiency,Absence of Omissions (relative to input),2,QIC-c-1
representativeness,Absence of Bias / Stereotypes,2,QEC-c-3
Overall Score,Overall Quality / Preference,2,AUX-OverallQuality
Overall score,Overall Quality / Preference,2,AUX-OverallQuality
Intent,__DROP__,2,AUX-Other
Adaptability,Appropriateness of System Response Type,2,QIG-f-1
Task Success,Usefulness for Task/Information Need,2,QEG-w-3.1
factual support,Factual Truth,2,QEC-c-1
likability,User Satisfaction as Affected by Outputs,2,QEG-w-6
supportiveness,Usefulness for Task/Information Need,2,QEG-w-3.1
Surprise,__DROP__,2,AUX-Other
text quality,Overall Quality / Preference,2,AUX-OverallQuality
Attributability,__DROP__,2,AUX-Other
Irrelevant,Absence of Additions (relative to input),2,QIC-c-2
Grounding,Consistency with Input,2,QIC-c-3
Character Consistency,Character Matching,2,QTC-w-3.2
Character Fidelity,Consistency with Input,2,QIC-c-3
Anthropomorphism,Humanlikeness,2,QOG-w-4
Humanoid,Humanlikeness,2,QOG-w-4
Interest,Engagingness/Interestingness,2,QEF-w-10
Givenness,Cohesiveness,2,QOG-c-3.2
Emotional Expression,__DROP__,2,AUX-Other
Emotional Support,Empathy / Emotional Appropriateness,2,QEF-w-11
Repetitiveness,Nonredundancy (form),2,QOG-f-1
Robustness,__DROP__,2,AUX-Other
Storyline Quality,Coherence,2,QOG-c-3
Theory of Mind,Empathy / Emotional Appropriateness,2,QEF-w-11
citation quality,Factual Truth,2,QEC-c-1
Irrelevance,Relevance to Input,2,QIG-c-3
Likeable,User Satisfaction as Affected by Outputs,2,QEG-w-6
Sensitivity,__DROP__,2,AUX-Other
aspect coverage,Coverage of Topics (given in input),2,QIC-c-4
fear,Effect on User Emotion,2,QEF-w-3
impact,Effect on User Behaviour,2,QEF-w-2
inquisitiveness,__DROP__,2,AUX-Other
layout,__DROP__,2,AUX-Other
verification accuracy,Relative Factual Accuracy,2,QEC-c-2
thoroughness,Coverage of Topics (given in input),2,QIC-c-4
topic depth,Informativeness,2,QOG-c-2
Conscientiousness,Detectability of Speaker/Author Trait,2,QEF-w-5
Empowerment,Usefulness for Task/Information Need,2,QEG-w-3.1
Error location,__DROP__,2,AUX-Other
Extraversion,Detectability of Speaker/Author Trait,2,QEF-w-5
Innovativeness,Creativity/Non-creativity (outputs as a whole),2,QOF-w-6
Harmful content,Absence of Toxic / Harmful Content,2,QOC-c-2
Inclusion,Absence of Omissions (relative to input),2,QIC-c-1
Metacognition,__DROP__,2,AUX-Other
Object presence,Absence of Omissions (relative to input),2,QIC-c-1
Security,__DROP__,2,AUX-Other
Procedure,__DROP__,2,AUX-Other
Progressiveness,__DROP__,2,AUX-Other
Visualization Quality,__DROP__,2,AUX-Other
alignment with user profile,Appropriateness (outputs as a whole),2,QEG-w-2
entity correctness,Factual Truth,2,QEC-c-1
error detection,__DROP__,2,AUX-Other
error identification,__DROP__,2,AUX-Other
content alignment,Appropriateness (content/meaning),2,QEG-c-2
convincingness,Effect on User Stance,2,QEF-w-7
decisiveness,Detectability of Speaker/Author Trait,2,QEF-w-5
math,Semantic Correctness,2,QOC-c-1
Math,Semantic Correctness,2,QOC-c-1
policy compliance,Appropriateness (outputs as a whole),2,QEG-w-2
practicality,Usefulness for Task/Information Need,2,QEG-w-3.1
privacy protection,__DROP__,2,AUX-Other
harm,Absence of Toxic / Harmful Content,2,QOC-c-2
ethics,__DROP__,2,AUX-Other
fair,Absence of Bias / Stereotypes,2,QEC-c-3
final answer correctness,Degree to which Output Answers Question in Input,2,QIG-w-2
misunderstanding,Consistency with Input,2,QIC-c-3
AI Coordination,__DROP__,2,AUX-Other
Step Correctness,Functional Correctness,2,QEC-w-1
personalization quality,Appropriateness (outputs as a whole),2,QEG-w-2
Analytical Depth,Complexity/Non-complexity (content/meaning),2,QOF-c-3
color,__DROP__,2,AUX-Other
Conflict detection,Classification Accuracy,2,QTC-w-1
Corrigibility,Ease of Communication,2,QEG-w-5.1
Detail Orientation,Informativeness,2,QOG-c-2
Distinguishability,__DROP__,2,AUX-Other
Language Use,Fluency,2,QOG-w-3
Myopic Reward,__DROP__,2,AUX-Other
Perplexity,__DROP__,2,AUX-Other
Question answering,__DROP__,2,AUX-Other
STEM,__DROP__,2,AUX-Other
Stability,__DROP__,2,AUX-Other
Structural Alignment,Form Accuracy,2,QTC-f-1
Subjectivity,__DROP__,2,AUX-Other
Survival Instinct,__DROP__,2,AUX-Other
Writing,__DROP__,2,AUX-Other
adherence,Adherence to Style Guide,2,QEC-f-1
coding,Functional Correctness,2,QEC-w-1
citation support,Relative Factual Accuracy,2,QEC-c-2
extraction,__DROP__,2,AUX-Other
information extraction,__DROP__,2,AUX-Other
incorrectness,Correctness of Outputs (outputs as a whole),2,QOC-w-1
instruction_following,Consistency with Input,2,QIC-c-3
jailbreak success,Refusal Appropriateness,2,QEC-w-2
mathematical correctness,Factual Truth,2,QEC-c-1
perspective,Detectability of Speaker/Author Stance,2,QEF-w-4
refusal behavior,Refusal Appropriateness,2,QEC-w-2
privacy awareness,__DROP__,2,AUX-Other
roleplay,Detectability of Speaker/Author Trait,2,QEF-w-5
sci-fi elements,__DROP__,2,AUX-Other
score,__DROP__,2,AUX-Other
reasoning process,Wellorderedness,2,QOG-c-3.1
sentiment polarity,Control over Sentiment,2,QIF-w-2
Topic Relevance,Relevance to Input,2,QIG-c-3
compliance,Consistency with Input,2,QIC-c-3
Error identification,__DROP__,2,AUX-Other
contextual understanding,Relevance to Input,2,QIG-c-3
instruction compliance,Consistency with Input,2,QIC-c-3
Topicality,Relevance to Input,2,QIG-c-3
instruction adherence,Appropriateness of System Response Type,2,QIG-f-1
contextual consistency,Consistency with Input,2,QIC-c-3
correctness of reasoning steps,Semantic Correctness,2,QOC-c-1
writing,__DROP__,2,AUX-Other
constraint compliance,Consistency with Input,2,QIC-c-3
information quality,Correctness of Outputs (outputs as a whole),2,QOC-w-1
acceptability,Appropriateness (outputs as a whole),1,QEG-w-2
overall preference,User Satisfaction as Affected by Outputs,1,QEG-w-6
Grammatical Correctness,Grammaticality,1,QOC-f-1
Simplicity,Complexity/Non-complexity (outputs as a whole),1,QOF-w-3
Sensibleness,Coherence,1,QOG-c-3
omissions,Absence of Omissions (relative to input),1,QIC-c-1
relevancy,Relevance to Input,1,QIG-c-3
relevant,Relevance to Input,1,QIG-c-3
Coherency,Coherence,1,QOG-c-3
humanness,Humanlikeness,1,QOG-w-4
succinctness,Nonredundancy (output as a whole),1,QOG-w-1
Semantic Correctness,Semantic Correctness,1,QOC-c-1
inconsistency,Internal Consistency of Outputs,1,QOG-c-4
mistranslation,Translation Accuracy,1,QIC-w-1
well-formedness,Grammaticality,1,QOC-f-1
Comprehensibility,Understandability,1,QOG-w-5
spelling,Spelling Accuracy,1,QOC-f-2
Content Richness,Informativeness,1,QOG-c-2
Translation accuracy,Translation Accuracy,1,QIC-w-1
Understandable,Understandability,1,QOG-w-5
language fluency,Fluency,1,QOG-w-3
length,Output Length,1,QOF-f-5
Spelling,Spelling Accuracy,1,QOC-f-2
Semantic equivalence,Similarity to Target Outputs (content/meaning),1,QTG-c-1
Natural,Naturalness (outputs as a whole),1,QEG-w-1
Language fluency,Fluency,1,QOG-w-3
Support,Usefulness for Task/Information Need,1,QEG-w-3.1
Supportiveness,Usefulness for Task/Information Need,1,QEG-w-3.1
contextual appropriateness,Appropriateness (outputs as a whole),1,QEG-w-2
controllability,Control over Multiple Attributes,1,QIF-w-5
cultural appropriateness,Appropriateness (outputs as a whole),1,QEG-w-2
interpretability,Understandability,1,QOG-w-5
misinformation,Factual Truth,1,QEC-c-1
label adherence,Absence of Omissions (relative to input),1,QIC-c-1
Answer Relevancy,Relevance to Input,1,QIG-c-3
Argument Clarity,Clarity,1,QOG-w-5.1
Clarity of Expression,Clarity,1,QOG-w-5.1
Cultural Appropriateness,Appropriateness (outputs as a whole),1,QEG-w-2
Descriptiveness,Informativeness,1,QOG-c-2
Emotion,Effect on User Emotion,1,QEF-w-3
Content Relevance,Relevance to Input,1,QIG-c-3
Coreference,Clarity of Referents,1,QEG-w-7
Friendliness,Detectability of Speaker/Author Trait,1,QEF-w-5
Functional correctness,Functional Correctness,1,QEC-w-1
Knowledge Accuracy,Factual Truth,1,QEC-c-1
Knowledge Correctness,Factual Truth,1,QEC-c-1
Human-Likeness,Humanlikeness,1,QOG-w-4
Minimality,Nonredundancy (output as a whole),1,QOG-w-1
Subjective preference,User Satisfaction as Affected by Outputs,1,QEG-w-6
context consistency,Consistency with Input,1,QIC-c-3
distinctness,Diversity/Non-diversity (outputs as a whole),1,QOF-w-1
emotion provocation,Effect on User Emotion,1,QEF-w-3
generalizability,Cross-Dataset Generalisation,1,QTG-w-3
information loss,Absence of Omissions (relative to input),1,QIC-c-1
factual errors,Factual Truth,1,QEC-c-1
missing,Absence of Omissions (relative to input),1,QIC-c-1
