original,normalized,count,qcet_id
content preservation,Similarity/Dissimilarity to Input (content/meaning),22,QIF-c-2
safety,Absence of Toxic / Harmful Content,22,QOC-c-2
interestingness,Engagingness/Interestingness,22,QEF-w-10
understandability,Understandability,21,QOG-w-5
answerability,Answerability from Input,21,QIG-c-1
Preference,Overall Quality / Preference,21,AUX-OverallQuality
Appropriateness,Appropriateness (outputs as a whole),21,QEG-w-2
Specificity,Specificity/Non-specificity (relative to input),20,QIF-c-3
Creativity,Creativity/Non-creativity (outputs as a whole),20,QOF-w-6
Plausibility,Factual Truth,20,QEC-c-1
Diversity,Diversity/Non-diversity (outputs as a whole),20,QOF-w-1
Grammar,Grammaticality,19,QOC-f-1
Safety,Absence of Toxic / Harmful Content,19,QOC-c-2
translation quality,Translation Accuracy,19,QIC-w-1
semantic equivalence,Similarity to Target Outputs (content/meaning),18,QTG-c-1
Hallucination,Factual Truth,18,QEC-c-1
comprehensiveness,Absence of Omissions (relative to input),18,QIC-c-1
Answerability,Answerability from Input,18,QIG-c-1
simplicity,Complexity/Non-complexity (outputs as a whole),17,QOF-w-3
acceptability,Appropriateness (outputs as a whole),17,QEG-w-2
Content Preservation,Similarity/Dissimilarity to Input (content/meaning),17,QIF-c-2
Engagingness,Engagingness/Interestingness,17,QEF-w-10
Engagement,Engagingness/Interestingness,17,QEF-w-10
non-redundancy,Nonredundancy (output as a whole),16,QOG-w-1
speaker similarity,Detectability of Speaker/Author Trait,16,QEF-w-5
Style,Control over Style,16,QIF-f-2
redundancy,Nonredundancy (output as a whole),16,QOG-w-1
Coverage,Coverage of Topics (given in input),16,QIC-c-4
alignment,Appropriateness (outputs as a whole),16,QEG-w-2
Overall quality,Overall Quality / Preference,15,AUX-OverallQuality
creativity,Creativity/Non-creativity (outputs as a whole),15,QOF-w-6
harmfulness,Absence of Toxic / Harmful Content,15,QOC-c-2
reasonableness,Appropriateness (outputs as a whole),15,QEG-w-2
meaningfulness,Understandability,15,QOG-w-5
Comprehensiveness,Absence of Omissions (relative to input),15,QIC-c-1
Factual correctness,Factual Truth,14,QEC-c-1
overall preference,User Satisfaction as Affected by Outputs,14,QEG-w-6
similarity,Similarity to Target Outputs (outputs as a whole),14,QTG-w-1
repetition,Nonredundancy (output as a whole),14,QOG-w-1
overall,Overall Quality / Preference,14,AUX-OverallQuality
Interestingness,Engagingness/Interestingness,14,QEF-w-10
truthfulness,Factual Truth,13,QEC-c-1
factual accuracy,Factual Truth,13,QEC-c-1
complexity,Complexity/Non-complexity (outputs as a whole),13,QOF-w-3
Understandability,Understandability,13,QOG-w-5
answer correctness,Degree to which Output Answers Question in Input,13,QIG-w-2
Adequacy,Relevance to Input,13,QIG-c-3
fidelity,Consistency with Input,13,QIC-c-3
Usefulness,Usefulness (nonspecific),13,QEG-w-3
human-likeness,Humanlikeness,13,QOG-w-4
style,Control over Style,13,QIF-f-2
toxicity,Absence of Toxic / Harmful Content,13,QOC-c-2
Harmlessness,Absence of Toxic / Harmful Content,12,QOC-c-2
realism,Humanlikeness,12,QOG-w-4
precision,__DROP__,12,AUX-Other
Validity,Factual Truth,12,QEC-c-1
Truthfulness,Factual Truth,11,QEC-c-1
logical consistency,Internal Consistency of Outputs,11,QOG-c-4
satisfaction,User Satisfaction as Affected by Outputs,11,QEG-w-6
empathy,Empathy / Emotional Appropriateness,11,QEF-w-11
harmlessness,Absence of Toxic / Harmful Content,11,QOC-c-2
confidence,__DROP__,11,AUX-Other
Novelty,Creativity/Non-creativity (outputs as a whole),11,QOF-w-6
effectiveness,Usefulness for Task/Information Need,11,QEG-w-3.1
Meaning Preservation,Consistency with Input,11,QIC-c-3
semantic preservation,Consistency with Input,11,QIC-c-3
semantic consistency,Internal Consistency of Outputs,10,QOG-c-4
Toxicity,Absence of Toxic / Harmful Content,10,QOC-c-2
Persuasiveness,Effect on User Stance,10,QEF-w-7
engagement,Engagingness/Interestingness,10,QEF-w-10
reliability,__DROP__,10,AUX-Other
Factual accuracy,Factual Truth,9,QEC-c-1
Human-likeness,Humanlikeness,9,QOG-w-4
omission,Absence of Omissions (relative to input),9,QIC-c-1
Grammatical Correctness,Grammaticality,9,QOC-f-1
audio quality,Speech Quality,9,QOG-f-2
intelligibility,Understandability,9,QOG-w-5
level of detail,Specificity/Non-specificity (relative to input),9,QIF-c-3
Redundancy,Nonredundancy (output as a whole),9,QOG-w-1
Identification,__DROP__,9,AUX-Other
attribution,Relative Factual Accuracy,9,QEC-c-2
ambiguity,Clarity,9,QOG-w-5.1
Interesting,Engagingness/Interestingness,9,QEF-w-10
Complexity,Complexity/Non-complexity (outputs as a whole),8,QOF-w-3
semantic coherence,Coherence,8,QOG-c-3
Similarity,Similarity to Target Outputs (outputs as a whole),8,QTG-w-1
Understanding,Understandability,8,QOG-w-5
Simplicity,Complexity/Non-complexity (outputs as a whole),8,QOF-w-3
omissions,Absence of Omissions (relative to input),8,QIC-c-1
Logical Coherence,Coherence,8,QOG-c-3
persuasiveness,Effect on User Stance,8,QEF-w-7
novelty,Creativity/Non-creativity (outputs as a whole),8,QOF-w-6
Groundedness,Factual Truth,8,QEC-c-1
recall,__DROP__,8,AUX-Other
Meaning preservation,Consistency with Input,8,QIC-c-3
Factual Consistency,Factual Truth,8,QEC-c-1
Content,__DROP__,8,AUX-Other
salience,__DROP__,8,AUX-Other
Other,__DROP__,8,AUX-Other
Overall preference,User Satisfaction as Affected by Outputs,8,QEG-w-6
semantics,Semantic Correctness,8,QOC-c-1
logical coherence,Coherence,7,QOG-c-3
Factual Accuracy,Factual Truth,7,QEC-c-1
authenticity,Non-AI Likeness,7,QOG-w-4.2
Satisfaction,User Satisfaction as Affected by Outputs,7,QEG-w-6
Humanness,Humanlikeness,7,QOG-w-4
Sensibleness,Coherence,7,QOG-c-3
relevancy,Relevance to Input,7,QIG-c-3
relevant,Relevance to Input,7,QIG-c-3
Coherency,Coherence,7,QOG-c-3
understanding,Understandability,7,QOG-w-5
Depth,Complexity/Non-complexity (content/meaning),7,QOF-c-3
Feasibility,__DROP__,7,AUX-Other
Effectiveness,Usefulness for Task/Information Need,7,QEG-w-3.1
content,__DROP__,7,AUX-Other
Comforting,Effect on User Emotion,7,QEF-w-3
Succinctness,Nonredundancy (output as a whole),7,QOG-w-1
Suggestion,Usefulness for Task/Information Need,7,QEG-w-3.1
cultural relevance,Appropriateness (content/meaning),7,QEG-c-2
Attractiveness,Engagingness/Interestingness,7,QEF-w-10
offensiveness,Absence of Toxic / Harmful Content,7,QOC-c-2
sensibleness,Coherence,7,QOG-c-3
Soundness,Correctness of Outputs (outputs as a whole),7,QOC-w-1
groundedness,Factual Truth,6,QEC-c-1
contradiction,Internal Consistency of Outputs,6,QOG-c-4
Relevancy,Relevance to Input,6,QIG-c-3
Actionability,Usefulness for Task/Information Need,6,QEG-w-3.1
Answer correctness,Degree to which Output Answers Question in Input,6,QIG-w-2
Language Fluency,Fluency,6,QOG-w-3
Hallucinations,Factual Truth,6,QEC-c-1
coherency,Coherence,6,QOG-c-3
sufficiency,Absence of Omissions (relative to input),6,QIC-c-1
hallucinations,Factual Truth,6,QEC-c-1
humanness,Humanlikeness,6,QOG-w-4
succinctness,Nonredundancy (output as a whole),6,QOG-w-1
relatedness,Relevance to Input,6,QIG-c-3
Confidence,__DROP__,6,AUX-Other
Precision,__DROP__,6,AUX-Other
entailment,Consistency with Input,6,QIC-c-3
Entailment,Consistency with Input,6,QIC-c-3
support,Usefulness for Task/Information Need,6,QEG-w-3.1
Verifiability,__DROP__,6,AUX-Other
Knowledge,Factual Truth,6,QEC-c-1
Originality,Creativity/Non-creativity (outputs as a whole),6,QOF-w-6
bias,Absence of Bias / Stereotypes,6,QEC-c-3
Reasoning Error,Correctness of Outputs (outputs as a whole),6,QOC-w-1
persona consistency,Detectability of Speaker/Author Trait,6,QEF-w-5
success,Usefulness for Task/Information Need,6,QEG-w-3.1
syntactic correctness,Grammaticality,6,QOC-f-1
meaning,Semantic Correctness,6,QOC-c-1
Instruction Following,Consistency with Input,6,QIC-c-3
Topicality,Relevance to Input,6,QIG-c-3
Honesty,Factual Truth,5,QEC-c-1
soundness,Correctness of Outputs (outputs as a whole),5,QOC-w-1
Logic,Coherence,5,QOG-c-3
difficulty,Complexity/Non-complexity (outputs as a whole),5,QOF-w-3
Factual Correctness,Factual Truth,5,QEC-c-1
Grammatical correctness,Grammaticality,5,QOC-f-1
Omission,Absence of Omissions (relative to input),5,QIC-c-1
Informative,Informativeness,5,QOG-c-2
formality,Formality/Informality,5,QOF-f-4
Answer Correctness,Degree to which Output Answers Question in Input,5,QIG-w-2
Coherent,Coherence,5,QOG-c-3
Maintains Context,Relevance to Input,5,QIG-c-3
comprehensibility,Understandability,5,QOG-w-5
logicality,Coherence,5,QOG-c-3
semantic adequacy,Meaning Accuracy,5,QTC-c-1
Semantic Correctness,Semantic Correctness,5,QOC-c-1
inconsistency,Internal Consistency of Outputs,5,QOG-c-4
mistranslation,Translation Accuracy,5,QIC-w-1
well-formedness,Grammaticality,5,QOC-f-1
spelling,Spelling Accuracy,5,QOC-f-2
Non-redundancy,Nonredundancy (output as a whole),5,QOG-w-1
addition,Absence of Additions (relative to input),5,QIC-c-2
Usability,System Usability as Affected by Outputs,5,QEG-w-5
meaning similarity,Similarity to Target Outputs (content/meaning),5,QTG-c-1
suitability,Appropriateness (outputs as a whole),5,QEG-w-2
usability,System Usability as Affected by Outputs,5,QEG-w-5
Harmfulness,Absence of Toxic / Harmful Content,5,QOC-c-2
feasibility,__DROP__,5,AUX-Other
Recall,__DROP__,5,AUX-Other
Ambiguity,Clarity,5,QOG-w-5.1
Reliability,__DROP__,5,AUX-Other
interesting,Engagingness/Interestingness,5,QEF-w-10
Personalization,Appropriateness (outputs as a whole),5,QEG-w-2
Contradiction,Internal Consistency of Outputs,5,QOG-c-4
originality,Creativity/Non-creativity (outputs as a whole),5,QOF-w-6
Richness,Informativeness,5,QOG-c-2
fairness,Absence of Bias / Stereotypes,5,QEC-c-3
Overall Preference,User Satisfaction as Affected by Outputs,5,QEG-w-6
Bias,Absence of Bias / Stereotypes,5,QEC-c-3
Proactivity,__DROP__,5,AUX-Other
Cultural relevance,Appropriateness (content/meaning),5,QEG-c-2
image quality,__DROP__,5,AUX-Other
neutral,Control over Sentiment,5,QIF-w-2
rationality,Coherence,5,QOG-c-3
sentiment,Control over Sentiment,5,QIF-w-2
Terminology,Adherence to Style Guide,5,QEC-f-1
Trustworthiness,Factual Truth,5,QEC-c-1
typicality,Naturalness (outputs as a whole),5,QEG-w-1
overall translation quality,Translation Accuracy,5,QIC-w-1
content quality,Appropriateness (content/meaning),5,QEG-c-2
Prosody,Speech Quality,5,QOG-f-2
trust,Effect on User Opinion,5,QEF-w-6
topic relevance,Relevance to Input,4,QIG-c-3
Context Relevance,Relevance to Input,4,QIG-c-3
Relevant,Relevance to Input,4,QIG-c-3
match,Similarity to Target Outputs (outputs as a whole),4,QTG-w-1
sentence structure,Grammaticality,4,QOC-f-1
Concise,Nonredundancy (form),4,QOG-f-1
Logicality,Coherence,4,QOG-c-3
contextual relevance,Relevance to Input,4,QIG-c-3
answer accuracy,Degree to which Output Answers Question in Input,4,QIG-w-2
semantic correctness,Semantic Correctness,4,QOC-c-1
Comprehensibility,Understandability,4,QOG-w-5
Content Richness,Informativeness,4,QOG-c-2
Translation accuracy,Translation Accuracy,4,QIC-w-1
Understandable,Understandability,4,QOG-w-5
language fluency,Fluency,4,QOG-w-3
length,Output Length,4,QOF-f-5
COVERAGE,Coverage of Topics (given in input),4,QIC-c-4
Intelligibility,Understandability,4,QOG-w-5
Rationality,Coherence,4,QOG-c-3
Contextual Relevance,Relevance to Input,4,QIG-c-3
Style Accuracy,Adherence to Style Guide,4,QEC-f-1
Style Transfer Accuracy,Success of Style Transfer from Sample,4,QIG-f-2
friendliness,Detectability of Speaker/Author Trait,4,QEF-w-5
grammar correctness,Grammaticality,4,QOC-f-1
ease of use,System Usability as Affected by Outputs,4,QEG-w-5
grammatical,Grammaticality,4,QOC-f-1
makes sense,Understandability,4,QOG-w-5
translation accuracy,Translation Accuracy,4,QIC-w-1
depth,Complexity/Non-complexity (content/meaning),4,QOF-c-3
Meaningfulness,Understandability,4,QOG-w-5
efficiency,Task Completion Speed,4,QEG-w-5.2
honesty,Factual Truth,4,QEC-c-1
Reasoning,Coherence,4,QOG-c-3
hallucination detection,Absence of Additions (relative to input),4,QIC-c-2
Structure,Grammaticality,4,QOC-f-1
structure,Grammaticality,4,QOC-f-1
proactivity,__DROP__,4,AUX-Other
Comprehension,Understandability,4,QOG-w-5
Alignment,Appropriateness (outputs as a whole),4,QEG-w-2
attractiveness,Engagingness/Interestingness,4,QEF-w-10
Authenticity,Non-AI Likeness,4,QOG-w-4.2
Supported,__DROP__,4,AUX-Other
citation precision,__DROP__,4,AUX-Other
citation recall,__DROP__,4,AUX-Other
error severity,Correctness of Outputs (outputs as a whole),4,QOC-w-1
Sentiment,Control over Sentiment,4,QIF-w-2
Acceptability,Appropriateness (outputs as a whole),4,QEG-w-2
Sufficiency,Absence of Omissions (relative to input),4,QIC-c-1
representativeness,Absence of Bias / Stereotypes,4,QEC-c-3
Not checkable,__DROP__,4,AUX-Other
content richness,Informativeness,4,QOG-c-2
Uses Knowledge,__DROP__,4,AUX-Other
Well-formedness,Grammaticality,4,QOC-f-1
formatting,Adherence to Style Guide,4,QEC-f-1
importance,Informativeness,4,QOG-c-2
detail,Informativeness,4,QOG-c-2
specific,Specificity/Non-specificity (relative to input),4,QIF-c-3
Language Quality,Fluency,4,QOG-w-3
language quality,Fluency,4,QOG-w-3
Context Coherence,Coherence,4,QOG-c-3
Context error,Consistency with Input,4,QIC-c-3
Success Rate,Functional Correctness,4,QEC-w-1
success rate,Functional Correctness,4,QEC-w-1
non-triviality,Informativeness,4,QOG-c-2
correctness of answer,Degree to which Output Answers Question in Input,4,QIG-w-2
data coverage,Absence of Omissions (relative to input),4,QIC-c-1
label consistency,Internal Consistency of Outputs,4,QOG-c-4
paraphrasing,Similarity/Dissimilarity to Input (content/meaning),4,QIF-c-2
sensibility,Coherence,4,QOG-c-3
Content preservation,Similarity/Dissimilarity to Input (content/meaning),4,QIF-c-2
Topic relevance,Relevance to Input,4,QIG-c-3
context relevance,Relevance to Input,4,QIG-c-3
semantic alignment,Semantic Correctness,4,QOC-c-1
Fidelity,Consistency with Input,4,QIC-c-3
Logical coherence,Coherence,3,QOG-c-3
Semantic consistency,Internal Consistency of Outputs,3,QOG-c-4
factualness,Factual Truth,3,QEC-c-1
semantic accuracy,Semantic Correctness,3,QOC-c-1
logical correctness,Semantic Correctness,3,QOC-c-1
Cohesion,Cohesiveness,3,QOG-c-3.2
Organization,Wellorderedness,3,QOG-c-3.1
Politeness,Appropriateness (form),3,QEG-f-2
Reasonableness,Appropriateness (outputs as a whole),3,QEG-w-2
Semantic Similarity,Similarity/Dissimilarity to Non-target Reference (content/meaning),3,QEF-c-1
correct,Correctness of Outputs (outputs as a whole),3,QOC-w-1
hallucination presence,Factual Truth,3,QEC-c-1
information completeness,Absence of Omissions (relative to input),3,QIC-c-1
organization,Wellorderedness,3,QOG-c-3.1
Spelling,Spelling Accuracy,3,QOC-f-2
Semantic equivalence,Similarity to Target Outputs (content/meaning),3,QTG-c-1
Natural,Naturalness (outputs as a whole),3,QEG-w-1
Language fluency,Fluency,3,QOG-w-3
Support,Usefulness for Task/Information Need,3,QEG-w-3.1
Supportiveness,Usefulness for Task/Information Need,3,QEG-w-3.1
contextual appropriateness,Appropriateness (outputs as a whole),3,QEG-w-2
controllability,Control over Multiple Attributes,3,QIF-w-5
cultural appropriateness,Appropriateness (outputs as a whole),3,QEG-w-2
interpretability,Understandability,3,QOG-w-5
misinformation,Factual Truth,3,QEC-c-1
label adherence,Absence of Omissions (relative to input),3,QIC-c-1
Addition,Absence of Additions (relative to input),3,QIC-c-2
Factualness,Factual Truth,3,QEC-c-1
Formality,Formality/Informality,3,QOF-f-4
Funniness,Humorousness/Non-humorousness,3,QOF-w-5
INFORMATIVENESS,Informativeness,3,QOG-c-2
Non-Redundancy,Nonredundancy (output as a whole),3,QOG-w-1
Overall Satisfaction,User Satisfaction as Affected by Outputs,3,QEG-w-6
Translation Quality,Translation Accuracy,3,QIC-w-1
Unrelated,Relevance to Input,3,QIG-c-3
REDUNDANCY,Nonredundancy (output as a whole),3,QOG-w-1
closeness to reference,Similarity to Target Outputs (outputs as a whole),3,QTG-w-1
coherent,Coherence,3,QOG-c-3
critical errors,Correctness of Outputs (outputs as a whole),3,QOC-w-1
dissimilarity,Similarity/Dissimilarity to Non-target Reference (outputs as a whole),3,QEF-w-1
image relevance,Relevance to Input,3,QIG-c-3
justification,Goodness as Explanation of System Behaviour,3,QEG-w-4
label correctness,Classification Accuracy,3,QTC-w-1
missing information,Absence of Omissions (relative to input),3,QIC-c-1
prosody,Speech Quality,3,QOG-f-2
poeticness,Poeticness/Non-poeticness (outputs as a whole),3,QOF-w-2
semantic completeness,Absence of Omissions (relative to input),3,QIC-c-1
similarity to reference,Similarity to Target Outputs (outputs as a whole),3,QTG-w-1
style control,Control over Style,3,QIF-f-2
unambiguity,Clarity,3,QOG-w-5.1
word order,Grammaticality,3,QOC-f-1
Realism,Humanlikeness,3,QOG-w-4
Efficiency,Task Completion Speed,3,QEG-w-5.2
personalization,Appropriateness (outputs as a whole),3,QEG-w-2
reasoning,Coherence,3,QOG-c-3
tone,Control over Formality/Informality,3,QIF-f-2.1
Semantics,Semantic Correctness,3,QOC-c-1
Planning,__DROP__,3,AUX-Other
Breadth,Diversity/Non-diversity (content/meaning),3,QOF-c-1
Expression,Fluency,3,QOG-w-3
Guidance,Usefulness for Task/Information Need,3,QEG-w-3.1
Significance,__DROP__,3,AUX-Other
SENTIMENT,Control over Sentiment,3,QIF-w-2
Overall Score,Overall Quality / Preference,3,AUX-OverallQuality
Overall score,Overall Quality / Preference,3,AUX-OverallQuality
Intent,__DROP__,3,AUX-Other
Adaptability,Appropriateness of System Response Type,3,QIG-f-1
Task Success,Usefulness for Task/Information Need,3,QEG-w-3.1
Importance,Informativeness,3,QOG-c-2
factual support,Factual Truth,3,QEC-c-1
likability,User Satisfaction as Affected by Outputs,3,QEG-w-6
supportiveness,Usefulness for Task/Information Need,3,QEG-w-3.1
text quality,Overall Quality / Preference,3,AUX-OverallQuality
Irrelevant,Absence of Additions (relative to input),3,QIC-c-2
Grounding,Consistency with Input,3,QIC-c-3
interest,Engagingness/Interestingness,3,QEF-w-10
Correct,Correctness of Outputs (outputs as a whole),3,QOC-w-1
context coherence,Coherence,3,QOG-c-3
Task completion,Task Completion Speed,3,QEG-w-5.2
common sense,Factual Truth,3,QEC-c-1
Common Sense,Factual Truth,3,QEC-c-1
commonsense,Factual Truth,3,QEC-c-1
Other Error,Correctness of Outputs (outputs as a whole),3,QOC-w-1
Interpretability,Understandability,3,QOG-w-5
Language,__DROP__,3,AUX-Other
language,__DROP__,3,AUX-Other
commonsense alignment,Factual Truth,3,QEC-c-1
Uniqueness,Diversity/Non-diversity (outputs as a whole),3,QOF-w-1
equivalence,Meaning Accuracy,3,QTC-c-1
knowledge relevance,Relevance to Input,3,QIG-c-3
logical validity,Semantic Correctness,3,QOC-c-1
overall response quality,Overall Quality / Preference,3,AUX-OverallQuality
error correction,Complete Target Output Matching,3,QTC-w-3
expressiveness,Poeticness/Non-poeticness (outputs as a whole),3,QOF-w-2
flexibility,Diversity/Non-diversity (outputs as a whole),3,QOF-w-1
engaging,Engagingness/Interestingness,3,QEF-w-10
hallucination type,__DROP__,3,AUX-Other
severity,__DROP__,3,AUX-Other
severity levels,__DROP__,3,AUX-Other
politeness,Appropriateness (form),3,QEG-f-2
Acceptable,Appropriateness (outputs as a whole),3,QEG-w-2
stance,Detectability of Speaker/Author Stance,3,QEF-w-4
stereotypical,Absence of Bias / Stereotypes,3,QEC-c-3
Incorrect number,Factual Truth,3,QEC-c-1
Incorrect word,Correctness of Outputs (outputs as a whole),3,QOC-w-1
Match,Similarity to Target Outputs (outputs as a whole),3,QTG-w-1
Unverifiable,__DROP__,3,AUX-Other
VALIDITY,Factual Truth,3,QEC-c-1
Singability,Appropriateness (form),3,QEG-f-2
agreement,__DROP__,3,AUX-Other
annotation correctness,Classification Accuracy,3,QTC-w-1
emotion,Effect on User Emotion,3,QEF-w-3
compatibility,Performance of an Embedding/Downstream System/Component,3,QEG-w-8
functionality,Functional Correctness,3,QEC-w-1
general quality,Overall Quality / Preference,3,AUX-OverallQuality
contradiction detection,__DROP__,3,AUX-Other
disfluencies,Fluency,3,QOG-w-3
immersion,Engagingness/Interestingness,3,QEF-w-10
linguistic quality,Fluency,3,QOG-w-3
word choice,Appropriateness (form),3,QEG-f-2
time taken,__DROP__,3,AUX-Other
warmth,Detectability of Speaker/Author Trait,3,QEF-w-5
overall summary quality,Overall Quality / Preference,3,AUX-OverallQuality
paraphrase quality,Consistency with Input,3,QIC-c-3
instruction following,Consistency with Input,3,QIC-c-3
FAITHFULNESS,Consistency with Input,3,QIC-c-3
error categorization,__DROP__,3,AUX-Other
error types,__DROP__,3,AUX-Other
Factual consistency,Factual Truth,2,QEC-c-1
information coverage,Absence of Omissions (relative to input),2,QIC-c-1
Goal Completion,Usefulness for Task/Information Need,2,QEG-w-3.1
semantic relevance,Relevance to Input,2,QIG-c-3
logical flow,Coherence,2,QOG-c-3
Answer Relevance,Relevance to Input,2,QIG-c-3
Information,Informativeness,2,QOG-c-2
Helpful,Usefulness (nonspecific),2,QEG-w-3
Cultural Relevance,Appropriateness (content/meaning),2,QEG-c-2
Relatedness,Relevance to Input,2,QIG-c-3
Content relevance,Relevance to Input,2,QIG-c-3
Linguistic Acceptability,Grammaticality,2,QOC-f-1
cohesiveness,Cohesiveness,2,QOG-c-3.2
actionable,Usefulness for Task/Information Need,2,QEG-w-3.1
constraint satisfaction,Consistency with Input,2,QIC-c-3
humor,Humorousness/Non-humorousness,2,QOF-w-5
relevance to query,Relevance to Input,2,QIG-c-3
semantic appropriateness,Appropriateness (content/meaning),2,QEG-c-2
overall satisfaction,User Satisfaction as Affected by Outputs,2,QEG-w-6
Answer Relevancy,Relevance to Input,2,QIG-c-3
Argument Clarity,Clarity,2,QOG-w-5.1
Clarity of Expression,Clarity,2,QOG-w-5.1
Cultural Appropriateness,Appropriateness (outputs as a whole),2,QEG-w-2
Descriptiveness,Informativeness,2,QOG-c-2
Emotion,Effect on User Emotion,2,QEF-w-3
Content Relevance,Relevance to Input,2,QIG-c-3
Coreference,Clarity of Referents,2,QEG-w-7
Friendliness,Detectability of Speaker/Author Trait,2,QEF-w-5
Functional correctness,Functional Correctness,2,QEC-w-1
Knowledge Accuracy,Factual Truth,2,QEC-c-1
Knowledge Correctness,Factual Truth,2,QEC-c-1
Human-Likeness,Humanlikeness,2,QOG-w-4
Minimality,Nonredundancy (output as a whole),2,QOG-w-1
Subjective preference,User Satisfaction as Affected by Outputs,2,QEG-w-6
context consistency,Consistency with Input,2,QIC-c-3
distinctness,Diversity/Non-diversity (outputs as a whole),2,QOF-w-1
emotion provocation,Effect on User Emotion,2,QEF-w-3
generalizability,Cross-Dataset Generalisation,2,QTG-w-3
information loss,Absence of Omissions (relative to input),2,QIC-c-1
factual errors,Factual Truth,2,QEC-c-1
missing,Absence of Omissions (relative to input),2,QIC-c-1
necessity,Nonredundancy (content/meaning),2,QOG-c-1
over-translation,Absence of Additions (relative to input),2,QIC-c-2
suitableness,Appropriateness (outputs as a whole),2,QEG-w-2
target success rate,Complete Target Output Matching,2,QTC-w-3
under-translation,Absence of Omissions (relative to input),2,QIC-c-1
utility,Usefulness (nonspecific),2,QEG-w-3
Answer Accuracy,Degree to which Output Answers Question in Input,2,QIG-w-2
Background noise,Speech Quality,2,QOG-f-2
Category Accuracy,Classification Accuracy,2,QTC-w-1
Compactness,Nonredundancy (form),2,QOG-f-1
Contextual Consistency,Consistency with Input,2,QIC-c-3
Duplication,Nonredundancy (output as a whole),2,QOG-w-1
Ease of use,System Usability as Affected by Outputs,2,QEG-w-5
Difficulty,Complexity/Non-complexity (outputs as a whole),2,QOF-w-3
Exact Match,Complete Target Output Matching,2,QTC-w-3
Execution Accuracy,Functional Correctness,2,QEC-w-1
Extra words,Nonredundancy (form),2,QOG-f-1
Human-like,Humanlikeness,2,QOG-w-4
Hallucination Degree,Absence of Additions (relative to input),2,QIC-c-2
Hallucination Error,Absence of Additions (relative to input),2,QIC-c-2
Helpfulness for understanding AI's reasoning,Goodness as Explanation of System Behaviour,2,QEG-w-4
Inaccuracy Extrinsic,Factual Truth,2,QEC-c-1
Inaccuracy Intrinsic,Correctness of Outputs (outputs as a whole),2,QOC-w-1
Informativity,Informativeness,2,QOG-c-2
Knowledgeable,Detectability of Speaker/Author Trait,2,QEF-w-5
Mistranslation,Translation Accuracy,2,QIC-w-1
