normalized,total_count,num_variants,variants_with_counts,qcet_id
Fluency,171,16,fluency (88); Fluency (62); Language Fluency (4); Expression (3); linguistic fluency (2); Language Use (2); language fluency (1); Language fluency (1); Grammatical fluency (1); natural language flow (1); Language Quality (1); language quality (1); Language quality (1); Linguistic Quality (1); awkwardness (1); run smoothness (1),QOG-w-3
Appropriateness (outputs as a whole),146,99,"appropriateness (11); alignment (9); Appropriateness (8); Personalization (6); reasonableness (5); Alignment (4); Social Rules (3); professionalism (3); Reasonableness (2); personalization (2); Acceptability (2); alignment with user profile (2); policy compliance (2); personalization quality (2); acceptability (1); contextual appropriateness (1); cultural appropriateness (1); Cultural Appropriateness (1); suitableness (1); APPROPRIATENESS (1); Cultural appropriateness (1); Overall Social Intelligence (1); Professionalism (1); acceptable (1); Alignment with clinical needs (1); Alignment with user profile (1); Contextual appropriateness of data sharing (1); Cultural inappropriateness (1); Situation appropriateness (1); Social norm violation (1); contextual suitability (1); contextual adequacy (1); difficulty appropriateness (1); explanations for non-experts (1); insults avoidance (1); offensive (1); overall suitability (1); potentially offensive or dangerous for children (1); Privacy (1); privacy (1); Unsafe (1); unsafe (1); AD ACCEPTABILITY (1); Cultural Awareness (1); Cultural Behavior (1); Cultural understanding & adaptation (1); Culture and History (1); Fitting (1); Personal and Sociocultural Circumstances (1); Social Norm Adherence (1); Social Norm Appropriateness (1); Target Audience Alignment (1); Use Gentle Challenges and Interpretations (1); cultural relevance and sensitivity (1); cooperative (1); implicit offensiveness (1); performance_context (1); respectful (1); targeted (1); Acknowledgment (1); Acknowledgment of Knowledge Gaps (1); Character Utterance (1); Cognitive suitability (1); Contextual and Legal Understanding (1); Correct use of persuasive strategy (1); Cultural adherentness (1); Cultural alignment (1); cultural alignment (1); Cultural Conflict Management (1); Cultural Discrepancy (1); Error level acceptability (1); Essay Quality based on Rubric (1); Environment (scenes, objects, events) (1); Harm reduction strategy alignment (1); Integration of Personalized Elements (1); Interpersonal Effectiveness (1); Interaction Appropriateness (1); Minimal invasiveness (1); Norm Alignment (1); Overall quality (good opening speech) (1); Patient-Centricity (1); Recipient roles (1); Role-playing (1); Sensitive content (1); Therapist Standard (1); adherence to legal principles (1); appropriateness of emotion prediction (1); emotional fit (1); improper response (1); interaction friendliness (1); law abidance (1); pornography avoidance (1); presence of defects/inappropriate statements (1); presence of detailed procedural instructions for illegal activity (1); prohibited content (1); relational structure suitability (1); respect for cultural values (1); safety & security (1); contextual alignment (1)",QEG-w-2
Usefulness for Task/Information Need,143,110,support (6); Actionability (5); effectiveness (5); Goal Completion (4); actionability (4); Guidance (3); Financial and Material Benefits (3); goal relevance (3); intent alignment (3); actionable (2); Effectiveness (2); Task Success (2); supportiveness (2); Empowerment (2); practicality (2); Support (1); Supportiveness (1); Meeting User Needs (1); Providing guidance (1); Task Quality (1); pedagogical value (1); relevance to user information needs (1); Actionable Insights (1); Assistant Outcome Quality (1); Bug fixing score (1); Contribution to user tasks (1); Degree of support for the specified action (1); Feedback Effectiveness (1); Goal completion (1); Meta-review usefulness (1); alignment with intended purpose (1); assistive value (1); effective treatment recommendation (1); effectiveness in reaching the final answer (1); meeting user needs (1); overall helpfulness (1); reply usefulness (1); task completion contribution (1); Suggestion (1); guidance (1); success (1); Success (1); task success (1); Applicability (1); empowerment (1); Solvability (1); solvability (1); clinical significance (1); Practicality (1); Intent Alignment (1); Adaptiveness (1); Brainstorm and Evaluate Options (1); Complete Goal (1); Completion (1); Copywriting Quality (1); Elaboration (1); Directive Support (1); Ensure Readiness and Collaboration (1); History Taking Ability (1); Medical Interviewing Skills (1); Patient Education (1); Task performance (1); content suggestion (1); educational value (1); Educational Value (1); information sufficiency (1); utility preservation (1); summarization quality (1); Summarization Quality (1); task fulfillment (1); Alignment with user goals (1); Assessment Effectiveness (1); Claim support (1); Clinical meaningfulness (1); Constructive Support (1); Constructive Value (1); deal achievement (1); Domain-specific expertise (1); Error guidance quality (1); Guided Discovery (1); Learning Objective Achievement Effectiveness (1); Pedagogical Quality (1); pedagogical quality (1); Plan quality (1); plan quality (1); Planning quality (1); Problem-Solving (1); Problem-solving relevance (1); Questioning Effectiveness (1); Relevance to task (1); Relevance to the Task (1); Social Goal Completion (1); Support of assertions (1); Support of claims (1); Supportive Details (1); analytical querying support (1); conflict resolution effectiveness (1); contribution of intermediate answers (1); covering objectives (1); document support quality (1); goal completion (1); hindered task (1); practicality and effectiveness (1); quality of guidance (1); scaffolding guidance (1); sub-goal completion (1); success (binary) (1); task alignment (1); task-solving (1); overall effectiveness (1),QEG-w-3.1
Informativeness,130,45,informativeness (35); Informativeness (30); Insightfulness (5); Richness (4); detailedness (4); Informative (3); Detail (3); Detailedness (3); Information (2); Information Richness (2); richness (2); insightfulness (2); topic depth (2); Detail Orientation (2); Content Richness (1); Descriptiveness (1); Information provision (1); informativity (1); Reasoning Effective Info Inclusion (1); detail richness (1); content richness (1); Content richness (1); importance (1); detail (1); Topic Depth (1); Sufficiency of detail (1); Detail and Depth (1); Information content (1); Informational (1); Knowledge-Exposure (1); Insight (1); Quantitative Information (1); Surface-level Information (1); Use of Knowledge (1); Code Comments (1); conversational insightfulness (1); Depth & Essentiality (1); Ideas and Analysis (1); Ideas/themes (1); Quantitative Evidence Presence (1); Semantic information (1); information quantity (1); need for external information (1); textual information (1); very little information (1),QOG-c-2
Clarity,109,42,clarity (35); Clarity (33); ambiguity (2); Argument Clarity (1); Clarity of Expression (1); Clarification (1); Conceptual Clarity (1); Question Clarity (1); ambiguity reduction (1); lucidity (1); Communication Clarity (1); Lack of ambiguity (1); Linguistic Clarity (1); clarity improvement (1); logical clarity (1); Actions clarity (1); Clear and Concise Language (1); Manner (1); clarity and structure (1); conceptual clarity (1); misinterpretation (1); visual clarity (1); Visual Clarity (1); Ambiguity Reduction (1); Ambiguity Resolution (1); Category Clarity (1); Clarity of Viewpoint (1); Code Clarity (1); Directness (1); Explicit reasoning steps (1); Explicitness of Changes (1); Noisiness (1); Reconstruction-necessity (1); ambiguous scope (1); code clarity and documentation (1); logical distinction (1); metaphor effectiveness (1); recoverability (1); remove nodes with unclear semantics (1); Explicit (1); transparency (1); clarity of concepts (1),QOG-w-5.1
Semantic Correctness,96,82,semantic accuracy (3); logical correctness (3); Logical reasoning (3); semantic alignment (3); semantic correctness (2); Semantic accuracy (2); relation correctness (2); math (2); Math (2); correctness of reasoning steps (2); Semantic Correctness (1); Context-based meaning error (1); Description Correctness (1); Semantic correctness (1); Semantic Accuracy (1); semantic validity (1); Conceptual Accuracy (1); Incorrect event logical reasoning (1); Semantic Understanding Error (1); Semantic soundness (1); content errors (1); meaning misinterpretation (1); swapped events (1); Semantics (1); logical validity (1); causality (1); logical rationality (1); Gibberish (1); Reasoning Evidence-Based Reasoning (1); Semantic quality (1); semantic quality (1); Spatial Relations (1); Temporal Error (1); Validity of Reasoning (1); argument validity (1); conveyance of figurative meaning (1); negates (1); Analytical correctness (1); Calculation error (1); Calculation errors (1); Calculator Error (1); Fallacious premise match (1); Implausible Error (1); Information reasoning accuracy (1); Logical Negation (1); Logical correctness (1); Logical validity of reasoning trace (1); Mathematical Integrity (1); Mathematical calculation (1); Numerical Errors (1); Numerical correctness (1); Reasoning errors (1); Section Correctness (1); Semantic alignment (1); Temporal reasoning (1); Uncertainty expression accuracy (1); accuracy and consistency of emotion description (1); analogy correctness (1); cognitive correctness (1); lexical sanity (1); logical robustness (1); plausibility ranking (1); presence of logical fallacies (1); predicate applicability (1); procedural mistakes (1); semantic ambiguity (1); Logical Correctness (1); correctness of intermediate reasoning steps (1); Assumption validity (1); Chain-of-Thought reasoning presence (1); Correct reasoning driving safety prediction (1); Conclusion Accuracy (1); Inference correctness (1); Reasoning completeness (1); reasoning completeness (1); Reasoning proficiency (1); conceptual mistakes (1); logical correctness of reasoning steps (1); incorrect_reasoning (1); reasoning step accuracy (1); reasoning accuracy (1); reasoning step validity (1),QOC-c-1
Specificity/Non-specificity (relative to input),80,18,level of detail (37); specificity (14); Specificity (11); Level of Detail (4); Specificity in addressing identified issue (1); Specificity level (1); underspecification (1); specific (1); granularity (1); Overgeneralization (1); abstractness (1); Avoid Generic Responses (1); Context Precision (1); context precision (1); Location disclosure at specified granularity (1); non-genericity (1); properly scoped (1); specificity equivalence (1),QIF-c-3
Creativity/Non-creativity (outputs as a whole),75,16,creativity (29); Creativity (19); Novelty (7); originality (4); Originality (3); novelty (2); Innovativeness (2); Creative (1); Original (1); creative problem-solving (1); novelty of ideas (1); Innovation & Uniqueness (1); Innovative Moments (1); information novelty (1); insightful (1); surprisingness (1),QOF-w-6
Grammaticality,74,35,grammaticality (9); grammar (9); Grammaticality (5); structure (5); grammatical correctness (4); Grammar (4); Grammatical correctness (4); Structure (4); sentence structure (3); Linguistic Acceptability (2); Grammatical Correctness (1); well-formedness (1); GRAMMATICALITY (1); Grammar & linguistics (1); Abusing of Clauses (1); Language accuracy (1); grammar and syntax (1); linguistic acceptability (1); syntactic integrity (1); Well-formedness (1); False Concatenation (1); Language Usage (1); syntax (1); Expression accuracy (1); Linking Verb Structure Significance (1); Long dependency (1); Past Tense Verb Significance (1); Spacing (1); Structural correctness (1); absence of abnormal language patterns (1); claim punctuation (1); composition (1); correct language (1); punctuation correctness (1); structural soundness (1),QOC-f-1
Engagingness/Interestingness,70,27,Engagement (11); engagement (10); engagingness (9); Engagingness (7); interestingness (5); Interestingness (4); Interesting (2); attractiveness (2); Interest (2); interesting (1); interest (1); engaging (1); Engaging (1); Interest Level (1); Immersion (1); Curiosity (1); Enjoyment and Engagement (1); Engaging Narrative (1); Interactive Engagement (1); Immersion and Setting (1); Interest generation (1); Motivates and Stimulates Student Curiosity (1); fascination (1); user engagement (1); Interest Score (1); thought-provoking (1); user involvement (1),QEF-w-10
