normalized,total_count,num_variants,variants_with_counts
DIVERSITY,60,10,Diversity (45); Diversity Score (4); diversity (3); Diversity-2 (2); Diversity-1 (1); Diversity-E (1); Diversity-L (1); Diversity-N (1); diversity metric (1); Δ Diversity (1)
COVERAGE,57,8,Coverage (43); coverage (5); Coverage Score (4); Coverage-Score (1); Coverage@1 (1); Coverage@10 (1); Coverage@5 (1); Coverage@80 (1)
ASR,54,9,ASR (46); ASR-A (1); ASR-E (1); ASR-G (1); ASR-H (1); ASR-P (1); ASR-a (1); ASR-q (1); ASR@k (1)
KL DIVERGENCE,53,4,KL Divergence (25); KL divergence (21); KL-divergence (6); KL-Divergence (1)
PASS RATE,51,5,Pass Rate (31); pass rate (11); Pass rate (7); Micro Pass Rate (1); Pass Rate@k (1)
FACTCC,50,2,FactCC (47); FACTCC (3)
CONSISTENCY,48,7,Consistency (32); Consistency Score (5); consistency (5); CONSISTENCY (2); consistency score (2); Consistency (1-τ) (1); Consistency Score (C) (1)
ACC,47,16,ACC (24); Acc (6); Acc@k (3); ΔAcc (2); ACC-2 (1); ACC_avg (1); ACC_e (1); ACC_u (1); Acc-1 (1); Acc-2 (1); Acc-7 (1); Acc@20 (1); Acc@5 (1); Acc_K (1); Acc† (1); acc (1)
CLIP,46,7,CLIP (14); CLIP Score (13); CLIP-Score (10); CLIP-S (5); CLIP score (2); CLIP-T (1); CLIP-score (1)
F0,44,3,F0.5 (41); F0 (2); ΔF0.5 (1)
DIST,42,7,DIST (13); Dist-1 (8); Dist-2 (8); Dist (6); Dist-n (5); DIST-n (1); dist-2 (1)
MT BENCH,42,6,MT-Bench (21); MT-Bench Score (6); MT-Bench score (6); MT-bench (5); MT Bench (2); MT-bench score (2)
ATTACK SUCCESS RATE,41,2,Attack Success Rate (39); Attack success rate (2)
HIT,39,14,Hit@1 (12); Hit (5); Hit@k (5); Hit@5 (4); HIT@1 (3); HIT@10 (2); HIT@5 (1); Hit@10 (1); Hit@100 (1); Hit@2 (1); Hit@20 (1); Hit@3 (1); Hit@K (1); hit@1 (1)
FACTSCORE,39,5,FActScore (16); FactScore (15); FACTSCORE (6); FACTScore (1); FActscore (1)
UNIEVAL,39,2,UniEval (37); UNIEVAL (2)
REWARD,37,8,Average Reward (12); Reward Score (10); Reward (7); reward score (4); Average Reward Score (1); Average reward (1); Reward@k (1); average reward (1)
G EVAL,37,3,G-Eval (27); G-EVAL (9); G-Eval-4 (1)
SEMANTIC SIMILARITY,36,4,Semantic Similarity (27); Semantic similarity (5); semantic similarity (3); Semantic_Similarity (1)
QUESTEVAL,35,2,QuestEval (33); QUESTEVAL (2)
P,34,14,P@1 (14); P@10 (3); P@K (3); P-score (2); P@5 (2); P@k (2); P Mean (1); P-Score (1); P@2 (1); P@20 (1); P@3 (1); p@1 (1); p@3 (1); p_k (1)
KENDALL,32,3,Kendall's τ (24); Kendall (4); Kendall τ (4)
EDIT DISTANCE,31,4,Edit Distance (22); edit distance (5); Edit distance (3); edit-distance (1)
JOINT GOAL ACCURACY,31,2,Joint Goal Accuracy (29); joint goal accuracy (2)
LEVENSHTEIN DISTANCE,31,2,Levenshtein Distance (21); Levenshtein distance (10)
IOU,30,6,IoU (23); IOU (3); IoU@0.5 (1); Macro IoU (1); Mean IoU (1); Micro IoU (1)
ROC AUC,30,4,ROC-AUC (17); ROC AUC (11); Macro ROC AUC (1); ROC_AUC (1)
COHEN S KAPPA,30,3,Cohen's Kappa (17); Cohen's kappa (12); Cohen's Kappa (κ) (1)
ALIGNSCORE,30,2,AlignScore (29); ALIGNSCORE (1)
CHAIR,29,5,CHAIR (25); CHAIR-I (1); CHAIR-S (1); CHAIR-i (1); CHAIR-s (1)
LENGTH,29,4,Length (20); Average Length (6); length (2); average length (1)
COHERENCE,29,3,Coherence (26); coherence (2); Coherence Score (1)
FLUENCY,29,3,Fluency (27); Fluency Score (1); fluency (1)
SPEARMAN,28,4,Spearman's ρ (14); Spearman (11); Spearman ρ (2); Spearman r (1)
TOXICITY,28,4,Toxicity Score (14); Toxicity (11); Toxicity score (2); toxicity score (1)
EMBEDDING,28,3,Embedding Average (26); Embedding (1); Embedding-Average (1)
F,27,11,F-score (15); F-1 (3); F (1); F-Score (1); F-score@k (1); F_a (1); F_c (1); Fβ score (1); F₀.₅ (1); macro F-score (1); micro F-score (1)
FID,26,2,FID (25); FiD (1)
XCOMET,26,2,XCOMET (17); xCOMET (9)
BIAS,25,8,Bias Score (18); Bias (1); Bias score (1); Bias@K (1); Mean Bias Score (1); bias score (1); µ_bias (1); Δ Bias (1)
JENSEN SHANNON DIVERGENCE,25,3,Jensen-Shannon Divergence (20); Jensen-Shannon divergence (4); Jensen Shannon divergence (1)
JACCARD SIMILARITY,25,2,Jaccard Similarity (20); Jaccard similarity (5)
KENDALL S TAU,25,2,Kendall's Tau (17); Kendall's tau (8)
PARENT,25,2,PARENT (24); PARENT-T (1)
BALANCED ACCURACY,24,2,Balanced Accuracy (22); balanced accuracy (2)
NLI,23,6,NLI (18); NLI score (1); NLI-A (1); NLI-C (1); NLI-E (1); NLI-S (1)
METRICX,23,4,MetricX (13); METRICX (5); MetricX-23 (4); MetricX-24 (1)
REFUSAL RATE,23,3,Refusal Rate (18); Refusal rate (3); refusal rate (2)
FAITHFULNESS,22,4,Faithfulness (14); Faithfulness Score (4); faithfulness (3); Faithfulness Score (γ) (1)
LENGTH CONTROLLED WIN RATE,22,3,Length-Controlled Win Rate (15); Length-controlled Win Rate (5); Length-controlled win rate (2)
PRISM,22,3,PRISM (16); Prism (5); prism (1)
ALPACAEVAL,21,4,AlpacaEval (15); AlpacaEval 2.0 (3); AlpacaEval Score (2); ALPACAEVAL (1)
HALLUCINATION RATE,21,3,Hallucination Rate (17); hallucination rate (3); Hallucination rate (1)
CITATION PRECISION,21,2,Citation Precision (19); citation precision (2)
CITATION RECALL,21,2,Citation Recall (19); citation recall (2)
ECE,21,2,ECE (20); ECE-t (1)
ENTITY F1,21,2,Entity F1 (15); Entity-F1 (6)
SUMMAC,21,2,SummaC (17); SUMMAC (4)
RANK,20,10,Mean Rank (7); Rank (3); Average Rank (2); RANK (2); Average rank (1); Mean rank (1); Rank-1 (1); Rank-10 (1); Rank-5 (1); average rank (1)
ENTAILMENT,20,4,Entailment (13); Entailment Score (5); Entailment-Score (1); entailment (1)
CLASSIFICATION ACCURACY,20,3,Classification Accuracy (15); classification accuracy (4); Classification accuracy (1)
COMETKIWI,20,3,CometKiwi (9); COMETKIWI (6); COMETKiwi (5)
GPT,19,9,GPT-4 (6); GPT Score (3); GPT-Score (3); GPT-score (2); GPT (1); GPT-2 (1); GPT-3 (1); GPT-3.5 (1); GPT-4.1 (1)
BERT,19,6,BERT-Score (10); BERT (3); BERT-P (2); BERT-S (2); BERT-R (1); BERT-score (1)
CORRECTNESS,19,5,Correctness (14); correctness (2); Binary Correctness (1); Correctness Score (1); Correctness% (1)
NOVELTY,19,4,Novelty (13); novelty (3); NOVELTY (2); Novelty-n (1)
RELEVANCE,19,3,Relevance (14); relevance (4); Average Relevance (1)
SQUARED ERROR,19,3,Mean Squared Error (17); Mean-Squared Error (1); mean squared error (1)
COMET QE,19,2,COMET-QE (18); COMET QE (1)
LATENCY,19,2,Latency (17); latency (2)
PEARSON CORRELATION COEFFICIENT,19,2,Pearson correlation coefficient (13); Pearson Correlation Coefficient (6)
QAFACTEVAL,19,2,QAFactEval (16); QAFACTEVAL (3)
REWARD MODEL,18,3,Reward Model Score (16); Reward model score (1); reward model score (1)
SMATCH,18,3,Smatch (10); SMATCH (7); SMatch (1)
VALIDITY,18,3,Validity (15); validity (2); Binary Validity Score (1)
SPECIFICITY,18,2,Specificity (17); Specificity Score (1)
SUCCESS,17,6,Success (11); Success@k (2); SUCCESS (1); Success% (1); Success@K (1); success (1)
LOSS,17,4,Loss (12); loss (3); LOSS (1); ε-Loss (1)
SIM,17,4,SIM (14); SIM-O (1); SIM-R (1); SIM-o (1)
ERROR RATE,17,3,Error Rate (15); Error rate (1); error rate (1)
GPTSCORE,17,2,GPTScore (16); GPTscore (1)
TOP 1 ACCURACY,17,2,Top-1 Accuracy (14); top-1 accuracy (3)
SIMILARITY,16,4,Similarity (10); similarity (3); Similarity Score (2); Metric Similarity (1)
ABSOLUTE ERROR,16,3,Mean Absolute Error (14); Absolute Error (1); mean absolute error (1)
BRIER,16,2,Brier Score (14); Brier (2)
EDIT SIMILARITY,16,2,Edit Similarity (14); edit similarity (2)
VECTOR EXTREMA,16,2,Vector Extrema (15); Vector-Extrema (1)
YISI,15,7,YiSi (3); YiSi-1 (3); YiSi-2 (3); YISI (2); YISI-1 (2); YISI-2 (1); Yisi-1 (1)
CROSS ENTROPY,15,6,Cross-entropy (6); Cross-Entropy (4); cross-entropy (2); Binary Cross Entropy (1); Binary Cross-Entropy (1); Cross Entropy (1)
LOG LIKELIHOOD,15,6,Log-likelihood (5); log-likelihood (4); Log Likelihood (2); Log-Likelihood (2); Log likelihood (1); log likelihood (1)
CROSS ENTROPY LOSS,15,5,Cross-entropy loss (6); Cross-Entropy Loss (5); cross-entropy loss (2); Cross-entropy Loss (1); binary cross-entropy loss (1)
FALSE POSITIVE RATE,15,4,False Positive Rate (11); false positive rate (2); False positive rate (1); false-positive rate (1)
HIT RATE,15,4,Hit Rate (11); Hit-Rate@k (2); Hit rate (1); hit rate (1)
PEARSON,15,4,Pearson (10); Pearson r (3); Pearson's ρ (1); Pearson-r (1)
SAFETY,15,4,Safety Score (11); Safety (2); Average Safety Score (1); safety score (1)
SENTIMENT,15,4,Sentiment Score (7); Sentiment (6); Sentiment score (1); binary sentiment (1)
TOKEN COUNT,15,4,Token Count (11); token count (2); Token count (1); average token count (1)
TOKEN F1,15,3,Token F1 (11); Token-F1 (3); Token_F1 (1)
AUC ROC,15,2,AUC-ROC (10); AUC ROC (5)
HELLASWAG,15,2,HellaSwag (11); Hellaswag (4)
RELIABILITY,15,2,Reliability (14); Reliability Score (1)
VQA ACCURACY,15,2,VQA Accuracy (12); VQA accuracy (3)
REPETITION,14,6,Repetition (9); Repetition % (1); Repetition score (1); Repetition-4 (1); Repetition-n (1); repetition (1)
G,14,5,G-score (6); ΔG (4); G-Mean (2); G-Score (1); G-mean (1)
COMPLETENESS,14,3,Completeness (11); completeness (2); Completeness Score (1)
DENOTATION ACCURACY,14,3,Denotation Accuracy (9); denotation accuracy (4); Denotation accuracy (1)
FACTUALITY,14,3,Factuality (9); Factuality Score (3); factuality (2)
FEQA,14,3,FEQA (11); FeQA (2); Feqa (1)
PERSPECTIVE API,14,3,Perspective API (12); PERSPECTIVE API (1); Perspective API Score (1)
DENSITY,14,2,Density (12); density (2)
FLESCH READING EASE,14,2,Flesch Reading Ease (13); Flesch Reading Ease Score (1)
KNOWLEDGE F1,14,2,Knowledge F1 (12); Knowledge-F1 (2)
TPR,14,2,TPR (13); TPR@1% (1)
DISTINCT N GRAMS,13,5,Distinct n-grams (8); distinct n-grams (2); Distinct N-grams (1); Distinct-n grams (1); distinct-n-grams (1)
NEGATIVE LOG LIKELIHOOD,13,4,Negative Log-Likelihood (9); Negative Log Likelihood (2); negative log likelihood (1); negative log-likelihood (1)
SENTENCE LENGTH,13,4,Average Sentence Length (5); Sentence Length (4); Sentence length (3); sentence length (1)
HELPFULNESS,13,3,Helpfulness (10); Helpfulness Score (2); helpfulness score (1)
LLM AS A JUDGE,13,3,LLM-as-a-Judge (8); LLM-as-a-judge (3); LLM-as-a-judge score (2)
RESPONSE LENGTH,13,3,Response Length (10); response length (2); Average response length (1)
COMBINED,13,2,Combined Score (11); Combined (2)
GREEDY MATCHING,13,2,Greedy Matching (12); Greedy-Matching (1)
GSM8K,13,2,GSM8K (12); GSM8k (1)
M,13,2,M² (12); M:F (1)
REPETITION RATE,13,2,Repetition Rate (12); Repetition rate (1)
STYLE ACCURACY,13,2,Style Accuracy (12); Weighted Style Accuracy (1)
TOXICITY PROBABILITY,13,2,Toxicity Probability (12); Toxicity probability (1)
TRUTHFULQA,13,2,TruthfulQA (12); TruthfulQA Score (1)
UTMOS,13,2,UTMOS (12); uTMOS (1)
C,12,8,C score (3); C-score (2); C_V (2); C@150 (1); C@50 (1); C_b (1); C_f (1); c@1 (1)
GPT 4 EVALUATION,12,3,GPT-4 Evaluation (8); GPT-4 Evaluation Score (2); GPT-4 evaluation (2)
ANSWER ACCURACY,12,2,Answer Accuracy (10); answer accuracy (2)
TASK SUCCESS RATE,12,2,Task Success Rate (10); task success rate (2)
QUALITY,11,4,Quality (5); Quality Score (4); Quality Score (S) (1); quality score (1)
P VALUE,11,3,p-value (9); P-value (1); p_value (1)
ARC,11,2,ARC (10); ARC-C (1)
KRIPPENDORFF S ALPHA,11,2,Krippendorff's alpha (6); Krippendorff's Alpha (5)
SBERT,11,2,SBERT (10); SBERT-score (1)
LOG PROBABILITY,10,6,Log Probability (3); log probability (2); log-probability (2); Average Log-Probability (1); Log probability (1); Log-probability (1)
CONFIDENCE,10,5,Confidence Score (4); Confidence (3); Average Confidence Score (1); confidence (1); confidence score (1)
HR,10,5,HR@K (3); HR@1 (2); HR@3 (2); HR@k (2); HR@5 (1)
Q,10,5,Q² (5); Q (2); Q-Metric (1); Q^2 (1); Q_R (1)
TURNS,10,5,Average Turns (4); Turns (3); #Turns (1); Avg. Turns (1); average turns (1)
CLAIM RECALL,10,3,Claim Recall (8); Claim-Recall (1); claim recall (1)
COSINE DISTANCE,10,3,Cosine Distance (7); cosine distance (2); COSINE_DISTANCE (1)
FAILURE RATE,10,3,Failure Rate (6); Failure rate (2); failure rate (2)
FLIP RATE,10,3,Flip Rate (7); Flip rate (2); flip rate (1)
LEXICAL DIVERSITY,10,3,Lexical Diversity (6); Lexical diversity (3); lexical diversity (1)
MAUDE,10,3,MAUDE (6); MaUdE (2); MaUde (2)
R PRECISION,10,3,R-Precision (6); R-precision (3); R Precision (1)
R SQUARED,10,3,R-squared (8); r-squared (r²) (1); r_squared (1)
FLESCH KINCAID GRADE LEVEL,10,2,Flesch-Kincaid Grade Level (9); Flesch-Kincaid grade level (1)
GPT 4,10,2,GPT-4 Score (9); GPT-4 score (1)
LIWC,10,2,LIWC (9); LIWC-22 (1)
MATTHEWS CORRELATION COEFFICIENT,10,2,Matthews Correlation Coefficient (7); Matthews correlation coefficient (3)
MME,10,2,MME (8); MME Score (2)
SOLVE RATE,10,2,Solve Rate (9); solve rate (1)
SPEEDUP,10,2,Speedup (8); speedup (2)
WASSERSTEIN DISTANCE,10,2,Wasserstein Distance (8); Wasserstein distance (2)
D,9,5,D-2 (3); D-1 (2); D-score (2); D-3 (1); D-4 (1)
TOKEN LEVEL F1,9,4,Token-level F1 (6); Binary token-level F1 (1); Token-level micro F1 (1); token-level F1 (1)
TYPE TOKEN RATIO,9,4,Type-Token Ratio (4); type-token ratio (3); Type Token Ratio (1); Type-token ratio (1)
VQA,9,4,VQA Score (6); VQA (1); VQA score (1); VQA-Score (1)
ACCEPTANCE RATE,9,3,Acceptance Rate (7); Acceptance rate (1); acceptance rate (1)
EMBEDDING SIMILARITY,9,3,Embedding Similarity (6); embedding similarity (2); Embedding similarity (1)
FLEISS KAPPA,9,3,Fleiss' Kappa (5); Fleiss Kappa (2); Fleiss' kappa (2)
GPT 4O,9,3,GPT-4o (4); GPT-4o Score (4); GPT-4o score (1)
RELAXED ACCURACY,9,3,Relaxed Accuracy (7); Relaxed-accuracy (1); relaxed accuracy (1)
CLASSIFIER ACCURACY,9,2,Classifier Accuracy (8); Classifier accuracy (1)
EXPECTED MAXIMUM TOXICITY,9,2,Expected Maximum Toxicity (8); Expected maximum toxicity (1)
FLOPS,9,2,FLOPs (8); FLOPS (1)
GRADE,9,2,GRADE (8); Grade (1)
INFORM RATE,9,2,Inform Rate (8); Inform rate (1)
INFORMATIVENESS,9,2,Informativeness (8); informativeness score (1)
INTERSECTION OVER UNION,9,2,Intersection over Union (8); Intersection-over-Union (1)
MUTUAL INFORMATION,9,2,Mutual Information (8); Mutual information (1)
PAIRWISE ACCURACY,9,2,Pairwise Accuracy (5); pairwise accuracy (4)
SPEARMAN RANK CORRELATION,9,2,Spearman Rank Correlation (5); Spearman rank correlation (4)
SPEARMAN S CORRELATION,9,2,Spearman's correlation (7); Spearman's Correlation (2)
SPEARMAN S RANK CORRELATION,9,2,Spearman's rank correlation (5); Spearman's Rank Correlation (4)
H,8,7,H-score (2); H (1); H-Score (1); H@1 (1); H@10 (1); H@100 (1); ΔH (1)
LLM,8,6,LLM-Score (3); LLM Score (1); LLM-AVG (1); LLM-c (1); LLM-t (1); average LLM score (1)
REP,8,5,rep-n (3); Rep (2); REP (1); REP-N (1); Rep-4 (1)
EXACT SET MATCH ACCURACY,8,4,Exact Set Match Accuracy (5); Exact set match accuracy (1); Exact-Set-Match Accuracy (1); Exact-set-match Accuracy (1)
HARMFULNESS,8,4,Harmfulness Score (4); Harmfulness score (2); Average Harmfulness Score (1); Harmfulness (1)
INFERENCE TIME,8,3,Inference Time (4); inference time (3); Average Inference Time (1)
N GRAM DIVERSITY,8,3,n-gram diversity (5); N-gram Diversity (2); n-gram Diversity (1)
PROBABILITY,8,3,Probability (6); Average Probability Score (1); Probability Score (1)
AUTOAIS,8,2,AutoAIS (7); AUTOAIS (1)
BLASER,8,2,BLASER (6); BLASER 2.0 (2)
BLONDE,8,2,BLONDE (5); BlonDe (3)
INFORM,8,2,Inform (7); INFORM (1)
OVERALL ACCURACY,8,2,Overall Accuracy (7); overall accuracy (1)
QAEVAL,8,2,QAEval (7); QAEval_r (1)
SLOT ACCURACY,8,2,Slot Accuracy (7); slot accuracy (1)
SUMMAC ZS,8,2,SummaC-ZS (7); SUMMAC-ZS (1)
TOTAL VARIATION DISTANCE,8,2,Total Variation Distance (7); Total-Variation Distance (1)
WORD MOVER S DISTANCE,8,2,Word Mover's Distance (7); Word mover's distance (1)
DIV,7,5,DIV (3); Div-2 (1); Div-4 (1); div-4 (1); ε-Div (1)
PERFORMANCE,7,5,Average Performance (2); Performance Score (2); Performance metric M (1); Performance score (1); average performance (1)
MATCH,7,4,Match (4); MATCH (1); Match Score (1); match score (1)
OVERLAP,7,4,Overlap (4); Average Overlap (1); Overlap Score (1); overlap (1)
TOKEN LENGTH,7,4,Token Length (3); token length (2); Average Token Length (1); Average token length (1)
UTILITY,7,4,Utility (3); Utility Score (2); UTILITY (1); utility (1)
BEST,7,3,best (4); best-m (2); BEST (1)
COMPRESSION RATE,7,3,Compression Rate (5); Compression rate (1); compression rate (1)
EUCLIDEAN DISTANCE,7,3,Euclidean Distance (3); Euclidean distance (3); Mean Euclidean Distance (1)
FALSE NEGATIVE RATE,7,3,False Negative Rate (5); False negative rate (1); false negative rate (1)
HEQ,7,3,HEQ-Q (3); HEQ (2); HEQ-D (2)
KENDALL TAU,7,3,Kendall-Tau (4); Kendall Tau (2); Kendall_Tau (1)
OOT,7,3,oot (4); oot-m (2); OOT (1)
SUMMAC CONV,7,3,SummaC-Conv (5); SUMMAC-CONV (1); SummaC-CONV (1)
WINNING RATE,7,3,Winning Rate (4); winning rate (2); Winning rate (1)
ADJUSTED RAND INDEX,7,2,Adjusted Rand Index (6); adjusted Rand index (1)
ANSWER CORRECTNESS,7,2,Answer Correctness (6); Answer correctness (1)
CLAIR,7,2,CLAIR (6); CLAIR E (1)
CLAP,7,2,CLAP (4); CLAP Score (3)
EFFICACY,7,2,Efficacy (6); efficacy (1)
GEOMETRIC,7,2,Geometric Mean (6); Geometric mean (M) (1)
GRAPH EDIT DISTANCE,7,2,Graph Edit Distance (6); Graph-Edit-Distance (1)
IFEVAL,7,2,IFEval (6); IFEval score (1)
PEARSON S,7,2,Pearson's r (6); Pearson's R (1)
PROGRAM ACCURACY,7,2,Program Accuracy (4); program accuracy (3)
QA ACCURACY,7,2,QA Accuracy (5); QA accuracy (2)
S3,7,2,S3 (6); s3 (1)
SPEEDUP RATIO,7,2,Speedup Ratio (6); speedup ratio (1)
TF IDF,7,2,TF-IDF (6); tf-idf (1)
TIME,7,2,Time (6); time (1)
TOKEN ACCURACY,7,2,Token Accuracy (6); Token accuracy (1)
MAJ,6,6,Maj@8 (1); Maj@K (1); Maj@k (1); maj@1 (1); maj@8 (1); maj@k (1)
ELO,6,5,Elo Score (2); ELO Score (1); ELO score (1); Elo (1); Elo score (1)
ACC EQ,6,4,ACC-eq (2); acc eq (2); ACC-EQ (1); acc_eq (1)
ELO RATING,6,4,Elo Rating (3); ELO Rating (1); ELO rating (1); Elo rating (1)
ENT,6,4,Ent (2); Ent-4 (2); Ent-2 (1); Ent-n (1)
TOP K ACCURACY,6,4,Top-K Accuracy (2); Top-k Accuracy (2); Top-k accuracy (1); top-k accuracy (1)
CORRELATION,6,3,Correlation (3); correlation (2); Correlation (r) (1)
EMD,6,3,EMD (4); EMD-f (1); EMD-l (1)
EXACT MATCH RECALL,6,3,Exact Match Recall (3); exact match recall (2); Exact-match Recall (1)
PASS@N,6,3,pass@N (3); Pass@N (2); pass@n (1)
PROMETHEUS,6,3,Prometheus (3); Prometheus-2 (2); Prometheus 2 (1)
R10,6,3,R10@1 (2); R10@2 (2); R10@5 (2)
