root_word,raw_lowercase,raw_string,occurrences_llm,occurrences_human,total_occ,pass1_qcet_id,pass1_qcet_name,pass1_fit,stage4_qcet_id,stage4_qcet_name,stage4_source,diverged,proposed_qcet_id,notes
accuracy,verification accuracy,verification accuracy,2,2,4,,,none,QEC-c-2,Relative Factual Accuracy,stage4_llm,,,
alignment,alignment,alignment,9,16,25,QIC-c-3,Consistency with Input,partial,QIC-c-3,Consistency with Input,stage4_llm,,,
alignment,alignment,Alignment,4,4,8,QIF-w-5,Control over Multiple Attributes,partial,QIC-c-3,Consistency with Input,stage4_llm,Y,,
alignment,alignment with user profile,alignment with user profile,2,1,3,QEG-w-2,Appropriateness (outputs as a whole),partial,QEG-w-2,Appropriateness (outputs as a whole),stage4_llm,,,
alignment,commonsense alignment,commonsense alignment,1,3,4,,,none,QEC-c-1,Factual Truth,stage4_llm,,,
alignment,content alignment,content alignment,2,1,3,QIF-c-2,Similarity/Dissimilarity to Input (content/meaning),partial,QIF-c-2,Similarity/Dissimilarity to Input (content/meaning),stage4_llm,,,
alignment,intent alignment,intent alignment,3,0,3,QIG-c-3,Relevance to Input,partial,QIG-c-3,Relevance to Input,stage4_llm,,,
alignment,preference alignment,preference alignment,4,0,4,QEG-w-6,User Satisfaction as Affected by Outputs,partial,QEG-w-6,User Satisfaction as Affected by Outputs,stage4_llm,,,
alignment,semantic alignment,semantic alignment,3,4,7,QIC-c-3,Consistency with Input,partial,QIC-c-3,Consistency with Input,stage4_llm,,,
alignment,text-image alignment,text-image alignment,1,2,3,QEF-c-1,Similarity/Dissimilarity to Non-target Reference (content/meaning),partial,QEF-c-1,Similarity/Dissimilarity to Non-target Reference (content/meaning),stage4_llm,,,
completeness,completeness,completeness,38,65,103,,,none,QIC-c-1,Absence of Omissions (relative to input),stage4_llm,,,
completeness,completeness,Completeness,36,45,81,QIC-c-1,Absence of Omissions (relative to input),partial,QIC-c-1,Absence of Omissions (relative to input),stage4_llm,,,
completeness,information completeness,information completeness,2,3,5,QIC-c-1,Absence of Omissions (relative to input),strong,QIC-c-1,Absence of Omissions (relative to input),stage1_exact,,,
completeness,semantic completeness,semantic completeness,0,3,3,QIC-c-1,Absence of Omissions (relative to input),strong,QIC-c-1,Absence of Omissions (relative to input),stage1_exact,,,
consistency,character consistency,Character Consistency,2,2,4,QOG-c-4,Internal Consistency of Outputs,partial,QOG-c-4,Internal Consistency of Outputs,stage4_llm,,,
consistency,consistency,consistency,56,90,146,QOG-c-4,Internal Consistency of Outputs,strong,QOG-c-4,Internal Consistency of Outputs,stage1_exact,,,
consistency,consistency,Consistency,37,71,108,QOG-c-4,Internal Consistency of Outputs,strong,QOG-c-4,Internal Consistency of Outputs,stage1_exact,,,
consistency,context consistency,context consistency,1,2,3,QIC-c-3,Consistency with Input,strong,QIC-c-3,Consistency with Input,stage1_exact,,,
consistency,factual consistency,factual consistency,25,36,61,QEC-c-1,Factual Truth,strong,QEC-c-1,Factual Truth,stage1_exact,,,
consistency,factual consistency,Factual Consistency,5,8,13,QEC-c-1,Factual Truth,partial,QEC-c-1,Factual Truth,stage1_exact,,,
consistency,factual consistency,Factual consistency,9,2,11,QEC-c-2,Relative Factual Accuracy,strong,QEC-c-1,Factual Truth,stage1_exact,Y,,
consistency,inconsistency,inconsistency,1,5,6,QOG-c-4,Internal Consistency of Outputs,strong,QOG-c-4,Internal Consistency of Outputs,stage1_exact,,,
consistency,label consistency,label consistency,0,4,4,QOG-c-4,Internal Consistency of Outputs,partial,QOG-c-4,Internal Consistency of Outputs,stage4_llm,,,
consistency,logical consistency,logical consistency,9,11,20,QOG-c-4,Internal Consistency of Outputs,strong,QOG-c-4,Internal Consistency of Outputs,stage1_exact,,,
consistency,logical consistency,Logical consistency,2,1,3,QOG-c-4,Internal Consistency of Outputs,strong,QOG-c-4,Internal Consistency of Outputs,stage1_exact,,,
consistency,persona consistency,persona consistency,1,6,7,QEF-w-5,Detectability of Speaker/Author Trait,partial,QEF-w-5,Detectability of Speaker/Author Trait,stage4_llm,,,
consistency,semantic consistency,semantic consistency,5,10,15,QOG-c-4,Internal Consistency of Outputs,strong,QOG-c-4,Internal Consistency of Outputs,stage1_exact,,,
consistency,semantic consistency,Semantic consistency,4,3,7,QOG-c-4,Internal Consistency of Outputs,strong,QOG-c-4,Internal Consistency of Outputs,stage1_exact,,,
consistency,sentiment consistency,sentiment consistency,3,1,4,QIC-c-3,Consistency with Input,partial,QIC-c-3,Consistency with Input,stage4_llm,,,
consistency,style consistency,style consistency,1,2,3,,,none,QOG-c-4,Internal Consistency of Outputs,stage4_llm,,,
consistency,visual consistency,Visual Consistency,1,2,3,,,none,QIC-c-3,Consistency with Input,stage4_llm,,,
correctness,annotation correctness,annotation correctness,0,3,3,,,none,QTC-w-1,Classification Accuracy,stage4_llm,,,
correctness,answer correctness,answer correctness,3,13,16,QIG-w-2,Degree to which Output Answers Question in Input,strong,QIG-w-2,Degree to which Output Answers Question in Input,stage1_exact,,,
correctness,answer correctness,Answer correctness,4,6,10,QTC-w-3,Complete Target Output Matching,strong,QIG-w-2,Degree to which Output Answers Question in Input,stage1_exact,Y,,
correctness,answer correctness,Answer Correctness,2,5,7,QIG-w-2,Degree to which Output Answers Question in Input,strong,QIG-w-2,Degree to which Output Answers Question in Input,stage1_exact,,,
correctness,citation correctness,citation correctness,3,0,3,QEC-c-1,Factual Truth,partial,QEC-c-1,Factual Truth,stage4_llm,,,
correctness,code correctness,code correctness,4,1,5,QEC-w-1,Functional Correctness,partial,QEC-w-1,Functional Correctness,stage4_llm,,,
correctness,correctness,correctness,173,211,384,QOC-w-1,Correctness of Outputs (outputs as a whole),partial,QOC-w-1,Correctness of Outputs (outputs as a whole),stage4_llm,,,
correctness,correctness,Correctness,83,87,170,QOC-w-1,Correctness of Outputs (outputs as a whole),strong,QOC-w-1,Correctness of Outputs (outputs as a whole),stage1_exact,,,
correctness,correctness of answer,correctness of answer,0,4,4,QIG-w-2,Degree to which Output Answers Question in Input,partial,QIG-w-2,Degree to which Output Answers Question in Input,stage4_llm,,,
correctness,entity correctness,entity correctness,2,1,3,QEC-c-1,Factual Truth,partial,QEC-c-1,Factual Truth,stage4_llm,,,
correctness,explanation correctness,explanation correctness,1,2,3,QIG-w-3,Quality as Explanation of Input,partial,QIG-w-3,Quality as Explanation of Input,stage4_llm,,,
correctness,factual correctness,factual correctness,22,30,52,QEC-c-1,Factual Truth,strong,QEC-c-1,Factual Truth,stage1_exact,,,
correctness,factual correctness,Factual correctness,6,14,20,QEC-c-1,Factual Truth,strong,QEC-c-1,Factual Truth,stage1_exact,,,
correctness,factual correctness,Factual Correctness,4,5,9,QEC-c-1,Factual Truth,strong,QEC-c-1,Factual Truth,stage1_exact,,,
correctness,final answer correctness,final answer correctness,2,1,3,QIG-w-2,Degree to which Output Answers Question in Input,partial,QIG-w-2,Degree to which Output Answers Question in Input,stage4_llm,,,
correctness,functional correctness,Functional correctness,1,2,3,QEC-w-1,Functional Correctness,strong,QEC-w-1,Functional Correctness,stage1_exact,,,
correctness,grammar correctness,grammar correctness,0,4,4,QOC-f-1,Grammaticality,strong,QOC-f-1,Grammaticality,stage1_exact,,,
correctness,grammatical correctness,grammatical correctness,4,29,33,QOC-f-1,Grammaticality,strong,QOC-f-1,Grammaticality,stage1_exact,,,
correctness,grammatical correctness,Grammatical Correctness,1,9,10,QOC-f-1,Grammaticality,strong,QOC-f-1,Grammaticality,stage1_exact,,,
correctness,grammatical correctness,Grammatical correctness,4,5,9,QOC-f-1,Grammaticality,strong,QOC-f-1,Grammaticality,stage1_exact,,,
correctness,knowledge correctness,Knowledge Correctness,1,2,3,QEC-c-1,Factual Truth,strong,QEC-c-1,Factual Truth,stage1_exact,,,
correctness,label correctness,label correctness,0,3,3,QTC-w-1,Classification Accuracy,strong,QTC-w-1,Classification Accuracy,stage1_exact,,,
correctness,language correctness,language correctness,3,1,4,QOC-w-1,Correctness of Outputs (outputs as a whole),partial,QOC-w-1,Correctness of Outputs (outputs as a whole),stage4_llm,,,
correctness,language correctness,Language correctness,1,2,3,QOC-w-1,Correctness of Outputs (outputs as a whole),partial,QOC-w-1,Correctness of Outputs (outputs as a whole),stage4_llm,,,
correctness,logical correctness,logical correctness,3,3,6,QOC-c-1,Semantic Correctness,strong,QOC-c-1,Semantic Correctness,stage1_exact,,,
correctness,partial correctness,partial correctness,1,2,3,,,none,QOC-w-1,Correctness of Outputs (outputs as a whole),stage4_llm,,,
correctness,reasoning correctness,Reasoning Correctness,1,2,3,,,none,QOC-c-1,Semantic Correctness,stage4_llm,,,
correctness,relation correctness,relation correctness,2,1,3,QOC-c-1,Semantic Correctness,strong,QOC-c-1,Semantic Correctness,stage1_exact,,,
correctness,semantic correctness,Semantic Correctness,1,5,6,QOC-c-1,Semantic Correctness,strong,QOC-c-1,Semantic Correctness,stage1_exact,,,
correctness,semantic correctness,semantic correctness,2,4,6,QOC-c-1,Semantic Correctness,strong,QOC-c-1,Semantic Correctness,stage1_exact,,,
correctness,step correctness,Step correctness,3,0,3,QEC-w-1,Functional Correctness,strong,QEC-w-1,Functional Correctness,stage1_exact,,,
correctness,step correctness,step correctness,3,0,3,,,none,QEC-w-1,Functional Correctness,stage1_exact,,,
correctness,syntactic correctness,syntactic correctness,0,6,6,QOC-f-1,Grammaticality,partial,QOC-f-1,Grammaticality,stage4_llm,,,
coverage,aspect coverage,aspect coverage,2,2,4,QIC-c-4,Coverage of Topics (given in input),partial,QIC-c-4,Coverage of Topics (given in input),stage4_llm,,,
coverage,content coverage,Content Coverage,1,2,3,QIC-c-4,Coverage of Topics (given in input),partial,QIC-c-1,Absence of Omissions (relative to input),stage4_llm,Y,,
coverage,coverage,coverage,16,32,48,QIC-c-4,Coverage of Topics (given in input),strong,QIC-c-4,Coverage of Topics (given in input),stage1_exact,,,
coverage,coverage,Coverage,12,16,28,QIC-c-4,Coverage of Topics (given in input),partial,QIC-c-4,Coverage of Topics (given in input),stage4_llm,,,
coverage,coverage,COVERAGE,0,4,4,QIC-c-1,Absence of Omissions (relative to input),strong,QIC-c-4,Coverage of Topics (given in input),stage1_exact,Y,,
coverage,data coverage,data coverage,0,4,4,QIC-c-1,Absence of Omissions (relative to input),partial,QIC-c-1,Absence of Omissions (relative to input),stage4_llm,,,
coverage,information coverage,information coverage,5,2,7,QIC-c-1,Absence of Omissions (relative to input),strong,QIC-c-1,Absence of Omissions (relative to input),stage1_exact,,,
faithful,faithfulness,faithfulness,43,101,144,QIC-c-3,Consistency with Input,partial,QIC-c-3,Consistency with Input,stage4_llm,,,
faithful,faithfulness,Faithfulness,23,42,65,QEC-c-2,Relative Factual Accuracy,strong,QIC-c-3,Consistency with Input,stage4_llm,Y,,
faithful,faithfulness,FAITHFULNESS,0,3,3,QIC-c-3,Consistency with Input,partial,QIC-c-3,Consistency with Input,stage4_llm,,,
quality,audio quality,audio quality,0,9,9,QOG-f-2,Speech Quality,strong,QOG-f-2,Speech Quality,stage1_exact,,,
quality,citation quality,citation quality,2,2,4,,,none,QEC-c-1,Factual Truth,stage4_llm,,,
quality,content quality,content quality,0,5,5,,,none,QEG-c-2,Appropriateness (content/meaning),stage4_llm,,,
quality,general quality,general quality,0,3,3,,,none,AUX-OverallQuality,Overall Quality / Preference,stage4_llm,,,
quality,image quality,image quality,2,5,7,,,none,AUX-Other,Other / Unclassifiable,stage4_llm,,,
quality,language quality,Language Quality,1,4,5,,,none,QOG-w-3,Fluency,stage4_llm,,,
quality,language quality,language quality,1,4,5,QOG-w-3,Fluency,partial,QOG-w-3,Fluency,stage4_llm,,,
quality,linguistic quality,linguistic quality,0,3,3,,,none,QOG-w-3,Fluency,stage4_llm,,,
quality,overall explanation quality,overall explanation quality,1,2,3,QIG-w-3,Quality as Explanation of Input,partial,QIG-w-3,Quality as Explanation of Input,stage4_llm,,,
quality,overall quality,overall quality,33,108,141,,,none,AUX-OverallQuality,Overall Quality / Preference,stage4_llm,,,
quality,overall quality,Overall Quality,17,36,53,,,none,AUX-OverallQuality,Overall Quality / Preference,stage4_llm,,,
quality,overall quality,Overall quality,13,15,28,,,none,AUX-OverallQuality,Overall Quality / Preference,stage4_llm,,,
quality,overall response quality,overall response quality,1,3,4,,,none,AUX-OverallQuality,Overall Quality / Preference,stage4_llm,,,
quality,overall summary quality,overall summary quality,0,3,3,QEG-w-2,Appropriateness (outputs as a whole),partial,QEG-w-2,Appropriateness (outputs as a whole),stage4_llm,,,
quality,overall translation quality,overall translation quality,1,5,6,,,none,AUX-OverallQuality,Overall Quality / Preference,stage4_llm,,,
quality,paraphrase quality,paraphrase quality,0,3,3,QIC-c-3,Consistency with Input,partial,QIC-c-3,Consistency with Input,stage4_llm,,,
quality,personalization quality,personalization quality,2,1,3,,,none,QEG-w-2,Appropriateness (outputs as a whole),stage4_llm,,,
quality,quality,quality,23,46,69,,,none,AUX-OverallQuality,Overall Quality / Preference,stage4_llm,,,
quality,quality,Quality,20,26,46,,,none,AUX-OverallQuality,Overall Quality / Preference,stage4_llm,,,
quality,reasoning quality,Reasoning Quality,3,2,5,QOC-c-1,Semantic Correctness,partial,QOC-c-1,Semantic Correctness,stage4_llm,,,
quality,reasoning quality,reasoning quality,3,2,5,QOC-c-1,Semantic Correctness,partial,QOC-c-1,Semantic Correctness,stage4_llm,,,
quality,response quality,response quality,8,2,10,,,none,AUX-OverallQuality,Overall Quality / Preference,stage4_llm,,,
quality,response quality,Response quality,3,0,3,QEG-w-6,User Satisfaction as Affected by Outputs,partial,AUX-OverallQuality,Overall Quality / Preference,stage4_llm,Y,,
quality,response quality,Response Quality,3,0,3,,,none,AUX-OverallQuality,Overall Quality / Preference,stage4_llm,,,
quality,storyline quality,Storyline Quality,2,2,4,,,none,QOG-c-3,Coherence,stage4_llm,,,
quality,summary quality,summary quality,1,2,3,,,none,AUX-OverallQuality,Overall Quality / Preference,stage4_llm,,,
quality,text quality,text quality,2,3,5,,,none,AUX-OverallQuality,Overall Quality / Preference,stage4_llm,,,
quality,text quality,Text Quality,1,2,3,,,none,AUX-OverallQuality,Overall Quality / Preference,stage4_llm,,,
quality,translation quality,translation quality,0,19,19,QIC-w-1,Translation Accuracy,partial,QIC-w-1,Translation Accuracy,stage4_llm,,,
quality,translation quality,Translation quality,3,2,5,,,none,QIC-w-1,Translation Accuracy,stage4_llm,,,
quality,translation quality,Translation Quality,0,3,3,QIC-w-1,Translation Accuracy,strong,QIC-w-1,Translation Accuracy,stage1_exact,,,
quality,visualization quality,Visualization Quality,2,1,3,,,none,AUX-Other,Other / Unclassifiable,stage4_llm,,,
