raw_string,source,occurrences_llm,occurrences_human,chosen_id,chosen_name,chosen_type,chosen_source,stage1_qcet_id,stage1_qcet_fit,stage2_cluster_id,fit,construct,justification,cache_hit,error,override_applied
Content Preservation,human,0,17,QIF-c-2,Similarity/Dissimilarity to Input (content/meaning),qcet,stage1_exact,QIF-c-2,strong,,strong,content alignment with input,Direct match to input-based content similarity.,,,
Factual Accuracy,both,5,7,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,truthfulness of content,Matches QCET leaf for real-world truthfulness.,,,
Human-likeness,both,3,9,QOG-w-4,Humanlikeness,qcet,stage1_exact,QOG-w-4,strong,,strong,human-like quality,Directly matches QCET leaf.,,,
groundedness,both,7,6,QEC-c-1,Factual Truth,qcet,stage4_llm,QEC-c-2,strong,,strong,adherence to real-world facts,Groundedness is equivalent to factual truthfulness.,,,
human-likeness,human,0,13,QOG-w-4,Humanlikeness,qcet,stage1_exact,QOG-w-4,strong,,strong,resemblance to human output,Direct match to QCET humanlikeness.,,,
semantic coherence,both,5,8,QOG-c-3,Coherence,qcet,stage1_exact,QOG-c-3,strong,,strong,internal consistency of meaning,Matches QCET coherence definition.,,,
Similarity,both,4,8,QTG-w-1,Similarity to Target Outputs (outputs as a whole),qcet,stage3_split_keep_stage1,QTG-w-1,partial,6,partial,overall resemblance to references,Stage-3 SPLIT verdict; per-variant target from Stage-1.,,,
Understanding,both,4,8,QOG-w-5,Understandability,qcet,stage1_exact,QOG-w-5,strong,,strong,ease of comprehending output,Direct match to QCET's understandability construct.,,,
contradiction,both,6,6,QOG-c-4,Internal Consistency of Outputs,qcet,stage1_exact,QOG-c-4,strong,,strong,absence of logical conflicts,Contradictions directly indicate internal inconsistencies.,,,
instruction-following,both,11,1,QIC-c-3,Consistency with Input,qcet,stage1_exact,QIC-c-3,strong,,strong,adherence to input directives,Directly matches consistency with instructions in input.,,,
omission,both,3,9,QIC-c-1,Absence of Omissions (relative to input),qcet,stage1_exact,QIC-c-1,strong,,strong,missing required content,Exactly corresponds to lacking input-specified content.,,,
Relevancy,both,5,6,QIG-c-3,Relevance to Input,qcet,stage1_exact,QIG-c-3,strong,,strong,relevance of output to input,Directly matches QCET's relevance definition.,,,
authenticity,both,4,7,QOG-w-4.2,Non-AI Likeness,qcet,stage1_exact,QOG-w-4.2,strong,,strong,output appearing non-artificial,Authenticity aligns with non-AI likeness.,,,
Actionability,both,5,6,QEG-w-3.1,Usefulness for Task/Information Need,qcet,stage1_exact,QEG-w-3.1,strong,,strong,output enabling user actions,Directly matches task-oriented usefulness.,,,
Factual consistency,both,9,2,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-2,strong,,strong,agreement with real-world facts,Synonymous with factual truth.,,,
repetition,human,0,14,QOG-w-1,Nonredundancy (output as a whole),qcet,stage1_exact,QOG-w-1,strong,,strong,lack of redundant repetition,Directly measures redundant output elements.,,,
Honesty,both,8,5,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,truthfulness to real-world facts,Honesty directly corresponds to factual truthfulness.,,,
soundness,both,5,5,QOC-w-1,Correctness of Outputs (outputs as a whole),qcet,stage1_exact,QOC-w-1,strong,,strong,overall error-free output,Direct synonym for general output correctness.,,,
Logic,both,5,5,QOG-c-3,Coherence,qcet,stage3_split_keep_stage1,QOG-c-3,partial,10,partial,logical coherence of content,Stage-3 SPLIT verdict; per-variant target from Stage-1.,,,
Satisfaction,both,3,7,QEG-w-6,User Satisfaction as Affected by Outputs,qcet,stage1_exact,QEG-w-6,strong,,strong,user satisfaction with outputs,Direct match to user satisfaction.,,,
difficulty,both,5,5,QOF-w-3,Complexity/Non-complexity (outputs as a whole),qcet,stage3_split_keep_stage1,QOF-w-3,partial,5,partial,complexity of outputs,Stage-3 SPLIT verdict; per-variant target from Stage-1.,,,
satisfaction,human,0,11,QEG-w-6,User Satisfaction as Affected by Outputs,qcet,stage1_exact,QEG-w-6,strong,,strong,user satisfaction with output,Directly matches QCET leaf for user satisfaction.,,,
Answer correctness,both,4,6,QIG-w-2,Degree to which Output Answers Question in Input,qcet,stage1_exact,QTC-w-3,strong,,strong,correctness in answering question,Directly matches QCET leaf for answering input questions.,,,
topic relevance,both,6,4,QIG-c-3,Relevance to Input,qcet,stage1_exact,QIG-c-3,strong,,strong,relevance to input topic,Matches QCET leaf for relevance to input.,,,
Factual Correctness,both,4,5,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,absence of real-world untruths,Direct match to QCET factual truth.,,,
Grammatical correctness,both,4,5,QOC-f-1,Grammaticality,qcet,stage1_exact,QOC-f-1,strong,,strong,absence of grammatical errors,Synonym for grammaticality leaf.,,,
Grammatical Correctness,both,1,9,QOC-f-1,Grammaticality,qcet,stage1_exact,QOC-f-1,strong,,strong,absence of grammatical errors,Direct match to grammaticality leaf.,,,
Language Fluency,both,4,6,QOG-w-3,Fluency,qcet,stage1_exact,QOG-w-3,strong,,strong,smoothness of language,Direct match to fluency leaf.,,,
Hallucinations,both,3,6,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,presence of false information,Hallucinations directly measure factual untruths in outputs.,,,
Humanness,both,2,7,QOG-w-4,Humanlikeness,qcet,stage1_exact,QOG-w-4,strong,,strong,resemblance to human-generated text,Humanness is synonymous with humanlikeness in QCET.,,,
Logical coherence,both,6,3,QOG-c-3,Coherence,qcet,stage3_split_keep_stage1,QOG-c-3,partial,10,partial,logical consistency of content,Stage-3 SPLIT verdict; per-variant target from Stage-1.,,,
Omission,both,4,5,QIC-c-1,Absence of Omissions (relative to input),qcet,stage1_exact,QIC-c-1,strong,,strong,missing required content,Omission directly measures missing input elements.,,,
Simplicity,both,1,8,QOF-w-3,Complexity/Non-complexity (outputs as a whole),qcet,stage3_split_keep_stage1,QOF-w-3,partial,5,partial,low complexity of output,Stage-3 SPLIT verdict; per-variant target from Stage-1.,,,
audio quality,human,0,9,QOG-f-2,Speech Quality,qcet,stage1_exact,QOG-f-2,strong,,strong,quality of speech output,Directly matches QCET's speech quality leaf.,,,
coherency,both,3,6,QOG-c-3,Coherence,qcet,stage1_exact,QOG-c-3,strong,,strong,how well output parts hang together,Synonym of QCET's coherence definition.,,,
Sensibleness,both,1,7,QOG-c-3,Coherence,qcet,stage1_exact,QOG-c-3,strong,,strong,logical consistency of content,Direct match to coherence in meaning/content.,,,
intelligibility,human,0,9,QOG-w-5,Understandability,qcet,stage1_exact,QOG-w-5,strong,,strong,ease of understanding output,Direct synonym for understandability in QCET.,,,
omissions,both,1,8,QIC-c-1,Absence of Omissions (relative to input),qcet,stage1_exact,QIC-c-1,strong,,strong,missing content from input,Exactly matches QCET's omission criterion relative to input.,,,
relevancy,both,1,7,QIG-c-3,Relevance to Input,qcet,stage1_exact,QIG-c-3,strong,,strong,output pertinence to input,Direct synonym for relevance to input context.,,,
relevant,both,1,7,QIG-c-3,Relevance to Input,qcet,stage1_exact,QIG-c-3,strong,,strong,output pertinence to input,"Identical to relevancy, matching QCET leaf directly.",,,
sufficiency,both,2,6,QIC-c-1,Absence of Omissions (relative to input),qcet,stage1_exact,QIC-c-1,strong,,strong,completeness of information,Directly matches avoiding omissions from input.,,,
Coherency,both,1,7,QOG-c-3,Coherence,qcet,stage1_exact,QOG-c-3,strong,,strong,logical flow of content,Direct synonym of QCET's Coherence leaf.,,,
Context Relevance,both,4,4,QIG-c-3,Relevance to Input,qcet,stage1_exact,QIG-c-3,strong,,strong,relevance to input context,Exactly matches QCET's Relevance to Input definition.,,,
Informative,both,3,5,QOG-c-2,Informativeness,qcet,stage1_exact,QOG-c-2,strong,,strong,information density of output,Direct match to QCET's Informativeness leaf.,,,
formality,both,3,5,QOF-f-4,Formality/Informality,qcet,stage1_exact,QOF-f-4,strong,,strong,level of linguistic formality,Direct match to formality feature definition.,,,
hallucinations,both,2,6,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,absence of factual errors,Hallucinations indicate factual untruths.,,,
Answer Correctness,both,2,5,QIG-w-2,Degree to which Output Answers Question in Input,qcet,stage1_exact,QIG-w-2,strong,,strong,accuracy in answering input questions,Directly matches QCET's criterion for answer completeness relative to input questions.,,,
Coherent,both,2,5,QOG-c-3,Coherence,qcet,stage1_exact,QOG-c-3,strong,,strong,logical connection of content,Exact match to QCET's coherence definition for content/meaning.,,,
Relevant,both,3,4,QIG-c-3,Relevance to Input,qcet,stage1_exact,QIG-c-3,strong,,strong,output pertinence to input,Direct match to QCET's input-relative relevance criterion.,,,
Hallucination detection,both,6,1,QIC-c-2,Absence of Additions (relative to input),qcet,stage4_llm,QEC-c-1,strong,,strong,minimizing ungrounded content,Hallucination detection targets added content errors.,,,
Maintains Context,both,2,5,QIG-c-3,Relevance to Input,qcet,stage1_exact,QIG-c-3,strong,,strong,output consistency with input,Aligns with contextual relevance definition.,,,
Semantic consistency,both,4,3,QOG-c-4,Internal Consistency of Outputs,qcet,stage1_exact,QOG-c-4,strong,,strong,output meaning consistency,Matches QCET's internal consistency definition for content/meaning.,,,
comprehensibility,both,2,5,QOG-w-5,Understandability,qcet,stage1_exact,QOG-w-5,strong,,strong,ease of understanding outputs,Direct synonym for QCET's understandability leaf.,,,
humanness,both,1,6,QOG-w-4,Humanlikeness,qcet,stage1_exact,QOG-w-4,strong,,strong,human-like quality of outputs,Direct synonym for QCET's humanlikeness leaf.,,,
information coverage,both,5,2,QIC-c-1,Absence of Omissions (relative to input),qcet,stage1_exact,QIC-c-1,strong,,strong,coverage of input information,Directly measures inclusion of input content.,,,
logicality,both,2,5,QOG-c-3,Coherence,qcet,stage1_exact,QOG-c-3,strong,,strong,logical consistency of content,Logicality is core to coherent meaning.,,,
match,both,3,4,QTG-w-1,Similarity to Target Outputs (outputs as a whole),qcet,stage3_split_keep_stage1,QTG-w-1,partial,6,partial,similarity to references,Stage-3 SPLIT verdict; per-variant target from Stage-1.,,,
semantic adequacy,both,2,5,QTC-c-1,Meaning Accuracy,qcet,stage1_exact,QTC-c-1,strong,,strong,accuracy of meaning relative to target,Semantic adequacy matches meaning accuracy.,,,
sentence structure,both,3,4,QOC-f-1,Grammaticality,qcet,stage1_exact,QOC-f-1,strong,,strong,grammatical correctness of sentences,Directly corresponds to grammaticality; strong fit.,,,
succinctness,both,1,6,QOG-w-1,Nonredundancy (output as a whole),qcet,stage4_llm,QOG-f-1,strong,,strong,avoidance of redundant content,Succinctness directly measures output redundancy reduction.,,,
understanding,human,0,7,QOG-w-5,Understandability,qcet,stage1_exact,QOG-w-5,strong,,strong,ease of comprehending output,Direct match to QCET's understandability leaf.,,,
Concise,both,2,4,QOG-f-1,Nonredundancy (form),qcet,stage1_exact,QOG-f-1,strong,,strong,lack of redundant wording,Conciseness directly matches form nonredundancy.,,,
Logicality,both,2,4,QOG-c-3,Coherence,qcet,stage3_split_keep_stage1,QOG-c-3,partial,10,partial,logical coherence of content,Stage-3 SPLIT verdict; per-variant target from Stage-1.,,,
Semantic Correctness,both,1,5,QOC-c-1,Semantic Correctness,qcet,stage1_exact,QOC-c-1,strong,,strong,absence of semantic errors,Direct match to QCET leaf.,,,
Goal Completion,both,4,2,QEG-w-3.1,Usefulness for Task/Information Need,qcet,stage1_exact,QEG-w-3.1,strong,,strong,usefulness for completing user's goal,Goal completion directly measures task usefulness.,,,
contextual relevance,both,2,4,QIG-c-3,Relevance to Input,qcet,stage1_exact,QIG-c-3,strong,,strong,relevance to input context,Directly matches relevance to input context.,,,
factualness,both,3,3,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,factual accuracy in real world,Measures real-world truthfulness of outputs.,,,
inconsistency,both,1,5,QOG-c-4,Internal Consistency of Outputs,qcet,stage1_exact,QOG-c-4,strong,,strong,internal consistency of content,Inverse of inconsistency is measured.,,,
answer accuracy,both,2,4,QIG-w-2,Degree to which Output Answers Question in Input,qcet,stage1_exact,QIG-w-2,strong,,strong,correctness of responses to input questions,Direct match for answer accuracy relative to input.,,,
relatedness,human,0,6,QIG-c-3,Relevance to Input,qcet,stage1_exact,QIG-c-3,strong,,strong,output relevance to input,Direct match to relevance criterion in input-relative quality.,,,
semantic accuracy,both,3,3,QOC-c-1,Semantic Correctness,qcet,stage1_exact,QOC-c-1,strong,,strong,correctness of meaning,Exact synonym for semantic correctness in QCET.,,,
semantic correctness,both,2,4,QOC-c-1,Semantic Correctness,qcet,stage1_exact,QOC-c-1,strong,,strong,correctness of meaning,Identical to QCET leaf definition.,,,
logical correctness,both,3,3,QOC-c-1,Semantic Correctness,qcet,stage1_exact,QOC-c-1,strong,,strong,absence of logical errors,Directly matches semantic correctness leaf.,,,
mistranslation,both,1,5,QIC-w-1,Translation Accuracy,qcet,stage1_exact,QIC-w-1,strong,,strong,absence of translation errors,Mistranslation is a translation error.,,,
well-formedness,both,1,5,QOC-f-1,Grammaticality,qcet,stage1_exact,QOC-f-1,strong,,strong,grammatical correctness,Directly synonymous with grammaticality in NLG.,,,
Cohesion,both,2,3,QOG-c-3.2,Cohesiveness,qcet,stage1_exact,QOG-c-3.2,strong,,strong,linking of content elements,Direct match to cohesiveness leaf.,,,
Comprehensibility,both,1,4,QOG-w-5,Understandability,qcet,stage1_exact,QOG-w-5,strong,,strong,ease of understanding output,Synonymous with understandability.,,,
Organization,both,2,3,QOG-c-3.1,Wellorderedness,qcet,stage1_exact,QOG-c-3.1,strong,,strong,logical ordering of content,Directly matches content structure quality.,,,
semantic relevance,both,4,2,QIG-c-3,Relevance to Input,qcet,stage1_exact,QIG-c-3,strong,,strong,meaning relevance to input,Directly matches QCET's input relevance criterion for content.,,,
spelling,both,1,5,QOC-f-2,Spelling Accuracy,qcet,stage1_exact,QOC-f-2,strong,,strong,absence of spelling errors,Exactly corresponds to QCET's spelling accuracy leaf.,,,
Non-redundancy,human,0,5,QOG-w-1,Nonredundancy (output as a whole),qcet,stage1_exact,QOG-w-1,strong,,strong,lack of redundant content,Direct match to QCET leaf.,,,
Content Richness,both,1,4,QOG-c-2,Informativeness,qcet,stage1_exact,QOG-c-2,strong,,strong,informativeness of content,Synonym for QCET informativeness.,,,
Politeness,both,2,3,QEG-f-2,Appropriateness (form),qcet,stage1_exact,QEG-f-2,strong,,strong,socially appropriate language form,Politeness directly measures form appropriateness in social contexts.,,,
Reasonableness,both,2,3,QEG-w-2,Appropriateness (outputs as a whole),qcet,stage4_llm,QOG-c-3,partial,10,partial,appropriateness of output,Reasonableness aligns with contextual appropriateness.,,,
Semantic Similarity,both,2,3,QEF-c-1,Similarity/Dissimilarity to Non-target Reference (content/meaning),qcet,stage3_split_keep_stage1,QTG-c-1,strong,,partial,meaning resemblance to references,Stage-3 SPLIT verdict; per-variant target from Stage-1.,,,
addition,human,0,5,QIC-c-2,Absence of Additions (relative to input),qcet,stage1_exact,QIC-c-2,strong,,strong,presence of extra content,Directly matches QCET leaf for unsupported content additions.,,,
correct,both,2,3,QOC-w-1,Correctness of Outputs (outputs as a whole),qcet,stage1_exact,QOC-w-1,strong,,strong,overall error absence,Direct synonym for general output correctness.,,,
Translation accuracy,both,1,4,QIC-w-1,Translation Accuracy,qcet,stage1_exact,QIC-w-1,strong,,strong,accuracy of translation output,Direct match to QCET's translation-specific correctness leaf.,,,
Understandable,both,1,4,QOG-w-5,Understandability,qcet,stage1_exact,QOG-w-5,strong,,strong,ease of comprehending output,Exact synonym for QCET's understandability leaf.,,,
Usability,human,0,5,QEG-w-5,System Usability as Affected by Outputs,qcet,stage1_exact,QEG-w-5,strong,,strong,system usability via outputs,Direct match to QCET's usability leaf.,,,
User Satisfaction,both,4,1,QEG-w-6,User Satisfaction as Affected by Outputs,qcet,stage1_exact,QEG-w-6,strong,,strong,user satisfaction with outputs,Direct match to QCET leaf definition.,,,
hallucination presence,both,2,3,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,absence of fabricated information,Directly measures untruths in outputs.,,,
information completeness,both,2,3,QIC-c-1,Absence of Omissions (relative to input),qcet,stage1_exact,QIC-c-1,strong,,strong,coverage of required content,Directly matches omission prevention relative to input.,,,
language fluency,both,1,4,QOG-w-3,Fluency,qcet,stage1_exact,QOG-w-3,strong,,strong,smoothness of expression,Exactly matches QCET's fluency definition.,,,
organization,both,2,3,QOG-c-3.1,Wellorderedness,qcet,stage1_exact,QOG-c-3.1,strong,,strong,logical ordering of content,Directly matches QCET's definition of content ordering quality.,,,
length,both,1,4,QOF-f-5,Output Length,qcet,stage1_exact,QOF-f-5,strong,,strong,length of output,Direct match to Output Length.,,,
